class;term;comment
object;disc harrow;An implement that consists of many carbon steel or boron discs, which have many varying concavities and disc blade sizes and spacing and which are arranged into two or four sections. It is used to till the soil where crops are to be planted. It is also used to chop up unwanted weeds or crop remainders.
object;mouldboard plough;An implement that cut, lift and reverse soil with a cutting depth of approximately 15 cm.
object;tractor;A mobile machine specifically designed to deliver a high tractive effort at slow speeds, and mainly used for the purposes of hauling a trailer or machinery used in agriculture or construction.
object;single-axle tractor;A tractor with one axle, self-powered and self-propelled. The operator usually walks behind it or rides the implement being towed.
quality;experimental site altitude;Elevation above the sea level of the experimental site.
object;two-axle tractor;A tractor with two axles. Agricultural implements may be towed behind or mounted on the tractor, and the tractor may also provide a source of power if the implement is mechanized.
quality;weather station altitude;Elevation above sea level of the weather station.
object;clod crusher;A roller armed with blunt spikes for dragging over newly plowed land to break the clods and render it fit for seeding.
process;experiment;A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
process;shifting cultivation;A cropping system in which relatively short periods of cultivation are followed by relatively long periods of fallow.
process;forest grazing;Agroforestry practice in which grazing occurs in a forest area.
object;chisel plough;An implement that loosen and aerate soil without inverting or turning it.
role;researcher;A person who conducts research.
object;ridging plough;An implement that is used for plants, such as potatoes or scallions, which are grown buried in ridges of soil. A ridging plough has two mouldboards facing away from each other, cutting a deep furrow on each pass, with high ridges either side.
role;student;A person that is enrolled or attends classes at a school, college, or university.
object;spade plough;An implement that is designed to cut the soil and turn it on its side, minimizing the damage to the earthworms, soil microorganism, and fungi.
role;research station employee;A person that works in a research station.
object;levelling board;Board used in field with a total water coverage to shape field surface. Weight can be added to the board.
role;extension agent;A person that is employed by the government to assist people in rural areas with methods of farming and home economics.
process;agricultural experiment;An experiment in which a scientific method is implemented for testing certain agricultural phenomena.
object;subsoiler;An implement that typically has only one thin blade with a sharpened tip, and is used to loosen and break up soil at depths about 30 cm.
role;farmer;A person engaged in agriculture, raising living organisms for food or raw materials.
object;manure spreader;An implement used to distribute manure over a field. It usually consists of a trailer towed behind a tractor with a rotating mechanism driven by the tractor's power take off.
object;levelling bucket;Bucket dragged by animal or tractor to shape soil surface. Bucket dimensions and capacity vary according to the available power source and field conditions.
role;faculty member;A person that is an educator who works at a college or university.
object;laser-controlled bucket;A bucket tracted by a tractor and controlled by a laser to shape soil surface. A laser transmitter transmits a laser beam, which is intercepted by the laser receiver mounted on the leveling bucket. The control panel mounted on the tractor interprets the signal from the receiver and raises or lowers the bucket.
role;person role within the experiment;Roled performed by a person during an experiment.
object;chain harrow;An implement consisting of a heavy framework having high numbers of steel tines on an harrow mat.
role;data collector;A person that has a role of collecting data related to the experiment.
object;tine harrow;An implement consisting of a heavy framework having several spikes or tines, and dragged by an animal or a tractor.
process;seeding process;A planned process in which seeds are applied on or into the soil.
object;backpack sprayer;An implement that is used to spray liquid and that is fitted with a harness on the operator back.
object;hand sprayer;An implement that is used to spray liquid and is held in the hand. It usually has an air pump which compresses air into the tanks and pressurizes the liquid to spray. 
object;airblast sprayer;An implement that uses a combination of air and liquid to deliver liquid material to the target. It includes include nozzles that deliver spray droplets directly into a high-speed airstream. The air blast shatters the drops of liquid material into fine droplets and transports them to the target.
role;principal investigator;A person that is the holder of an independent grant and the lead researcher for the grant project.
role;experiment manager;A person that has a role of managing the experiment.
object;slurry injector;An implement designed to inject slurry into the soil.
role;field laborer;A person that has a role of performing the operations required to run the experiment in the field.
object;broadcast spreader;An implement that consists of a hopper, a metering unit, and a distribution device that uses centrifugal force to spread material like seeds, fertilizer granules, liming material, onto the soil surface.
object;hand plough;An object to be used by hand to plough soil.
object;furrow opener;An implement which is used to create well-defined grooves in the soil where some material like seeds or fertilizer can be placed at a proper depth.
quality;terraced;Slope on which terraces have been build.
quality;irregular shape;Slope shape irregular.
fiat object;fallow land;An agricultural field that is set aside for a period of time before it is cultivated again. or an agricultral field that is under permanent crops, meadows or pastures and that is not being used for such purposes for a period of at least one year.
object;offset disc harrow;A disk harrow with disc blades arranged into two sections.
material entity;crop residue;Plant material remaining on the field ground after harvesting, including leaves, stalks, roots.
object;seed drill;A sowing device that positions seeds in the soil and then covers them. The seed drill sows the seeds at equal distances and proper depth, ensuring that the seeds get covered with soil.
site;row;Two or more crop plants planted in a line.
object;drum seeder;A seeding implement that consists of a seed drum, main shaft, ground wheel, floats, and handle. Joining smaller ends of frustum of cones makes the seed drum.
site;interrow;A site which is located between two rows of crop plants.
object;hoe;An agricultural hand tool ade of a blade set to an handle and used to shape the soil, control weeds, clear soil, and harvest root crops.
material entity;field margin;Strips of land along the borders of crop fields. It also include vegetative strips adjacent to roads, paths, railways, hedgerows and forest boundaries.
object;paraplough;Tool for loosening compacted soil layers 12 to 16 inches (30 to 40 cm) deep and still maintain high surface residue levels.
object;cultivator;Tillage tool that stirs and pulverizes the soil, either before planting (to aerate the soil and prepare a smooth, loose seedbed) or after the crop has begun growing (to kill weeds—controlled disturbance of the topsoil close to the crop plants kills the surrounding weeds by uprooting them, burying their leaves to disrupt their photosynthesis, or a combination of both). Cultivator is designed to disturb the soil in careful patterns, sparing the crop plants but disrupting the weeds. Cultivator teeth work near the surface.
quality;liming material area density;An area density quality which inheres in liming material by virtue of some influence exerted by the mass of liming material applied on a given surface area.
object;tandem disc harrow;A disk harrow with disc blades arranged into four sections.
object;manual oilseed drill;A seed drill that consists of a seed box attached to the mainframe of a hand wheel hoe. A fluted roller assembly is provided at the bottom of the seed box. Fluted roller is rotated with the help of chain and sprockets from the ground wheel.
quality;nitrogen area density;An area density quality which inheres in nitrogen by virtue of some influence exerted by the mass of nitrogen applied in a given surface area.
quality;sulfur area density;An area density quality which inheres in sulfur by virtue of some influence exerted by the mass of sulfur applied in a given surface area.
quality;pesticide area density;An area density quality which inheres in chemical pest control material by virtue of some influence exerted by the mass of chemical pest control material applied in a given surface area.
quality;phosphorus area density;An area density quality which inheres in phosphorus by virtue of some influence exerted by the mass of phosphorus applied in a given surface area.
object;irrigation tube;Object with a tube shape used to carry irrigation water through the field
quality;nitrate area density;An area density quality which inheres in nitrate by virtue of some influence exerted by the mass of nitrate applied in a given surface area.
quality;ammonium area density;An area density quality which inheres in ammonium by virtue of some influence exerted by the mass of ammonium applied in a given surface area.
quality;calcium area density;An area density quality which inheres in calcium by virtue of some influence exerted by the mass of calcium applied in a given surface area.
quality;iron area density;An area density quality which inheres in iron by virtue of some influence exerted by the mass of iron applied in a given surface area.
quality;zinc area density;An area density quality which inheres in zinc by virtue of some influence exerted by the mass of zinc applied in a given surface area.
quality;copper area density;An area density quality which inheres in copper by virtue of some influence exerted by the mass of copper applied in a given surface area.
quality;boron area density;An area density quality which inheres in boron by virtue of some influence exerted by the mass of boron applied in a given surface area.
quality;magnesium area density;An area density quality which inheres in magnesium by virtue of some influence exerted by the mass of magnesium applied in a given surface area.
quality;molybdenum area density;An area density quality which inheres in molybdenum by virtue of some influence exerted by the mass of molybdenum applied in a given surface area.
quality;manganese area density;An area density quality which inheres in manganese by virtue of some influence exerted by the mass of manganese applied in a given surface area.
quality;chlorine area density;An area density quality which inheres in chlorine by virtue of some influence exerted by the mass of chlorine applied in a given surface area.
quality;tillage tool blade length;A length quality which is equal to the length of the tillage tool that penetrate into the soil.
quality;mulch thickness;A thickness quality which is equal to the distance betwenn the top of the mulch layer to the top of the soil layer.
fiat object;liming material;An environmental material containing calcium and/or magnesium compounds and applied to soil in order to neutralize soil acidity.
object;center pivot irrigation machine;Form of overhead sprinkler irrigation consisting of several segments of pipe joined together and supported by trusses, mounted on wheeled towers with sprinklers positioned along its length. The machine moves in a circular pattern and is fed with water from the pivot point at the center of the circle.
process;percolation process in soil;Hydrological process in which water move through soil and permeable rocks.
quality;mulch color;The color of a mulch
site;bund;Small earth embankment which contain irrigation water within basins.
quality;land clearing date;The date of a land clearing process
process;slash-and-burn process;A process in which vegetation is cut down and burned as a method of clearing the land for cultivation.
process;slash-and-remove process;A process in which vegetation is cut down and removed from the land.
process;rock crushing process;A process in which rocks are crushed to clear the land.
process;relay cropping;An agricultural process in which two or more plant species are cultivated on the same area and where the second crop is sown during the growth, often near the onset of reproductive development or fruiting of the first crop, so that the first crop is harvested to make room for the full development of the second crop
process;sequential intercropping;An agricultural process in which a fast-growing crop is seeded simultaneously with a slow-growing crop, so that the first crop is harvested before the second crop starts to mature.
process;strip intercropping;An agricultural process in which two or more plant species are cultivated simultaneously on the same area in different strips wide enough to permit independent cultivation but narrow enough for the crops to interact agronomically.
process;cut and grind process;A process in which vegetation is cut down, grinded and mulched on the cleared land.
process;pile and burn process;A process in which slashed vegetation is piled together and burned.
process;land burning process;A process in which vegetation is burned as a method of clearing the land.
object;ridging device mounted on planting implement;A device used to create ridges at the same time than planting.
quality;crop residue moisture;The concentration of crop residue when measured in liquid water.
object;sprayer;A device that applys the spray liquid through nozzles, which are attached to a horizontal structure (boom) and which are normally directed towards the ground.
process;rock removal process;A process in which rocks are removed to clear the land.
process;roots crushing process;A process in which roots are crushed to clear the land.
quality;ridging date;The date of a ridging process
object;ridging implement;A device used to create ridges.
object;boom sprayer;An implement which is a pipe for distributing spray using attached nozzles. It has a list of system components that work together to deliver the spray fluid.
quality;long-term experiment date;The time of a long-term experiment
object;forage harvester;An agricultural implement that harvests forage plants to make silage.
object;reapper;An agricultural implement that cuts and often also gathers crops when they are ripe.
fiat object;aboveground biomass;All living biomass above the soil including stem, stump, branches, bark, seeds and foliage.
specifically dependent continuant;number of blocks;Number of block used for an experiment.
fiat object;below-ground biomass;All living biomass of live roots. Fine roots of less than (suggested) 2mm diameter are sometimes excluded because these often cannot be distinguished empirically from soil organic matter or litter.
specifically dependent continuant;number of plots;Number of plot used during an experiment.
material entity;seedling;Young sporophyte developing out of a plant embryo from a seed.
quality;plot length;A length quality that inheres in the smallest unit of an experiment.
process;rainfed process;A proccess in which water inputs rely only on rainfall.
quality;field area;An area quality inhering in a field.
object;digger;An agricultural implement, resembling a plow, that pulls up harvestable parts of plants growing underground.
site;agricultural experimental plot;A site within which an agricultural experimental process is conducted
quality;ridge width;A width entity that inheres in some ridge.
quality;plot area;An area quality inhering in a plot.
quality;ridge height;Distance between the top and the bottom of a ridge.
site;block;A block is a relatively large area or several identical units receiving all or most of the treatments. A collection of plots is called a block.
quality;distance between ridges;Distance between two ridges.
quality;plot width;A width entity that inheres in the smallest unit of an experiment.
quality;intensive rotational grazing date;The time of a intensive rotational grazing
site;pot;A rounded container used to cultivate plant.
quality;creep grazing date;The time of a creep grazing
quality;crop rotation experiment date;The time of a crop rotation experiment
quality;mono-cropping experiment date;The time of a mono-cropping experiment
quality;short-term experiment date;The time of a short-term experiment
quality;sequence experiment date;The time of a sequence experiment
quality;crop yield experiment date;The time of a crop yield experiment
quality;rotational grazing date;The time of a rotational grazing
quality;single cycle experiment date;The time of a single cycle experiment
quality;inter-cropping experiment date;The time of a inter-cropping experiment
object;jab planter;A manual tool used to sow large seeds in rows or in bunches on plastic mulch films or in the earth. This device is used to sow seeds manually, while standing in a natural position.
quality;moist;A moistness quality inhering in a bearer by virtue of the bearer being partially covered in liquid.
quality;continuous grazing date;The time of a continuous grazing
specifically dependent continuant;number of pots;Number of pot used during an experiment.
process;crop residue removal process;A crop residue removal process in which crop residues are removed from the field.
quality;plot spacing;Distance quality that represents the distance between two plots.
quality;distance between plants;The distance between two plants
specifically dependent continuant;number of square meter harvested;Number of square meters of agricultural field or plot harvested.
quality;hill spacing;Distance between two hills.
quality;harvest cut height;Distance between the ground and the point where the plant is cut for harvest.
quality;distance between rows;The distance between two rows.
quality;pot height;Distance between the top and the bottom of a pot.
specifically dependent continuant;number of rows;The amount of a row
quality;row width;A width entity that inheres in some row.
quality;row length;A length quality that is the distance between the beginning and the end of a row.
quality;row orientation;Orientation of the rows in a field.
quality;hand picking weeding date;The time of a hand picking weeding process
quality;heat treatment weeding date;The time of a heat treatment weeding process
quality;fire treatment weeding date;The time of a fire treatment weeding process
quality;mob grazing date;The time of a mob grazing
quality;strip grazing date;The time of a strip grazing
quality;first-last grazing date;The time of a first-last grazing
quality;holistic planned grazing date;The time of a holistic planned grazing
quality;seed drilling date;The time of a seed drilling process
quality;cold treatment weeding date;The time of a cold treatment weeding process
quality;controlled grazing date;The time of a controlled grazing
quality;hohenheim grazing system date;The time of a hohenheim grazing system
specifically dependent continuant;number of pesticide application;Number of pesticide process
quality;plot orientation;Orientation of the plots in a field.
quality;pesticide application date;The time of a pesticide application process
specifically dependent continuant;number of crops;Number of different crop used in an experiment.
specifically dependent continuant;number of crops previously cultivated;Number of crops cultivated at the same time during the previous year in the field where the experiment is done.
quality;slope orientation;Orientation of the slope.
generically dependent continuant;split plot design;An experimental design that enables an additional factor or treatment to be included at more than one level. each plot is split into two or more parts.
process;treatment;A process during which some material is applied to a subject
quality;distance between the water source and the field;Distance between water source and field.
specifically dependent continuant;number of treatments;Number of treatments tested during an experiment.
process;controlled traffic farming;A planned process which confines all machinery loads to the least possible area of permanent traffic lanes. The permanent traffic lanes are normally parallel to each other.
specifically dependent continuant;number of replications;Number of replications in an experiment.
process;pruning process;Process which involves the selective removal of certain parts of a plant or a tree, such as branches, buds, or roots.
material entity;crop;A crop is any cultivated plant, fungus, or alga that is harvested for food, clothing, livestock,fodder, biofuel, medicine, or other uses
process;renewal pruning;Process which involves cutting the plants back 6 to 12 inches above ground level.
quality;planting date;The time of a planting process
quality;treatment date;The time of a treatment
quality;liming date;The time of a liming process
quality;plant transplanting date;The time of a plant transplanting process
quality;crop residue management date;The time of a crop residue management process
quality;irrigation date;The time of a irrigation process
quality;water pressure spraying weeding date;The time of a water pressure spraying weeding process
quality;land levelling date;The time of a land levelling process
quality;pruning date;The time of a pruning process
quality;pest control date;The time of a pest control process
quality;harvesting date;The time of a harvesting process
generically dependent continuant;strip plot design;An experimental design in which the desired precision for measuring the interaction effect between the two factors is higher than that for measuring the main effect of either one of the two factors. This is accomplished with the use of three plot sizes : 1. Vertical strip plot for the first factor – vertical factor 2. Horizontal strip plot for the second factor – horizontal factor 3. Interaction plot for the interaction between 2 factors
generically dependent continuant;GPS coordinates;A measurement datum that is a unique identifier of a precise geographic location on the earth, usually expressed in alphanumeric characters
generically dependent continuant;factorial design;An experimental design in which two or more factors, each with discrete possible values or "levels", and whose experimental units take on all possible combinations of these levels across all such factors. That is, the design provides information on the average effect of the individual factors as well as the interaction between these two factors.
generically dependent continuant;GPS coordinates of a field;A unique identifier of the postion a field on earth, usually expressed in alphanumeric characters.
generically dependent continuant;completely randomized design;An experimental design in which the treatments are assigned completely at random so that each experimental unit has the same chance of receiving any one treatment. Any difference among experimental units receiving the same treatment is considered as experimental error. Hence, it is appropriate only for experiments with homogeneous experimental units, such as laboratory experiments, where environmental effects are relatively easy to control.
generically dependent continuant;field latitude coordinate;Latitude coordinate of a field.
site;net plot;An agricultural experimental plot from which unwanted areas have been removed, most often the outside rows.
generically dependent continuant;alpha lattice design;A lattice design that is a resolvable incomplete block design where the number of treatments or block size does not meet the strict requirements for one of the lattice designs. Also the number of entries is a multiple of block size.
process;alley cropping;An agricultural process in which rows of trees and/or shrubs are planted to create alleys within which agricultural or horticultural crops are produced.
fiat object;higher-level landform;Shape of the land surface surronding an area.
fiat object;agronomic land element;Description of the geomorphology of the immediate surroundings of the experimental site.
generically dependent continuant;lattice design;An experimental design in which the blocks should be composed of plots that are as homogeneous as possible. Further, blocks in the same replication should be as near as possible to maximize the variation among replication. These incomplete blocks are combined into groups that form separate, complete replications.
generically dependent continuant;field longitude coordinate;Longitude coordinate of a field.
generically dependent continuant;replicated control design;An experimental design in which each treatment is included only once and is near to a control treatment. A control treatment is usually either a common practice or no practice.
generically dependent continuant;demonstration strip design;An experimental design in which basic farming practices are compared using demonstration strips on a farm field. Usually the comparison is between two to four treatments, up to a maximum of 10 and each treatment is included only once.
generically dependent continuant;square lattice design;A lattice design in which the number of treatment must be a perfect square. Blocks per replicate and plots per block are equal, and are the square root of the number of treatments.
quality;rotation phase start date;The time of a rotation phase
quality;agronomic fertilization date;The time of an agronomic fertilization process
quality;crop cultivation date;The time of a crop cultivation process
quality;much removal date;The time of a much removal process
quality;seedbed preparation date;The time of a seedbed preparation process
quality;crop rotation sart date;The time of a crop rotation process
quality;sequence start date;The time of a sequence process
quality;propping date;The time of a propping process
quality;storage date;The time of a storage process
quality;dessication date;The time of a dessication process
quality;environmental feature grade;The grade of a physical feature, landform or constructed line refers to the tangent of the angle of that surface to the horizontal.
fiat object;tree prunings;Prunings from trees (leaves, branches,...)
