class;term;comment
independent continuant;clypeus;The region of the head capsule that is anterior to the frons and is attached to the labrum by the clypeo-labral conjunctiva
material entity;prophragma;The phragma of the mesonotum that attaches to muscles attached to the pronotum.
independent continuant;submental-mental conjunctiva;The conjunctiva of the labium that connects the submentum and the mentum.
independent continuant;epimeron;The sclerite of the insect thorax that is part of the pleuron and posterior to the pleural ridge and attached to the posterior margin of the episternum.
independent continuant;postcubital vein of the insect wing;The insect wing vein that is posterior to the cubitus and anterior to the anal fold or the anal vein.
material entity;pronoto-phragmal muscle;The dorsal longitudinal thoracic muscle that is attached to the pronotum and the prophragma.
independent continuant;premental-palpigeral conjunctiva;The conjunctiva of the labium that connects the prementum and the palpiger.
independent continuant;trochantin;The sclerite that is located on the ventro-lateral region of the insect thorax and is attached to a coxa.
independent continuant;radial vein of the insect wing;The insect wing vein that is posterior to the subcosta and anterior to the media.
material entity;anterior cervico-occipital muscle;The dorsoventral thoracic muscle of the prothorax that is attached to the anterior margin of a cervical sclerite and the dorso-lateral region of the postocciput.
independent continuant;stipito-galeal conjunctiva;The conjunctiva of the insect maxilla that connects the stipes and the galea.
independent continuant;pleural ridge;The ridge between the epimeron and the episternum in either the mesothorax or the metathorax.
independent continuant;jugal fold of the insect wing;The insect wing fold that separates the anal field and the jugal field.
independent continuant;palpifero-palpal conjunctiva;The conjunctiva of the insect maxilla that connects the palpifer and the maxillary palpus.
independent continuant;episternum;The sclerite of the insect thorax that is part of the pleuron and anterior to the pleural ridge and attached to the anterior margin of the epimeron.
independent continuant;anal fold of the insect wing;The insect wing fold that is posterior to the postcubitus and separates the costal field and the anal field.
independent continuant;palpigero-palpal conjunctiva;The conjunctiva of the labium that connects the palpiger and the labial palpus.
independent continuant;furcasternum;The part of the sternum that is attached to the posterior margin of the basisternum and to the anterior margin of the spinasternum.
independent continuant;basal fold of the insect wing;The insect wing fold that is distal to the axillary region.
material entity;anterior pronoto-cervical muscle;The dorsoventral thoracic muscle that extends between the antero-lateral region of the pronotum and the medial region of the propleuron.
independent continuant;clypeo-labral conjunctiva;The conjunctiva of the insect maxilla that connects the clypeus and the labrum.
independent continuant;spinasternum;The part of the sternum that is attached to the posterior margin of the furcasternum and to the anterior margin of the poststernite.
independent continuant;premental-paraglossal conjunctiva;The conjunctiva of the labium that connects the prementum and the paraglossa.
independent continuant;presternum;The part of the sternum that is attached to the anterior margin of the basisternum.
independent continuant;subcostal vein of the insect wing;The insect wing vein that is posterior to the costa and anterior to the radius.
independent continuant;premental-glossal conjunctiva;The conjunctiva of the labium that connects the prementum and the glossa.
independent continuant;basisternum;The part of the sternum that is attached to the posterior margin of the presternum and to the anterior margin of the furcasternum.
independent continuant;axillary region of the insect wing;The proximal region of the insect wing.
material entity;ventral-longitudinal muscle;The insect thoracic muscle that is not fan-shaped and runs along the ventral region, parallel to the anterior-posterior axis.
material entity;pronoto-occipital muscle;The dorsal longitudinal thoracic muscle that is attached to the pronotum and the postocciput.
independent continuant;sternum;The ventral region of the cuticle of the insect thorax that is attached to the ventral margin of the pleuron.
independent continuant;jugal vein of the insect wing;The insect wing vein in the jugal field, posterior to the jugal fold or to the anal veins.
material entity;prophragma-occipital muscle;The dorsal longitudinal thoracic muscle that is attached to the prophragma and the postocciput.
independent continuant;stipito-palpiferal conjunctiva;The conjunctiva of the insect maxilla that connects the stipes and the palpifer.
independent continuant;pleurite;The sclerite that is part of the pleuron.
independent continuant;medial vein of the insect wing;The insect wing vein that is posterior to some radius and anterior to some cubitus.
material entity;dorsal cervico-occipital muscle;The dorsal longitudinal thoracic muscle that is attached to the cervical sclerite and the postocciput.
material entity;prophragma-cervical muscle;The dorsal longitudinal thoracic muscle that is attached to the prophragma and the cervical sclerite.
independent continuant;jugal field of the insect wing;The insect wing region that is posterior to the jugal fold.
independent continuant;interflagellomeral conjunctiva;Is the conjunctiva of the antenna that connects a flagellomere and other flagellomere.
material entity;pleuron;The region of cuticle on the lateral region of the insect thorax that is attached to the notum and the sternum and is attached to the coxae by skeletal muscle tissue and the basal coxal conjunctiva.
independent continuant;stipito-lacinial conjunctiva;The conjunctiva of the insect maxilla that connects the stipes and the lacinia.
material entity;insect thoracic muscle;The somatic muscle that is part of the insect thorax.
independent continuant;mental-premental conjunctiva;The conjunctiva of the labium that connects the mentum and the prementum.
independent continuant;abdominal sternite VIII-abdominal sternite IX conjunctiva;The conjunctiva of the insect abdomen that connects the abdominal sternite VIII and the abdominal sternite IX.
independent continuant;insect wing fold;The region of cuticle of the insect wing that is more flexible than the wing conjunctiva.
material entity;insect leg muscle;The somatic muscle that is part of the insect leg.
independent continuant;postmentum;The sclerite of the cuticle of labium that is cmposed of the submentum and the mentum, which are connected by the submental-mental conjunctiva
independent continuant;abdominal sternite IX-phallobase conjunctiva;The conjunctiva of the insect abdomen that connects the abdominal sternite IX and the abdominal sternite X.
independent continuant;anal field of the insect wing;The posterior region of the insect wing.
material entity;dorso-ventral thoracic muscle;The insect thoracic muscle that runs parallel to the dorsal-ventral axis.
independent continuant;abdominal tergite VIII-abdominal tergite IX conjunctiva;The conjunctiva of the insect abdomen that connects the abdominal tergite VIII and the abdominal tergite IX.
independent continuant;insect wing region;The region of cuticle of the insect wing that has wing veins, folds, and conjunctiva.
material entity;dorsal longitudinal thoracic muscle;The insect thoracic muscle that is not fan-shaped and runs along the dorsal region, parallel to the anterior-posterior axis.
independent continuant;palpifer;The sclerite of the insect maxilla that is attached to the cuticle of stipes by the stipito-palpiferal conjunctiva and to the cuticle of maxillary palpus by the palpifero-palpal conjunctiva.
independent continuant;abdominal tergite IX-abdominal tergite X conjunctiva;The conjunctiva of the insect abdomen that connects the abdominal tergite IX and the abdominal tergite X.
independent continuant;insect wing vein;The region of cuticle of the insect wing that is less flexible than the wing conjunctiva.
material entity;sterno-pleural muscle;The insect thoracic muscle that extends between the sternum and the pleura.
independent continuant;palpiger;The sclerite of the cuticle of labium that is attached to the prementum by the premental-palpigeral conjunctiva and to the cuticle of labial palpus by the palpigero-palpal conjunctiva.
independent continuant;metathorax;The region of the cuticle of the pterothorax that bears the hind legs and the hind wings.
independent continuant;costal field of the insect wing;The anterior region of the insect wing.
material entity;tergo-pleural muscle;The insect thoracic muscle that extends between the notum (or tergum) and the pleura.
independent continuant;antenniferal-scapal conjunctiva;The conjunctiva of the head capsule that connects the antennifer and the scapus.
independent continuant;notum;The dorsal region of the cuticle of the insect thorax that is attached to the dorsal margin of the pleuron.
independent continuant;cubital vein of the insect wing;The insect wing vein that is posterior to the media and anterior to the postcubitus.
independent continuant;insect mentum;The sclerite of the labium that is anterior to the submentum and posterior to the prementum, and attached to the prementum by the mental-premental conjunctiva.
independent continuant;prothorax;The region of the cuticle of the insect thorax that is anteriorly connected to the head by the neck membrane, posteriorly connected to the mesothorax by the prothorax-mesothorax conjunctiva, and contains the pronotum, the propeluron, the prosternum and one pair of legs.
independent continuant;anal vein of the insect wing;The insect wing vein of the anal field that is posterior to the anal fold or the postcubitus and anterior to the jugal fold or the jugal veins.
independent continuant;submentum;The sclerite of the labium that is anteriorly attached to the mentum by the submental-mental conjunctiva.
independent continuant;mesothorax;The region of the cuticle of the pterothorax that bears mid legs and fore wings.
independent continuant;costal vein of the insect wing;The insect wing vein of the costal field that is anterior to the subcosta.
material entity;insect cranio-tentorial muscle;The somatic muscle that is attached to the head capsule and the tentorium.
independent continuant;epicranial suture;The cuticular suture composed of both the coronal suture and paired frontal sutures.
material entity;tentorio-oral muscle;The cranio-hypopharyngeal muscle that is attached to the anterior tentorial arm and the suspensorium.
independent continuant;abdominal tergite X-epiproct conjunctiva;The conjunctiva of the postabdomen that joins the abdominal tergite X and the epiproct.
independent continuant;temple;The region of cuticle that is behind the compound eye.
material entity;tentorio-tentorial muscle;The insect cranio-antennal muscle that is attached to the tentorial bridge and the tentorium.
material entity;tentorio-frontal muscle;The insect cranio-antennal muscle that is attached to the tentorial bridge and the frons.
independent continuant;gula;The sclerite on the ventral region of the head capsule that is limited laterally by the gular ridges, posteriorly by the foramen occipitale and anteriorly by the submentum.
independent continuant;anapleural sulcus;The sulcus of the pleuron delimiting the dorsal region of the preepisternum and the ventral region of the anepisternum.
material entity;anterior prothoracic foramen;The thoracic foramen that is at the anterior margin of the cuticle of the prothorax.
independent continuant;gular ridge;Each ridge on the ventral region of the head capsule marking the sides of the gula.
immaterial entity;ecdysial line;The anatomical line of weakness of the cuticle that allows molting and coincides with a suture.
material entity;posterior prothoracic foramen;The thoracic foramen that is at the posterior margin of the cuticle of the prothorax.
independent continuant;hypostomal bridge;The lateral region of the head capsule that is adjacent to the foramen occipitale
independent continuant;anepisternum;The dorsal region of the episternum that is dorsal to the anapleural sulcus.
independent continuant;hypopharyngeal sclerite;The sclerite that is continuous with the hypopharynx.
independent continuant;frontoclypeal ridge;The ridge of the head capsule that separates the clypeus and the frons.
independent continuant;preepisternum;The region of cuticle on the antero-ventral region of the episternum that is anterior to the anapleural sulcus.
material entity;thoracic foramen;The arthropod foramen that is part of the cuticle of the insect thorax.
independent continuant;dorsal tentorial arm;The apophysis of the tentorium that is connected to an anterior tentorial arm.
independent continuant;posterior tentorial arm;The apophysis of the tentorium that originates from each posterior tentorial pit.
independent continuant;katepisternum;The region of cuticle on the postero-ventral region of the episternum that is posterior to the anapleural sulcus.
material entity;anterior mesothoracic foramen;The thoracic foramen that is at the anterior margin of the cuticle of the mesothorax.
independent continuant;anterior tentorial arm;The apophysis of the tentorium that is connected to an anterior tentorial pit.
independent continuant;anepimeron;The region of the cuticle on the dorsal region of the epimeron.
independent continuant;mandibular molar lobe;The region of the cuticle that is proximal and medial on the cuticle of the insect mandible.
independent continuant;pleurostomal ridge;The ridge of the head capsule comprising the posterior region of the subgenal ridge.
material entity;basalare;The epipleurite that is adjacent to the anepisternum, is attached to the pleuron via muscle, is surrounded by the noto-pleural conjunctiva, and is anterior to the first axillary sclerite.
independent continuant;mediostipes;The region of cuticle on the medial region of the cuticle of stipes, adjacent to the distal margin of the cuticle of the basistipes, and to the proximal margin of the cuticle of the galea and the lacinia.
independent continuant;subgenal ridge;The ridge of the head capsule that separates the gena and the subgena.
material entity;subalare;The epipleurite that is adjacent to the notum, is attached to the coxa via muscle, is surrounded by the noto-pleural conjunctiva, and is posterior to the first axillary sclerite.
independent continuant;maxillary gland;The ectodermal gland continuous with the proximal region of the cuticle of the cardo.
independent continuant;postalar bridge;The region of cuticle of the dorso-lateral region of the pterothorax that is surrounded by the noto-pleural conjunctiva and articulated with the epimeron.
independent continuant;prostheca;The cuticular lobe of the cuticle of the insect mandible between the mandibular molar lobe and the mandibular incisor lobe.
independent continuant;coronal suture;The longitudinal cuticular suture that is on the vertex and is connected to the frontal suture.
independent continuant;epipleurite;The sclerite of the insect thorax that is surrounded by the noto-pleural conjunctiva and is adjacent to the wing.
independent continuant;basistipes;The region of cuticle on the lateral region of the cuticle of stipes, adjacent to the distal margin of the cuticle of the cardo, to the proximal margin of the cuticle of the palpifer, and adjacent to the proximal margin of the mediostipes.
material entity;ventral longitudinal abdominal muscle;The insect abdominal muscle that runs along the ventral region, parallel to the anterior-posterior axis.
independent continuant;tentorial bridge;The apophysis of the tentorium originating from each posterior tentorial arm.
independent continuant;scutum;The sclerite of the notum that is attached to the posterior margin of the prescutum and to the anterior margin of the scutellum.
independent continuant;antennomere;The cuticle of a mere that is part of the cuticle of the antenna.
material entity;lateral abdominal muscle;The insect abdominal muscle that runs along the lateral region, parallel to the dorsal-ventral axis.
independent continuant;vertex;The dorsal region of the head capsule that surrounds the coronal suture, and is connected laterally to the genae.
independent continuant;scutellum;The sclerite of the notum that is attached to the posterior margin of the scutum.
independent continuant;postoccipital sulcus;The cuticular sulcus that coincides with the postoccipital ridge and is posterior to the occiput and anterior to the postocciput.
independent continuant;circumocular ridge;The ridge of the head capsule surrounding the eye cuticle.
independent continuant;postnotum;The sclerite of the notum that is attached to the posterior margin of the scutellum.
independent continuant;epistoma;The region of cuticle that is posterior to the cuticle of the labrum.
material entity;dorsal longitudinal abdominal muscle;The insect abdominal muscle that runs along the dorsal region, parallel to the anterior-posterior axis.
material entity;foramen occipitale;The foramen of the head capsule that connects with the neck membrane and is divided by the tentorial bridge into alaforamen and neuroforamen.
independent continuant;prescutum;The sclerite of the notum that is attached to the anterior margin of the scutum.
independent continuant;subgenal sulcus;The cuticular sulcus that is adjacent to the subgena and coincides with the subgenal ridge.
independent continuant;cuticular suture;The region of the cuticle of the head capsule that coincides with an ecdysial line.
independent continuant;prealar bridge;The region of cuticle of the dorso-lateral region of the pterothorax that is surrounded by the noto-pleural conjunctiva and articulated with the episternum.
