class;term;comment
independent continuant;anterior-most region;
independent continuant;basal margin;Anatomical margin that is located on the basal side of the body or body part.
independent continuant;postero-ventral region;Anatomical region that overlaps the posterior and ventral regions of a body or body part.
independent continuant;apical margin;Anatomical margin that is located on the apical side of the body or body part.
independent continuant;dorsal-most region;
independent continuant;posterior-most region;
independent continuant;lower region;
immaterial entity;medial-lateral axis;An axis that extends from the center of organism to one or other side.
independent continuant;upper region;
independent continuant;superficial region;Anatomical region superficially located on the body or body part.
independent continuant;posterior margin;Anatomical margin that is located on the posterior side of the body or body part.
independent continuant;deep region;Anatomical region located deep within an organism or structure.
independent continuant;anterior margin;Anatomical margin that is located on the anterior side of a body or body part.
independent continuant;distal margin;Anatomical margin that is located on the distal side of the body or body part.
independent continuant;ventral-most region;
independent continuant;proximal margin;Anatomical margin that is located on the proximal region of the body or body part.
independent continuant;dorsal margin;Anatomical margin that is located on the dorsal side of body or body part.
immaterial entity;deep/superficial compartment boundary;
immaterial entity;upper/lower compartment boundary;
independent continuant;postero-lateral margin;Anatomical margin that is located on the postero-lateral region of the body or body part.
immaterial entity;tangential plane;Anatomical plane that is perpendicular to a radial plane.
independent continuant;ventro-lateral margin;Anatomical margin that is located on the ventro-lateral region of the body or body part.
independent continuant;postero-medial margin;Anatomical margin that is located on the postero-medial region of the body or body part.
immaterial entity;apical-basal axis relative to direction of growth;An axis of a plant structure that is determined by the direction of apical growth, either by an apical meristem or an apical cell. Apical is toward the direction of apical growth: toward the tip of a growing shoot axis, root, thallus, or non-vascular leaf. Basal is away from the direction of apical growth: toward the root-shoot junction in the case of the primary root or stem, toward the primary root or stem for higher order roots or branches, toward the point of attachment for non-vascular leaves, and toward the original point of growth (as determined in the embryo) for thalli.
independent continuant;ventral margin;Anatomical margin that is located on the ventral side of the body or body part.
independent continuant;ventro-medial margin;Anatomical margin that is located on the ventro-medial region of the body or body part.
independent continuant;postero-dorsal margin;Anatomical margin that is located on the postero-dorsal region of the body or body part.
independent continuant;dorso-medial margin;Anatomical margin that is located on the dorso-medial region of the body or body part.
immaterial entity;radial plane;Anatomical plane that follows the two dimensions specified by an apical-basal axis relative to direction of growth and a medial-lateral axis.
independent continuant;antero-dorsal margin;Anatomical margin that is located on the antero-dorso region of the body or body part.
immaterial entity;apical/basal compartment boundary;
independent continuant;antero-medial margin;Anatomical margin that is located on the antero-medial region of the body or body part.
independent continuant;dorso-lateral margin;Anatomical margin that is located on the dorso-lateral region of the body or body part.
independent continuant;antero-lateral margin;Anatomical margin that is located on the antero-lateral region of the body or body part.
independent continuant;medial margin;Anatomical margin that is located on the medial side of the body or body part.
immaterial entity;proximal/distal compartment boundary;
independent continuant;lateral margin;Anatomical margin that is located on the lateral side of the body or body part.
independent continuant;postero-ventral margin;Anatomical margin that is located on the postero-ventral region of the body or body part.
independent continuant;antero-ventral margin;Anatomical margin that is located on the antero-ventral region of the body or body part.
independent continuant;antero-medial region;Anatomical region that overlaps the anterior and medial regions of the body or body part.
independent continuant;anterior-posterior gradient;Anatomical gradient that is distributed along the anterior-posterior axis.
independent continuant;anatomical gradient;Material anatomical entity defined by change in the value of some quantity per unit of distance across some spatial axis.
independent continuant;basal side;Anatomical side that is located on the basal end of an organism or structure.
independent continuant;apical side;Anatomical side that is located on the apical end of an organism or structure.
independent continuant;central side;Anatomical side that is centrally located on an organism or structure.
independent continuant;anatomical side;An anatomical region bounded by a plane perpendicular to an axis through the middle.
independent continuant;dorsal-ventral gradient;Anatomical gradient that is distributed along the dorsal-ventral axis.
independent continuant;posterior side;An anatomical region that is the entire part of an anatomical structure posterior to a transverse plane and bounded on one side by the same transverse plane.
independent continuant;anterior side;An anatomical region that is the entire part of an anatomical structure anterior to a transverse plane and bounded on one side by the same transverse plane.
independent continuant;proximal side;
independent continuant;contralateral side;On the opposite side.
independent continuant;dorsal side;An anatomical region that is the entire part of an anatomical structure dorsal to a horizontal plane and bounded on one side by the same transverse plane.
independent continuant;distal side;Anatomical side that is distally located on an organism or structure.
independent continuant;dorso-medial region;Anatomical region that overlaps the dorsal and medial regions of the body or body part.
independent continuant;ventral side;An anatomical region that is the entire part of an anatomical structure ventral to a horizontal plane and bounded on one side by the same horizontal plane.
independent continuant;ipsilateral side;On the same side
independent continuant;postero-medial region;Anatomical region that overlaps the posterior and medial regions of the body or body part.
independent continuant;medial side;
independent continuant;lateral side;
independent continuant;posterior region;Anatomical region posteriorly located on the body or body part.
independent continuant;anterior region;Anatomical region anteriorly located on the body or body part.
independent continuant;basal region;Anatomical region located basally on the body or body part.
immaterial entity;adaxial-abaxial axis;An anatomical axis that extends from the side of the anatomical entity that is closer to an axis (adaxial) to the side that is further from the same axis (abaxial).
independent continuant;apical region;Anatomical region located on the apical end on the body or body part.
independent continuant;anatomical region;A 3D region in space without well-defined compartmental boundaries. for example, the dorsal region of an ectoderm.
independent continuant;dorsal region;Anatomical region dorsally located on the body or body part.
independent continuant;ventro-medial region;The region corresponding to the ventral region of the entity, towards the midline.
independent continuant;contralateral region;
