class;term;comment
one-dimensional spatial region;anatomical line;A one dimensional, immaterial anatomical entity.
immaterial entity;immaterial anatomical entity;Anatomical entity that has no mass.
zero-dimensional spatial region;anatomical point;Non-material anatomical entity of zero dimension, which forms a boundary of an anatomical line or surface.
independent continuant;organism substance;Material anatomical entity in a gaseous, liquid, semisolid or solid state. produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body and that does not have inherent 3D shape generated by coordinated expression of the organism's own genome.
material entity;gonochoristic organism;Multi-cellular organism that has male and female sexes.
independent continuant;connected anatomical structure;Material anatomical entity that is a single connected structure with inherent 3D shape generated by coordinated expression of the organism's own genome.
independent continuant;material anatomical entity;An anatomical entity that has mass.
site;anatomical space;An Immaterial anatomical entity of three dimensions, that is generated by morphogenetic or other physiologic processes and that is bounded by an anatomical surface.
material entity;protandrous hermaphroditic organism;Sequential hermaphroditic organism that produces\ngametes first of the male sex, and then later of the\nfemale sex.
independent continuant;epithelial sac;
independent continuant;circulating fluid;A fluid that is circulated around a multicellular organism carrying nutrients and carrying away waste products.
independent continuant;anatomical entity;A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex. Or, a substance produced by a cellular organism with granularity above the level of a protein complex.
two-dimensional spatial region;anatomical plane;
independent continuant;tissue;Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
material entity;synchronous hermaphroditic organism;Hermaphroditic organism that produces both male and female gametes at the same time.
independent continuant;anatomical system;An anatomical structure consisting of multiple cells, organs, tissues, distributed throught an organism, that act together to perform some physiological function.
material entity;sequential hermaphroditic organism;Hermaphroditic organism that produces gametes first of one sex, and then later of the other sex.
independent continuant;disconnected anatomical system;An anatomical system consisting of multiple disconnected parts.
independent continuant;acellular anatomical structure;An anatomical structure that has no cells or cell parts as a part.
material entity;organism;Material anatomical entity that is a member of an individual species or is a viral or viroid particle.
independent continuant;extraembryonic structure;A multicellular anatomical structure that is associated with an embryo and derived from the zygote from which it develops, but which does not contribute to the embryo proper or to structures that are part of the same organism after embryogenesis.
