class;term;comment
independent continuant;posterior epipharyngeal sclerite;The epipharyngeal sclerite on the posterior region of the epipharynx.
independent continuant;anterior epipharyngeal sclerite;The epipharyngeal sclerite on the anterior region of the epipharynx.
independent continuant;epipharyngeal sclerite;The sclerite of the epipharynx.
independent continuant;posterior tormal process;The region of the cuticle on the postero-lateral region of the torma.
independent continuant;medial tormal process;The region of the cuticle of the torma that is elongated and parallel to the left-right axis.
independent continuant;cardo process;The apodeme that is adjacent to the proximo-dorsal region of the cuticle of the cardo.
independent continuant;mandibular adductor apodeme;The apodeme adjacent to the proximo-medial region of the cuticle of the insect mandible.
independent continuant;mandibular abductor apodeme;The apodeme adjacent to the proximo-lateral region of the cuticle of the insect mandible.
independent continuant;mandibular ventrolateral condyle;The insect articulation on the ventro-lateral region of the cuticle of the insect mandible.
independent continuant;mandibular dorsolateral socket;The insect articulation on the dorso-lateral region of the cuticle of the insect mandible.
independent continuant;epipharyngeal process;The setose cuticle of the epipharynx that is posterior to the anterior epipharyngeal sclerite.
independent continuant;lacinial seta;The cuticular seta on the dorsal region of the cuticle of the lacinia.
independent continuant;galeal seta;The cuticular seta on the dorsal region of the cuticle of the galea.
independent continuant;lateral cardo process;The cardo process of the lateral region.
independent continuant;mesal cardo process;The cardo process of the medial region.
independent continuant;anteromedial hypopharyngeal sclerite;The hypopharyngeal sclerite on the antero-medial region of the hypopharynx.
independent continuant;anterolateral hypopharyngeal sclerite;Each of the bilaterally paired hypopharyngeal sclerites on the antero-lateral region of the hypopharynx.
independent continuant;struts of hypopharyngeal suspensorium;The bilaterally paired sclerites composing the ventral region of the hypopharyngeal suspensorium.
independent continuant;hypopharyngeal brush;The setose cuticle on the medial region of the hypopharynx.
independent continuant;pronotal sulcus;The bilaterally paired cuticular sulcus on the posterior region of the pronotum.
independent continuant;paraglossal seta;The cuticular seta on the ventral region of the cuticle of the paraglossa.
independent continuant;lacinial digitus;The sclerite on the lateral margin the cuticle of the lacinia.
independent continuant;spiculum;The apodeme on the anterior margin of abdominal sternite VIII.
independent continuant;uncus;The spine on the distal margin of the tibia.
independent continuant;tibial spur;The spur on the distal margin of the tibia.
independent continuant;scrobe;The subantennal groove on the rostrum that is posterior to the antennal foramen.
independent continuant;rostrum;The region of cuticle of the insect head that is proximal to the mouthparts and composed of frons and clypeus.
independent continuant;lateral pronotal margin;The lateral margin of the pronotum
independent continuant;subantennal groove;The concave region of the cuticle on the lateral or ventral region of the head capsule that is adjacent to the antennal foramen.
independent continuant;genal seta;The cuticular seta on the external side of the cuticle of the gena that is posterior or ventral to the compound eye.
independent continuant;frontal carina;The carina on the frons that is dorsal to the antennal foramen.
function;costate elytral interstria;The elytral stria with elevated surface.
independent continuant;baculum;The sclerite of the paraproct that is elongated.
independent continuant;manubrium;The apodeme on the anterior margin of the tegmen.
independent continuant;tegmen;The phallobase that is fused to the parameres.
independent continuant;flagellum;The endophallite that is elongated.
independent continuant;ventral cranio-mandibular articulation;The cranio-mandibular articulation of the head capsule at the anterior region of the postgena
independent continuant;clypealia;The region of the cuticle corresponding to the postero-lateral region of the postclypeus
independent continuant;dorsal cranio-mandibular articulation;The cranio-mandibular articulation of the head capsule on the ventral region of the clypealia
independent continuant;genoclypeal sulcus;The cuticular sulcus that is the lateral region of the frontoclypeal sulcus.
independent continuant;ventral lobe of eye;The ventral region of the eye cuticle.
independent continuant;dorsal lobe of eye;The dorsal region of the eye cuticle.
independent continuant;labral seta;The cuticular seta on the dorsal region of the cuticle of the labrum.
independent continuant;submental sulcus;The cuticular sulcus between the submentum and the postgena
independent continuant;posterior cranial transverse groove;The cuticular groove of the head capsule that runs parallel to the left-right axis, adjacent to the vertex and the occiput
independent continuant;supraorbital crest;The cuticular carina that is parallel to the medial margin of the eye
independent continuant;cranio-maxillar articulation;The insect articulation of the head capsule at the postero-medial region of the postgena
independent continuant;ventro-lateral metendosternal process;The cuticular protrusion on the ventro-lateral region of the metendosternite that is distal to the metendosternal lamina and proximal to the metendosternal arm.
independent continuant;distigalea;The distal region of the cuticle of the galea that is adjacent to the distal margin of the basigalea.
independent continuant;basigalea;The proximal region of the cuticle of the galea that is adjacent to the distal margin of the mediostipes.
independent continuant;arms of hypopharyngeal suspensorium;The bilaterally paired sclerites on the antero-dorsal region of the hypopharyngeal suspensorium.
independent continuant;gulamentum;The insect sclerite that includes the gula and the submentum.
independent continuant;mala;The cuticle of the mouthpart composed at least by the cuticle of the galea.
independent continuant;cupule;The antennomere that is cup-shaped.
function;periarticular groove;The cuticular groove on the distal side of the cuticle of an antennomere that bears cuticular sensillae.
independent continuant;postcoxal process of hypomeron;Each of the bilaterally paired regions of cuticle on the postero-medial region of the hypomeron.
independent continuant;notosternal ridge;The cuticular ridge on the cuticle of the prothorax that coincides with the notosternal sulcus.
independent continuant;frontoclypeus;The region of cuticle that is part of the head capsule, posterior to the labrum and composed of clypeus and frons.
independent continuant;medial hypopharyngeal sclerite;Each of the bilaterally paired hypopharyngeal sclerites on the medial region of the hypopharynx.
independent continuant;propleurotrochantin;The protrochantin that is fused with the propleuron.
independent continuant;median gular endocarina;The cuticular internal depression that is medial to the gular sulci.
independent continuant;postcoxal projections of propleuron;The region of cuticle on the postero-lateral region of the propleuron.
independent continuant;anterior transverse flange of the metendosternite;The cuticular carina on the anterior region of the metendosternite (metafurca) that is parallel to the left-right axis.
independent continuant;anterior longitudinal flange of the metendosternite;The cuticular carina on the anterior region of the metendosternite (metafurca) that is parallel to the anterior-posterior axis.
independent continuant;metendosternal lamina;The bilaterally paired region of cuticle on the dorso-lateral region of the metendosternite that is proximal to the metendosternal arm.
independent continuant;metendosternal arm;The bilaterally paired dorso-lateral apodeme of the metendosternite that is distal to the metendosternal lamina.
independent continuant;metendosternal stalk;The region of cuticle that constitutes the ventro-medial region of the metendosternite.
independent continuant;mesendosternal arm;The apodeme of the mesendosternite.
independent continuant;mesokatepisternal sulcus;The sulcus of the mesoventrite that is transverse (parallel to the left-right axis).
independent continuant;elytral window puncture;The elytral puncture that is relatively large, square, and transparent.
independent continuant;elytral stria 8;The elytral stria that is lateral to the elytral interstria 8.
independent continuant;elytral interstria 8;The elytral interstria that is lateral to the elytral stria 7.
independent continuant;elytral stria 7;The elytral stria that is lateral to the elytral interstria 7.
independent continuant;elytral interstria 7;The elytral interstria that is lateral to the elytral stria 6.
independent continuant;elytral stria 6;The elytral stria that is lateral to the elytral interstria 6.
independent continuant;elytral interstria 6;The elytral interstria that is lateral to the elytral stria 5.
independent continuant;elytral stria 5;The elytral stria that is lateral to the elytral interstria 5.
independent continuant;elytral interstria 10;The elytral interstria that is lateral to the elytral stria 9.
independent continuant;elytral stria 9;The elytral stria that is lateral to the elytral interstria 9.
independent continuant;elytral interstria 9;The elytral interstria that is lateral to the elytral stria 8.
independent continuant;triangular folding area of the beetle wing;The insect wing fold that is proximal to the radial cross-vein r4 and anterior to the oblongum cell of the beetle wing.
independent continuant;medial bar of the beetle wing;The medial vein that is posterior to the radial posterior (RP) vein of the beetle wing.
independent continuant;elytron with 9 striae;The elytron that has parts elytral striae 1-9.
independent continuant;radial bar of the beetle wing;The insect wing vein composed of the radial anterior branch 1+2 (RA1+2) of the beetle wing and the subcosta posterior (ScP) of the beetle wing.
independent continuant;posterolateral pronotal angle;The anatomical margin that is formed by the posterior region of the posterolateral pronotal margin and by the lateral region of the posterior pronotal margin.
independent continuant;central field of the beetle wing;The region of the beetle wing that is distal to the radial field of the insect wing, anterior to the medial field of the insect wing, and proximal to the apical field of the beetle wing.
independent continuant;anterolateral pronotal angle;The anatomical margin that is formed by the anterior region of the anterolateral pronotal margin and by the lateral region of the anterior pronotal margin.
independent continuant;radial cell of the beetle wing;The insect wing vein that is anterior to the central field of the beetle wing, distal to the radial bar of the beetle wing, and proximal to the apical field of the beetle wing.
independent continuant;elytral interstria 12;The elytral interstria that is lateral to the elytral stria 11.
independent continuant;apical field of the beetle wing;The region of the beetle wing that is distal to the central region of the beetle wing.
independent continuant;elytral stria 11;The elytral stria that is lateral to the elytral interstria 11.
material entity;anterior tendon of the metendosternite;The cuticular tendon on the antero-dorsal regionof the metendosternal lamina.
independent continuant;elytral interstria 11;The elytral interstria that is lateral to the elytral stria 10.
independent continuant;elytral stria 10;The elytral stria that is lateral to the elytral interstria 10.
independent continuant;subcosta posterior (ScP) of the beetle wing;The posterior region of the subcostal vein of the insect wing.
independent continuant;subcosta anterior (ScA) of the beetle wing;The anterior region of the subcostal vein of the insect wing.
independent continuant;humeral field of the beetle wing;The region of the beetle wing that is distal to the axillary region of the insect wing and proximal to the costal vein of the insect wing.
independent continuant;elytral interstria 3;The elytral interstria that is lateral to the elytral stria 2.
independent continuant;elytral stria 2;The elytral stria that is lateral to the elytral interstria 2.
independent continuant;elytral interstria 2;The elytral interstria that is lateral to the elytral stria 1.
independent continuant;elytral stria 1;The elytral stria that is lateral to the elytral interstria 1.
independent continuant;elytral interstria 1;The elytral interstria that is lateral to the sutural margin.
independent continuant;anterolateral pronotal apodeme;The apodeme that is bilaterally paired and adjacent to the internal side of the anterior region of the pronotum and adjacent to the internal side of the antero-lateral region of the pronotum.
independent continuant;elytral interstria 5;The elytral interstria that is lateral to the elytral stria 4.
independent continuant;elytral stria 4;The elytral stria that is lateral to the elytral interstria 4.
independent continuant;elytral interstria 4;The elytral interstria that is lateral to the elytral stria 3.
independent continuant;elytral stria 3;The elytral stria that is lateral to the elytral interstria 3.
independent continuant;elytral interstria;The region of the cuticle of the elytral disc that is adjacent to an elytral stria.
independent continuant;anal posterior branch 4 (AP4) of the beetle wing;The posterior branch of the anal wing vein that is posterior to the anal posterior branch 3 (AP3) of the beetle wing.
independent continuant;elytral stria;The groove on an elytron that is longitidinal (parallel to the anterior-posterior axis).
independent continuant;anal posterior branch 3 (AP3) of the beetle wing;The posterior branch of the anal wing vein that is posterior to the anal anterior branch 3+4 (AA3+4) of the beetle wing.
independent continuant;elytral puncture;A puncture on an elytron.
