class;term;comment
occurrent;Carnegie stage 18;Organogenesis stage during which ossification commences.
occurrent;52-year-old stage;Middle aged stage that refers to an adult who is over 52 and under 53 years old.
occurrent;middle aged stage;Late adulthood that refers to an adult who is over 40 and under 60 years old.
occurrent;Carnegie stage 17;Organogenesis stage during which finger rays become visible.
occurrent;51-year-old stage;Middle aged stage that refers to an adult who is over 51 and under 52 years old.
occurrent;young adult stage;A prime adult stage that refers to an adult who is under 40 years old.
occurrent;Carnegie stage 20;Organogenesis stage during which upper limbs are longer and bent at elbow.
occurrent;54-year-old stage;Middle aged stage that refers to an adult who is over 54 and under 55 years old.
occurrent;Carnegie stage 19;Organogenesis stage during which the straightening of the trunk starts.
occurrent;53-year-old stage;Middle aged stage that refers to an adult who is over 53 and under 54 years old.
occurrent;15-19 year-old;A young adult stage that refers to an adult who is over 15 and under 20 years old.
occurrent;Carnegie stage 22;Organogenesis stage during which eyelids and external ears appear.
occurrent;Carnegie stage 21;Organogenesis stage during which hands and feet turned inward.
occurrent;55-year-old stage;Middle aged stage that refers to an adult who is over 55 and under 56 years old.
occurrent;2-4 year-old child stage;Child stage that refers to a child who is over 2 and under 5 years old.
occurrent;Carnegie stage 23;Organogenesis stage during which the head, the body, and the limbs are rounded structures.
occurrent;57-year-old stage;Middle aged stage that refers to an adult who is over 57 and under 58 years old.
occurrent;60-79 year-old stage;Late adult stage that refers to an adult who is under 80 years old.
occurrent;56-year-old stage;Middle aged stage that refers to an adult who is over 56 and under 57 years old.
occurrent;juvenile stage (5-14 yo);Pediatric stage that refers to a human who is over 5 and under 15 years old.
occurrent;Carnegie stage 05b;Carnegie developmental stage 5 defined by a trophoblastic lacunae.
occurrent;59-year-old stage;Middle aged stage that refers to an adult who is over 59 and under 60 years old.
occurrent;Carnegie stage 05a;Carnegie developmental stage 5 defined by a solid trophoblast.
occurrent;58-year-old stage;Middle aged stage that refers to an adult who is over 58 and under 59 years old.
occurrent;1-month-old stage;Infant stage that refers to an infant who is over 28 days and under 2 months old.
occurrent;Carnegie stage 06a;Carnegie developmental stage 6 during which chorionic villi appear.
occurrent;61-year-old stage;Middle aged stage that refers to an adult who is over 61 and under 62 years old.
occurrent;Carnegie stage 05c;Carnegie developmental stage 5 defined by a lacunar vascular circle.
occurrent;60-year-old stage;Middle aged stage that refers to an adult who is over 60 and under 61 years old.
occurrent;Carnegie stage 08;Neurula stage during which the primitive pit and the notochordal canal appear.
occurrent;41-year-old stage;Adult stage that refers to an adult who is over 41 and under 42 years old.
occurrent;Carnegie stage 07;Neurula stage during which the notochordal process appears, and gastrulation is continuing.
occurrent;40-year-old stage;Adult stage that refers to an adult who is over 40 and under 41 years old.
occurrent;114-year-old stage;Aged stage that refers to an adult who is over 114 and under 115 years old.
occurrent;Carnegie stage 09;Organogenesis stage during which somites 1-3 appear, and neural folds, cardiac primordium, and head fold are present.
occurrent;43-year-old stage;Adult stage that refers to an adult who is over 43 and under 44 years old.
occurrent;adult stage;Human developmental stage that refers to a sexually mature human.
occurrent;organogenesis stage;Embryonic stage at which the ectoderm, endoderm, and mesoderm develop into the internal organs of the organism.
occurrent;42-year-old stage;Adult stage that refers to an adult who is over 42 and under 43 years old.
occurrent;Carnegie stage 11;Organogenesis stage during which somites 13-20 appear, and the rostral neuropore closes.
occurrent;45-year-old stage;Middle aged stage that refers to an adult who is over 45 and under 46 years old.
occurrent;Carnegie stage 10;Organogenesis stage during which somites 4-12 appear, and the neural fold fuses.
occurrent;44-year-old stage;Adult stage that refers to an adult who is over 44 and under 45 years old.
occurrent;Carnegie stage 12;Organogenesis stage during which somites 21-29 appear, and the caudal neuropore closes.
occurrent;46-year-old stage;Middle aged stage that refers to an adult who is over 46 and under 47 years old.
occurrent;infant stage;Immature stage that refers to an infant who is over 28 days and is under 12 months old.
occurrent;nursing stage (0-11 months);Human developmental stage that covers the first period from birth, with breast feeding and/or bottled substitute, and that stops at language acquisition.
occurrent;Carnegie stage 14;Organogenesis stage during which lens pit and optic cup appear.
