class;term;comment
material entity;granulocyte;The hemocyte which contains granules.
material entity;eighth median transganglionic artery;The median transganglionic artery which is next in a posterior direction to the seventh median transganglionic artery.
material entity;ninth median transganglionic artery;The median transganglionic artery which is next in a posterior direction to the eighth median transganglionic artery.
material entity;fifth pleopodal artery;The pleopodal artery which supplies the fifth pleopod.
material entity;hemolymph circulatory system;The anatomical system consisting of a hemolymph vascular system, a hemolymph lacunar system and hemolymph.
material entity;sixth median transganglionic artery;The median transganglionic artery which is next in a posterior direction to the fifth median transganglionic artery.
material entity;fourth pleopodal artery;The pleopodal artery which supplies the fourth pleopod.
material entity;prohemocyte;The cell which is part of the hemolymph that differentiates into different types of hemocytes.
material entity;seventh median transganglionic artery;The median transganglionic artery which is next in a posterior direction to the sixth median transganglionic artery.
material entity;pleopodal artery;The leg artery which supplies a pleopod.
material entity;ovipositor heart;The accessory pulsatile organ which maintains hemolymph supply to the ovipositor.
material entity;second ventral branching artery;The ventral branching artery which is next in a posterior direction to the first ventral branching artery.
material entity;fifth leg artery;The artery which supplies the fifth leg.
material entity;posterior aorta;The aorta which emanates posteriorly from the heart.
material entity;first dorsal prosomal artery system;The artery system which consists of the first prosomal artery and all its branches.
material entity;second pleopodal artery;The pleopodal artery which supplies the second pleopod.
material entity;ligament;The portion of tissue which suspends the heart elastically.
material entity;first pleopodal artery;The pleopodal artery which supplies the first pleopod.
material entity;wing heart;The accessory pulsatile organ which maintains hemolymph supply to the wing.
material entity;first ventral branching artery;The ventral branching artery which is the anteriormost one.
material entity;septum;The portion of tissue which borders a sinus.
material entity;cercus heart;The accessory pulsatile organ which maintains hemolymph supply to the cerci.
material entity;first dorsal prosomal artery;The dorsal prosomal artery which is the anteriormost one.
material entity;pereiopodal artery system;The artery system which consists of the pereiopodal artery and all its branches.
material entity;pereiopodal artery;The leg artery which supplies a pereiopod.
material entity;second dorsal prosomal artery;The dorsal prosomal artery which is next in a posterior direction to the first dorsal prosomal artery.
material entity;mandibular arch;The artery which is part of the anterior aorta system and which forms a loop with its contralateral counterpart and is situated in the mandibular segment.
material entity;spherulocyte;The granulocyte which contains regularly shaped spherical grana.
material entity;second dorsal prosomal artery system;The artery system which consists of the second prosomal artery and all its branches.
material entity;maxilliped arch;The artery which connects the heart and the ventral vessel and is situated in the first trunk segment.
material entity;hemolymph lacunar system;The anatomical system which represents the sum of all sinuses and lacunae.
material entity;third dorsal prosomal artery system;The artery system which consists of the third prosomal artery and all its branches.
material entity;third pleopodal artery;The pleopodal artery which supplies the third pleopod.
material entity;dorsal prosomal artery system;The artery system which consists of the dorsal prosomal artery and all its branches.
material entity;optic artery system;The artery system which consists of the optic artery and all its branches.
material entity;alary muscle;The ligament which is muscular, spans between the heart or the pericardial septum and the lateral body wall.
material entity;third dorsal prosomal artery;The dorsal prosomal artery which is next in a posterior direction to the second dorsal prosomal artery.
immaterial entity;hemolymph space;The anatomical space which is filled with hemolymph.
material entity;first median transganglionic artery system;The artery system which consists of the first median transganglionic artery and all its branches.
material entity;first cardiac artery system;The cardiac artery system which consists of the first cardiac artery and all its branches.
immaterial entity;antennal hemocoel;The hemocoel which is part of an antenna.
material entity;fourth lateral transganglionic artery;The lateral transganglionic artery which is next in a posterior direction to the third lateral transganglionic artery.
material entity;solid compound organ;Compound organ that does not contain macroscopic anatomical spaces.
material entity;first cardiac artery;The cardiac artery which is the anteriormost one.
material entity;third lateral transganglionic artery;The lateral transganglionic artery which is next in a posterior direction to the second lateral transganglionic artery.
material entity;fringe artery system;The artery system which consists of the fringe artery and all its branches.
material entity;supraneural artery;The ventral vessel which lies dorsally to the ventral nerve cord.
material entity;sixth lateral transganglionic artery;The lateral transganglionic artery which is next in a posterior direction to the fifth lateral transganglionic artery.
material entity;esophageal artery system;The artery system which consists of the esophageal artery and all its branches.
material entity;accessory optic artery;The optic artery which is part of the anterior lateral artery system.
material entity;fifth lateral transganglionic artery;The lateral transganglionic artery which is next in a posterior direction to the fourth lateral transganglionic artery.
material entity;neuron projection bundle;A fasciculated bundle of neuron projections (GO:0043005), largely or completely lacking synapses.
material entity;second ostium;The ostium which is next in a posterior direction to the first ostium.
material entity;neuron projection bundle segment;A fiber-shaped subdivision of a neuron projection along its long axis.
material entity;mandibular artery;Is the artery which supplies a mandible.
material entity;supraneural artery system;The artery system which consists of the supraneural artery and all its branches.
material entity;epithelial cell;Cell which has as its part a cytoskeleton that allows for tight cell to cell contact and which has apical-basal cell polarity.
material entity;second cardiac artery;The cardiac artery which is next in a posterior direction to the first cardiac artery.
material entity;second lateral transganglionic artery;The lateral transganglionic artery which is next in a posterior direction to the first lateral transganglionic artery.
material entity;multi-cell-component structure;A structure consisting of multiple cell components but which is not itself a cell and does not have (complete) cells as a part.
material entity;first ostium;The ostium which is the anteriormost one.
material entity;first lateral transganglionic artery;The lateral transganglionic artery which is the anteriormost one.
material entity;lateral brain artery system;The artery system which consists of the lateral brain artery and all its branches.
material entity;gastric artery system;The artery system which consists of the gastric artery and all its branches.
material entity;epicardial cell;The cell which is part of the epicard.
material entity;myoarterial formation a;The myoarterial formation which is part of the anterior aorta and into which the esophageal dilator muscles m103 and m104 (sensu Scheloske 1976) are internalized.
material entity;subneural artery;The ventral vessel which lies ventrally to the ventral nerve chord.
material entity;myoarterial formation b;The myoarterial formation which is part of the anterior aorta and into which the musculi occuli basales posteriores (sensu Baumann 1917) are internalized.
immaterial entity;podo-pericardial sinus;The sinus which connects the hemocoel of the legs with the pericardial sinus.
material entity;vascular ring;The artery which is part of the perineural vascular sheath, emanates from the aortic arches and surrounds the prosomal ganglion.
material entity;posterior ventral vessel;The artery which is part of the ventral vessel posterior to the junction with the descending artery.
material entity;accompanying artery system;The first cardiac artery system which consists of the accompanying artery and its branches.
immaterial entity;sinus;The hemocoel which is partly or totally bordered by a septum.
immaterial entity;ventral sinus;The sinus which surrounds the ventral nerve cord and is bordered by the ventral diaphragm.
material entity;aortic diverticles;The accessory pulsatile organ which is part of an anterior aorta system, consisting of two blind ending, muscular sacs, connecting to the anterior aorta via a common branch.
material entity;pulsatile organ;The cavitated compound organ which is surrounded by a wall containing muscular or collageneous elements.
material entity;podo-pericardial sinus septum;The septum which borders the podo-pericardial sinus.
material entity;aortic bulb;The artery which is part of the posterior aorta and is its bulbous anterior portion.
immaterial entity;trough-like lacuna;The lacuna which is situated under the midgut gland and bears a trough-like shape.
material entity;myoarterial formation c;The myoarterial formation which is part of the anterior aorta and into which dilators of the posterior part of the stomach chamber are internalized.
material entity;accessory optic artery system;The artery system which consists of the accessory optic artery and all its branches.
material entity;leg heart;The accessory pulsatile organ which maintains hemolymph supply to the leg.
material entity;tenth median transganglinic artery;The median transganglionic artery which is next in a posterior direction to the ninth median transganglionic artery.
material entity;left pleonal artery;The pleonal artery which emanates posterolaterally from the posterior aorta on the left side.
material entity;inferior lateral artery;The cardiac artery which emanates ventrally to the origin of an anterior lateral artery.
material entity;arterial system;The anatomical system which is part of the hemolymph vascular system and represents the sum of all arteries.
material entity;epidermal artery system;The artery system which consists of the epidermal artery and all its branches.
material entity;hemolymph vascular system;The anatomical system which is part of the circulatory system and consists of the arterial system and the heart.
immaterial entity;vascular lumen;The hemolymph space which is part of a vessel and is surrounded by the vascular wall.
material entity;antennal artery system;The artery system which consists of the antennal artery and all its branches.
material entity;hemolymph plasma;The portion of organism substance which is part of the hemolymph, non-cellular and surrounds the hemolymph cells.
material entity;vascular wall;The portion of tissue which is part of a vessel and surrounds the vascular lumen.
material entity;second gonopodal artery;The gonopodal artery which supplies the second gonopod.
material entity;opisthosomal marginal artery;The artery which is part of the opisthosomal marginal artery system, emanates from the prosomal marginal artery and runs along the outer edge of the opisthosoma.
material entity;valve;The anatomical structure which forms an outlet structure.
material entity;accessory pulsatile organ;The pulsatile organ which is accessory to the heart.
material entity;peribuccal artery system;The artery system which consists of the peribuccal artery and all its branches.
material entity;right pleonal artery;The pleonal artery which emanates posterolaterally from the posterior aorta on the right side.
material entity;caudal artery;The artery which runs longitudinally and supplies the posterior region of the body.
material entity;arterial loop;The capillary which is arranged in a hairpin-like fashion.
material entity;myocyte;A mature contractile cell, commonly known as a myocyte. This cell has as part of its cytoplasm myofibrils organized in various patterns.
material entity;prosomal marginal artery;The artery which is part of the prosomal marginal artery system, emanates from the collateral artery and runs along the outer edge of the prosomal shield.
material entity;rete mirabile;The anatomical system which consists of anastomosing arteries and capillaries between afferent and efferent artery systems.
material entity;epigastric artery;The artery which supplies the dorsal stomach musculature.
