class;term;comment
material entity;stem internode elongation zone;A shoot axis internode elongation zone (PO:0025100) that is part of a stem internode (PO:0009047).
material entity;stem internode differentiation zone;A shoot internode differentiation zone that is part of a stem internode.
material entity;lodicule primordium;A phyllome primordium (PO:0025128)that develops from a lodicule anlagen (PO:0025483) and is committed to the development of a lodicule (PO:0009036).
material entity;scutellum vascular system;A vascular system (PO:0000034) that is part of a scutellum (PO:0020110).
material entity;scutellar epithelium;A continuous layer of cylindrical cells covering the endosperm side of the scutellum. Thought to act as a secretory and absorptive organ.
material entity;vascular leaf adaxial meristem;A portion of phyllome adaxial meristem (PO:0025400) tissue that is found on the adaxial side of a developing vascular leaf (PO:0009025).
material entity;phyllome adaxial meristem;A portion of meristem tissue (PO:0009013) that is found on the adaxial side of a developing phyllome (PO:0006001).
material entity;vascular leaf abaxial meristem;A portion of phyllome abaxial meristem (PO:0025402) tissue that is found on the abaxial side of a developing vascular leaf (PO:0009025).
material entity;phyllome abaxial meristem;A portion of meristem tissue (PO:0009013) that is found on the abaxial side of a developing phyllome (PO:0006001).
material entity;leaf marginal meristem;A portion of phyllome marginal meristem (PO:0025404) tissue that is part of a leaf margin (PO:0025009) of a vascular leaf (PO:0009025) during a leaf expansion stage (PO:0001052) and has parts marginal and submarginal initials.
material entity;phyllome marginal meristem;A portion of meristem (PO:0009013) tissue that is part of a phyllome margin (PO:0025018) of an expanding phyllome (PO:0006001) and has as parts marginal and submarginal initials.
material entity;plant fiber cell;A sclerenchyma cell (PO:0000077) that is elongated and tapering.
material entity;sieve element;A native plant cell (PO:0025606) that is part of a portion of phloem tissue (PO:0005417), has sieve areas in its walls, and lacks a nucleus in its mature protoplast.
material entity;secondary vascular tissue;A portion of vascular tissue (PO:0009015) that develops from a vascular cambium (PO:0005598).
material entity;primary vascular tissue;A portion of vascular tissue (PO:0009015) that develops from a procambium (PO:0025275).
material entity;shoot axis epidermis;A portion of shoot system epidermis (PO:0006035) that is part of a shoot axis (PO:0025029).
material entity;socket cell;A shoot epidermal cell (PO:0025165) that surrounds a trichome (PO:0000282) and provides its support.
material entity;abaxial nucellar projection;A portion of plant tissue (PO:0009007) that is the abaxial/lower portion of the nucellus (PO:0020020) overlying vascular strands in a caryopsis fruit (PO:0030104).
material entity;nucellar projection;A portion of plant tissue (PO:0009007) that is the morphologically distinct portion of the nucellus overlying the vascular strands in the grass caryopsis.
material entity;modified aleurone;A portion of aleurone layer (PO:0005360) which is morphologically distinct and is located adjacent to the nucellar projection (PO:0008007).
material entity;leaf midvein;A primary leaf vein (PO:0025413) that is the central vein of a vascular leaf (PO:0009025).
material entity;leaf lamina vein;A phyllome lamina vein (PO:0025348) that is part of a leaf lamina vascular system (PO:0000048).
material entity;leaf apex;A phyllome apex (PO:0025139) that is part of a leaf (PO:0025034).
material entity;fruit nucellus;A nucellus that is part of a fruit.
material entity;ear inflorescence;A pistillate inflorescence (PO:0025598) in Zea species that is highly compacted and bears the ear spikelets (PO:0006320) on a lateral inflorescence axis (PO:0020122).
material entity;nucellar epidermis;A megasporangium exothecium (PO:0025312) that is the morphologically distinct outer layer of the nucellus (PO:0020020).
material entity;root differentiation zone;A plant axis differentiation zone that is the part of a root and is located behind a root elongation zone.
