class;term;comment
material entity;calcareous tripod;Regular triactine whose center is not in the same plane as the extremities of the recurved rays.
quality;caliculate;Cup shaped (Poterion neptuni)
material entity;exhalant system;Part of the aquiferous system between the apopyle and oscule
material entity;brachyome;Shortened arm of a trider.
material entity;eurypylous;Type of choanocyte chamber that connects directly with the inhalant canals through prosopyles and with the excurrent canal through an apopyle. There is no special canal after the apopyle, and several chambers open into the same exhalant canal
quality;branching;Spreading out in branches (see also ARBORESCENT and REPENT).
material entity;euaster;A collective term for astrose microscleres in which the rays radiate from a central point
material entity;bud;An asexual reproductive body composed of various types of cells (e.g., Tethya spp., Axinella damicornis).
material entity;exhalant canal;Any canal forming part of the exhalant system, lined by the apopinacoderm.
specifically dependent continuant;excavating;Living in galleries or cavities bored into limestone or other calcareous materials (species of Cliona, Thoosa, Aka)
material entity;birotula;A type of microsclere with a straight shaft and umbrella-shaped ends
material entity;epitheca;A thin, wrinkled, calcareous layer, different in structure from the normal skeleton, covering the dead basal part of a rigid calcareous skeleton
material entity;epirhysis;In fossil sponges, canal closed at inner end (cf. aporhysis).
material entity;blunt megasclere;Adjective referring to the extremities of megascleres. See OXEA.
specifically dependent continuant;erect;General term for having a vertical (away from substrate) growth strategy.
material entity;bouquet;Ectosomal brush of spicules perpendicular to the surface of the sponge, with pointed ends outward.
material entity;equal megasclere;Adjective referring to the extremities of megascleres. See OXEA.
material entity;epirhabd;Part of the developed desma formed by the deposition of concentric layers immediately around the crepis.
immaterial entity;apopyle;a pore in each of the saclike chambers formed by the evagination of the body wall, through which water passes into the excurrent canals.
material entity;basidictyonal plate;Rigid basal skeletal framework.
material entity;eosinophilic cell;Cell with inclusions that react positively with eosine.
material entity;maternal cell;
material entity;basopinacocyte;Pinacocyte affixing the sponge to the substratum by external secretion of a collagenous matrix (bs in figure).
material entity;entrapped spicules;Calcareous or siliceous spicules that are not part of the primary spicule framework but are progressively enclosed within a solid skeleton during growth
material entity;bipocillum;A modified anisochela with fused alae connected by a short curved shaft (genus Iophon)
material entity;bark;The dense area of compacted spongin surrounding the central zone in pithed fibers
material entity;endopinacocyte;Pinacocyte lining the inhalant and exhalant canals. In some Demospongiae orders, it has a flagellum (en in figure).
material entity;pinacoderm;The pinacoderm is the outer most layer of cells (pinacocytes) in the phylum Porifera (sponges), similar to the epidermis in other organisms. The pinacocytes are on the external surface of the sponge body and characterized as an epithelial layer of flattened cells.
material entity;basal spongin plate;A spongin layer covering the substratum
specifically dependent continuant;endolithic;Occupying cavities in hard substrata (see also EXCAVATING).
material entity;porocyte;cell that surrounds a pore (ostium). In an asconoid sponge, water enters the sponge through the porocytes, passes directly to the choanocyte-lined spongocoel, and then out of the sponge through the osculum.
material entity;basal triradiate system;The three rays of a tetractine that correspond to those of a triactine
specifically dependent continuant;endopsammic;Main part of body buried in sand (Oceanapia peltata)
material entity;spicule ray;
material entity;basalia;Spicules protruding from lower sponge surface. sometimes called root spicules, anchors, barbed basalia. in some species, forming a root tuft
material entity;endopinacoderm;Surface lined by endopinacocytes.
material entity;ectosome;The superficial region of a sponge that has no choanocyte chambers.
material entity;axial skeleton;A type of skeletal organization in which some components are condensed to form a central region or axis
material entity;ectosomal skeleton;Skeleton found in the superficial region of a sponge, distinct from that of the choanosome.
material entity;axinellid skeleton;Structure with a dense core of parallel fibers or strands fanning out toward the periphery of a sponge See also PLUMOSE or PLUMORETICULATE.
material entity;encrusted substrate;Thin, sheet-like coating of the substrate (Hymedesmia spp.)
material entity;flagellated canal;
material entity;bacteriocyte;Cell containing prokaryotic microsymbionts
specifically dependent continuant;elastic;Resilient.
material entity;choanoblast;Cell that buds anucleate outgrowth called COLLAR BODY. in Hexactinellida
material entity;choanochamber;Hexactinellida equivalent of the choanocyte chambers of Demospongiae and Calcarea.
material entity;chela;A microsclere with a curved shaft and recurved ala at each end.
material entity;chiactine;Tetractine with the unpaired ray of the basal system and the apical ray in the same alignment
material entity;chiastoclone;Dendroclone with a very short central shaft.
material entity;chiastosigma;Microsclere composed of two crossed sigmas (genus Chiastosia)
material entity;centrotriaene;A triaene with three clads and two small rhabds (genus Triptolemus)
material entity;centrotylote;Spicule with a median tyle (globular swelling). See OXEA.
material entity;central cell;Single cell located at the apopyle of choanocyte chambers
material entity;verticillate acanthostyle;
material entity;spine;
material entity;carrier cell;Modified choanocyte that transports a captured spermatozoid to an oocyte
quality;acantho;has spines. applies only to spicules
material entity;cellules en croix;Nonflagellated cells arranged in tetraradial fashion in the amphiblastula of Calcaronea
material entity;cemented spicule;Interlocked or adjacent spicules firmly linked by calcareous cement. the cement may be restricted to the junction area or may progressively encase the entire spicule
material entity;spicule center;Point of union of the three rays of a triactine or of a basal triradiate system.
material entity;acanthostyle;
material entity;calycocome;Hexaster with stout main rays and with terminal rays directed outward
material entity;canalaria;Spicules lining canals
material entity;candelabrum;A special form of lophocalthrop characterized by branching, multispined rays
material entity;canonochela;Modified, ellipsoid isochela with wing-like extensions on one (the bottom) side (genus Cercidochela)
material entity;calthrop;Equiangular tetraxon with equal rays
quality;size class;number of size categories
material entity;microsclere;Small spicule, often ornate in shape.
material entity;megasclere;A large spicule, visible to the naked eye.
quality;smooth;PATO 0000701 A texture quality inhering in a bearer by virtue of the bearer's posessing a surface free of roughness or irregularities.
specifically dependent continuant;growth form;
material entity;crystal;
material entity;arrangement of spicules;
material entity;arrangement of megascleres;
material entity;anisochela I;
material entity;anisochela II;
material entity;monactine;Megasclere with a single actine (one ray or one point)
material entity;mineral skeleton;
material entity;clone;Ray-like arm that is entirely anaxial.
specifically dependent continuant;hard;Firm consistency, unyielding to pressure (most lithis tids, species of Petrosia).
material entity;placochela;A special type of isochela with plate-like alae. The alae and the shaft are internally ornamented by radial ridges (genus Guitarra)
material entity;tabula;Plate or floor that partitions the basal part of a skeletal cavity (ta in figure).
material entity;cleistochela;A chela with the ends (anterior alae) very close to each other (e.g., Clathria echinata)
material entity;halichondrioid skeleton;Confused skeleton except at the surface. choanosomal skeleton may be in vague tracts
material entity;pithed fiber;A fiber in which pith is easily distinguished from the surrounding bark.
material entity;synapticule;Bridges composed of siliceous cement joining spicules
material entity;coeloblastula;Hollow larva composed of an envelope of morphologically similar equipotent cells, to which a few larger nonflagellated cells may be added at the posterior pole.
material entity;heloclone;Desma with elongate and usually sinuous shaft, without branches, possibly with small digitations at the ends. the zygomes are lateral notches. An axial canal is usually found along most of the length of the spicule
material entity;codonhexactin;Discohexactin with long, dendate, umbel-like structures
material entity;hastate;Spicule remaining isodiametric for most of its length, with the point or points tapering abruptly. See OXEA.
material entity;plagiotriaene;A triaene in which the clads are directed forward and form with the rhabd an angle of about 45 degrees, and may be recurved distally
quality;clavate;Club shaped (Rhizaxinella pyrifera)
specifically dependent continuant;glutinous;Sticky (Reniera mucosa).
quality;pinnate;Feather shaped (Asbestopluma pennatula)
material entity;syconoid;Aquiferous system with elongated choanocyte chamber containing free distal cones or extending from cortex to atrium.
material entity;clathriid skeleton;Isodictyal or subisodictyal arrangement of fibers cored and/or echinated by styles in the family Microcionidae
quality;globular;Ball shaped, spherical (Tethya aurantium)
quality;sulcate;Furrowed with longitudinal, or meandering (gyriform), parallel channels (Myrmekioderma styx)
material entity;clavule;Sceptrule with one terminal umbel or with terminal anchor teeth
material entity;graphicome;Hexaster with long, thin, parallel branches forming terminal brushes
material entity;pith;Central area of a fiber made up of more or less diffuse wisps of collagen or of a coarsely granular collagen material. See PITHED FIBER.
material entity;symmetrical megasclere;Adjective referring to the extremities of megascleres. See OXEA.
material entity;clavidisc microsclere;A ring-shaped microsclere (genus Merlia).
