class;term;comment
material entity;sternothyroid muscle;The Sternothyreoideus (or Sternothyroid muscle) is shorter and wider than the Sternohyoideus, beneath which it is situated. It arises from the posterior surface of the manubrium sterni, below the origin of the Sternohyoideus, and from the edge of the cartilage of the first rib, and sometimes that of the second rib, it is inserted into the oblique line on the lamina of the thyroid cartilage. This muscle is in close contact with its fellow at the lower part of the neck, but diverges somewhat as it ascends. it is occasionally traversed by a transverse or oblique tendinous inscription. [WP,unvetted].
material entity;clavicle bone;A paired dermal or endochondral bone that is part of the pectoral girdle. The clavicle may be in contact with the interclavicle or coracoid and forms an attachment site for pectoral musculature. [PHENOSCAPE:ad].
material entity;primary visual cortex;The visual area of the brain that is specialized for processing information about static and moving objects. The primary visual cortex, which is defined by its function or stage in the visual system, is approximately equivalent to the striate cortex, also known as Brodmann area 17, which is defined by its anatomical location.
material entity;cephalic vein;A superficial vein of the upper limb that communicates with the basilic vein via the median cubital vein at the elbow and is located in the superficial fascia along the anterolateral surface of the biceps brachii muscle. Superiorly the cephalic vein passes between the deltoid and pectoralis major muscles and through the deltopectoral triangle, where it empties into the axillary vein. It is often visible through the skin, and its location in the deltopectoral groove is fairly consistent, making this site a good candidate for cannulation. It is often referred to as the 'House-man's Friend' for this reason and is generally a good place for cannulaton when a large bore cannula needs to be sited. [WP,modified].
material entity;cerebral hemisphere white matter;White matter that is part of a cerebral hemisphere.
material entity;sternohyoid muscle;The sternohyoid muscle is a thin, narrow muscle attaching the hyoid bone to the sternum, one of the paired strap muscles of the infrahyoid muscles serving to depress the hyoid bone. It is innervated by the ansa cervicalis. The muscle arises from the posterior border of the medial end of the clavicle, the posterior sternoclavicular ligament, and the upper and posterior part of the manubrium sterni. Passing upward and medially, it is inserted by short tendinous fibers into the lower border of the body of the hyoid bone. [WP,unvetted].
material entity;ventral tegmental nucleus;A nucleus of brain that is part of a ventral tegmental area.
material entity;omohyoid muscle;The omohyoid muscle is a muscle at the front of the neck that consists of two bellies separated by an intermediate tendon. It belongs to the group of infrahyoid muscles. [WP,unvetted].
material entity;myenteric nerve plexus;One of two ganglionated neural networks which together form the enteric nervous system. The myenteric (Auerbach's) plexus is located between the longitudinal and circular muscle layers of the gut. Its neurons project to the circular muscle, to other myenteric ganglia, to submucosal ganglia, or directly to the epithelium, and play an important role in regulating and patterning gut motility.
material entity;insect wing margin;The border or edge of the wing. It separates the dorsal and ventral compartments.
material entity;inferior tarsal muscle;A smooth muscle tissue that is part of a inferior eyelid tarsus.
material entity;heterogeneous tissue;
material entity;external jugular vein;The external jugular vein receives the greater part of the blood from the exterior of the cranium and the deep parts of the face, being formed by the junction of the posterior division of the posterior facial with the posterior auricular vein. [WP,unvetted].
material entity;pars intermedia of adenohypophysis;The thin boundary between the adenohypophysis and neurohypophysis of the pituitary that produces melanocyte stimulating hormone (MSH). this area is small or absent in mammalian adults.
material entity;cartilage of main bronchus;A cartilage that is part of a main bronchus [Automatically generated definition].
material entity;pars tuberalis of adenohypophysis;The pars tuberalis is part of the anterior lobe of the pituitary gland, and wraps the pituitary stalk in a highly vascularized sheath. [WP,unvetted].
