class;term;comment
occurrent;Brugia L2;The second stage larva. Derived from flight muscles of vector host. some development in vitro, with L1 to L2 moulting, has been demonstrated but rarely. these are often staged by hours or days post blood meal.
occurrent;Brugia L3;The third stage larva.
occurrent;Brugia L4;The fourth stage larva. Should be conditioned by days post infection. as moulting is not synchronous, some samples are defined as L3/L4, indicating a mix of individuals as late L3, moulting, and early L4.
occurrent;Brugia adult;The life-stage that begins when a B. malayi individual is fully-developed and has reached maturity. Adult B. malayi (or at least adult females) can live for 10 years in a human host, and can outlive their rodent laboratory hosts. it is usual to state the chronological age of the nematodes in days or months post-infection, and occasionally post-patency (the production of first microfilariae).
occurrent;L4 larva male Ce;The fourth stage larva male. At 25 Centigrade, it ranges 40-49.5 hours after fertilization, 26-35.5 hours after hatch.
occurrent;11-15 days post-L4 adult hermaphrodite Ce;At 20 Centigrade: 11-15 days after L4-adult molt. 14-18 days after first cleavage.
occurrent;Brugia sheathed microfilaria;A Brugia microfilaria life stage in which larvae are surrounded by a membrane thought to be derived from the vitelline membrane, hence "sheathed".
occurrent;Brugia L1;The first stage larva.
occurrent;96-cell embryo Ce;The C. elegans life stage spanning 155-165 min after first cleavage at 20 Centigrade. Contains 96 cells.
occurrent;Brugia postembryonic stage;A developemental life stage in a roundworm of the genus Brugia that occurs from egg hatching until death.
occurrent;14-cell embryo Ce;E-cell has divided into Ea and Ep. Contains 14 cells.
occurrent;24-cell embryo Ce;Fourth cleavage of the AB lineage. Contains 24 cells.
occurrent;44-cell embryo Ce;Fifth cleavage of the AB lineage. Contains 44 cells.
occurrent;68-cell embryo Ce;Sixth cleavage of the AB lineage. Contains 68 cells.
occurrent;86-cell embryo Ce;Seventh cleavage of the AB lineage. Contains 86 cells.
occurrent;190-cells embryo Ce;P4 and M cells have finished migrating. Contains 190 cells.
occurrent;Brugia middle embryo;Proliferates from 100 cells to Lima bean stage.
occurrent;Brugia late embryo;From Lima bean to hatching.
occurrent;Brugia larval stage;A developmental life stage of a roundworm of the genus Brugia that occurs from egg hatching until adulthood.
occurrent;Brugia L3i;Also known as infective L3, or iL3. i.e. isolated from the vector salivary glands. these samples may-should be conditioned by age, which is usually counted in days from the blood meal.
occurrent;Brugia post-infection L3;Derived from the host after reintroduction by vector feeding or manual inoculation. these piL3 samples are often-should be conditioned by age (hours or days post-infection).
occurrent;169 min post first-cleavage Ce;The time period encompassing the 169th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;170 min post first-cleavage Ce;The time period encompassing the 170th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;160 min post first-cleavage Ce;The time period encompassing the 160th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L2d-dauer lethargus Ce;The stage during L2d-dauer molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old.
occurrent;161 min post first-cleavage Ce;The time period encompassing the 161st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L2d-dauer molt Ce;The stage when an animal shifts from L2d larva to dauer larva. It includes the synthesis of new cuticle, cease of pharyngeal pumping during a lethargus stage, and the shed off of old cuticle.
occurrent;162 min post first-cleavage Ce;The time period encompassing the 162nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;dauer larva Ce;A third stage larva specialized for dispersal and long term survival.
occurrent;163 min post first-cleavage Ce;The time period encompassing the 163rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;postdauer-L4 lethargus Ce;The stage during postdauer-L4 molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old.
occurrent;164 min post first-cleavage Ce;The time period encompassing the 164th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;postdauer-L4 molt Ce;The stage when an animal shifts from post dauer stage to L4 larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle.
occurrent;165 min post first-cleavage Ce;The time period encompassing the 165th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L3 larva Ce;The third stage larva. At 25 Centigrade, it ranges 32.5-40 hours after fertilization, 18.5-26 hours after hatch.
occurrent;166 min post first-cleavage Ce;The time period encompassing the 166th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L3-L4 lethargus Ce;The stage during L3-L4 molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old.
occurrent;167 min post first-cleavage Ce;The time period encompassing the 167th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L3-L4 molt Ce;The stage when an animal shifts from L3 larva to L4 larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle.
occurrent;168 min post first-cleavage Ce;The time period encompassing the 168th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L4 larva Ce;The fourth stage larva. At 25 Centigrade, it ranges 40-49.5 hours after fertilization, 26-35.5 hours after hatch.
occurrent;L4-adult lethargus Ce;The stage during L4-adult molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old.
occurrent;179 min post first-cleavage Ce;The time period encompassing the 179th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;180 min post first-cleavage Ce;The time period encompassing the 180th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L4-adult ecdysis Ce;The stage during L4-adult molt, after the brief lethargus period, when an animal shed off old cuticle.
occurrent;181 min post first-cleavage Ce;The time period encompassing the 181st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L4-adult molt Ce;The stage when an animal shifts from L4 larva to adult. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle.
occurrent;171 min post first-cleavage Ce;The time period encompassing the 171st minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;adult Ce;The stage that begins when a C.elegans individual is fully-developed and has reached maturity.
occurrent;172 min post first-cleavage Ce;The time period encompassing the 172nd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L1-L2 ecdysis Ce;The stage during L1-L2 molt, after the brief lethargus period, when an animal sheds off old cuticle.
occurrent;173 min post first-cleavage Ce;The time period encompassing the 173rd minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L1-L2d molt Ce;The stage when an animal shifts from L1 larva to L2d larva. It includes the synthesis of new cuticle, cease of phrayngeal pumping during a lethargus stage, and the shed off of old cuticle.
occurrent;174 min post first-cleavage Ce;The time period encompassing the 174th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L1-L2d lethargus Ce;The stage during L1-L2d molt when an animal becomes lethargic, ceases pharyngeal pumping and synthesizes new cuticle under the old.
occurrent;175 min post first-cleavage Ce;The time period encompassing the 175th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L1-L2d ecdysis Ce;The stage during L1-L2d molt, after the brief lethargus period, when an animal sheds off old cuticle.
occurrent;176 min post first-cleavage Ce;The time period encompassing the 176th minute post first cleavage at 20 Centigrade with respect to Sulston's lineage tree.
occurrent;L2d larva Ce;A special second stage larva with altered physiology and developmental potential that leads to formation of dauer larva. At 25 Centigrade, it ranges 25.5-32.5 hours after fertilization, 11.5-18.5 hours after hatch.
