class;term;comment
independent continuant;MiD3cl;Hindbrain interneuron, part of rhombomere 6, with one caudal-lateral neuron in each hemi-rhombomere. The fibers pass through the lateral longitudinal fasciculus.
independent continuant;RoL1;Hindbrain interneuron that is part of rhombomere 1 with twelve neurons in each hemi-rhombomere. Axon runs in the dorsal spinal cord. The RoL1 stem axon projects ipsilaterally along the brain stem and spinal cord. From the more lateral location of its spinal axon, RoL1's collaterals projected both ventrally and medially. The branching of RoL1 collaterals within the medulla, occur at multiple levels.
independent continuant;RoI2R;Hindbrain interneuron that is part of rhombomere 2 with one intermediate-rostral neuron in each hemi-rhombomere.
independent continuant;RoI2C;Hindbrain interneuron that is part of rhombomere 2 with two intermediate-caudal neurons in each hemi-rhombomere.
independent continuant;MiV2;Hindbrain interneuron that is part of rhombomere 5 with five ventral neurons in each hemi-rhombomere.
independent continuant;MiV1;Hindbrain interneuron that is part of rhombomere 4 with six ventral neurons in each hemi-rhombomere.
independent continuant;MiR2;Hindbrain interneuron that is part of rhombomere 5 with one rostral neuron in each hemi-rhombomere.
independent continuant;MiR1;Hindbrain interneuron that is part of rhombomere 4 with one rostral neuron in each hemi-rhombomere.
independent continuant;MiM1;Hindbrain interneuron that is part of rhombomere 4, with one medial neuron in each hemi-rhombomere.
independent continuant;CoB;A bifurcate interneuron. It is a commissural neuron with both ascending and descending axons in the ventrolateral cord contralateral to its cell body.
independent continuant;MiD2cm;Hindbrain interneuron, part of rhombomere 5, with one dorsal, caudal-medial neuron in each hemi-rhombomere. The fibers pass through the medial longitudinal fasciculus.
independent continuant;RoL2r;The rostral RoL2 interneuron that is part of rhombomere 2.
independent continuant;RoL2;Hindbrain interneuron that is part of rhombomere 2 with 4 lateral neurons in each hemi-rhombomere.
independent continuant;MiD3i;Hindbrain interneuron that is part of rhombomere 6 with one dorsal neuron in each hemi-rhombomere. The axonal projection is ipsilateral.
independent continuant;MiD3cm;Hindbrain interneuron, part of rhombomere 6, with one caudal-medial neuron in each hemi-rhombomere. The fibers pass through the medial longitudinal fasciculus.
independent continuant;right liver lobe;Portion of the liver which develops on the fish's right side adjacent to the gall bladder.
independent continuant;left liver lobe;Portion of the liver which develops on the fish's left side.
independent continuant;duct;A tube shaped multi-tissue structure lined with epithelial cells that collects secretions and routes them to their destination.
independent continuant;extrahepatic duct;Bile duct that collects from the intrahepatic ducts and feeds into the common bile duct.
independent continuant;intrahepatic bile duct;Duct that collects bile from the bile ductules and connects to the extrahepatic bile duct.
independent continuant;central vein;Vein that is central to a lobule in the liver.
independent continuant;hepatopancreatic ampulla;Ampulla formed by the union of the pancreatic duct and the common bile duct where they enter the intestine.
independent continuant;cystic duct;Duct that connects the gall bladder and the common bile duct.
independent continuant;common bile duct;Digestive system duct that collects bile from the hepatic bile duct and the cystic duct.
independent continuant;bile ductule;Digestive system duct that collects bile from the canaliculus and transports bile through the liver.
independent continuant;bile canaliculus;Intercellular space surrounded by the basal surface of the hepatocytes that collect bile.
independent continuant;MiD2cl;Hindbrain interneuron, part of rhombomere 5, with one dorsal, caudal-lateral neuron in each hemi-rhombomere. The fibers pass through the lateral longitudinal fasciculus.
independent continuant;MiD2i;Hindbrain interneuron that is part of rhombomere 5 with one dorsal neuron in each hemi-rhombomere. The axonal projection is ipsilateral.
independent continuant;VaP motor neuron;A primary motor neuron of the spinal cord. This cell is present in slightly less than half of the trunk hemisegments. Additionally, this cell has at least 2 different fates: it may become a primary motoneuron and arborize in an exclusive muscle territory, or it may die during embryonic development.
independent continuant;RoP motor neuron;A primary motoneuron that is part of the spinal cord. The axon of the CaP motoneuron on emerging from the ventral root. At the horizontal septum, however, the RoP axon turns laterally to extend within the horizontal septum to the lateral surface of the muscle.
independent continuant;MiP motor neuron;A primary motor neuron that is part of the spinal cord. The axon turns caudally and dorsally, coursing between the surface of the spinal cord and the medial surface of the axial muscles to the dorsal median septum. The MiP axon then extends dorsally to the surface of the muscle, where it turns to arborize ventrally over the lateral surface of the axial muscle.
independent continuant;DoLA;An interneuron of the spinal cord.
independent continuant;VeLD;An interneuron of the spinal cord. VeLD neurons have an ipsilateral longitudinal axon.
independent continuant;CoSA;An interneuron of the spinal cord. CoSA, have contralateral longitudinal axons that crosses the cord dorsal to the Mauthner neuron and ascends in the dorsal cord.
independent continuant;CoPA;An interneuron in the spinal cord. CoPA are bipolar with "T" shaped dorsal dendrites, have contralateral longitudinal axons that crosses the cord dorsal to the Mauthner neuron and ascends in the dorsal cord.
independent continuant;ventral liver lobe;Portion of the liver which develops on the fish's ventral side.
independent continuant;replacement bone;Bone that forms as a replacement of another structural tissue.
independent continuant;perichordal bone;Replacement bone that forms within the connective tissue surrounding the notochord.
independent continuant;cerebral spinal fluid;Portion of organism substance that is a clear fluid that occupies the subarachnoid space and the ventricular system around and inside the brain.
independent continuant;lagenar capsule;Anatomical cluster that consists of a bulla formed by the exoccipital and basioccipital bones, and surrounds the lagena.
independent continuant;pronephric distal late tubule;Portion of the pronephric duct (or tubule as described by Wingert et al, 2007) which is just posterior to the distal early tubule.
independent continuant;optic nerve head;Portion of cranial nerve II where large fascicles of axons from the optic fiber layer come together prior to leaving the eye.
independent continuant;pronephric distal early tubule;Portion of the pronephric duct (or tubule as described by Wingert et al, 2007) which is just posterior to the proximal straight tubule.
independent continuant;posterior pronephric duct;Most posterior portion of the pronephric duct (or tubule as described by Wingert et al, 2007) which ends at the cloacal chamber at the pronephric duct opening.
independent continuant;pronephric proximal convoluted tubule;Most anterior portion of the pronephric duct (or tubule as described by Wingert et al, 2007).
independent continuant;pronephric proximal straight tubule;Portion of the pronephric duct (or tubule as described by Wingert et al, 2007) which is just posterior to the proximal convoluted tubule.
independent continuant;vestibulolateralis lobe;Brain structure which is part of the cerebellum consists of the paired granular eminentia and the medial caudal lobe. From Neuroanatomy of the Zebrafish Brain.
independent continuant;vascular endothelium;Simple squamous epithelium which lines blood and lymphatic vessels and the heart.
independent continuant;ventrolateral thalamic nucleus;
independent continuant;external yolk syncytial layer;The portion of the YSL that is outside of the blastoderm margin during epiboly.
independent continuant;bony projection;Portion of connective tissue that is an extension of a bone.
independent continuant;prevomer;A thin medial unpaired dermal bone that is kite or paddle-shape. Underlying the ethmoid, and slightly overlapping the parasphenoid posteriorly, the prevomer bears an anterolateral projection that terminates in a concave depression in which the preethmoids sit.
