class;term;comment
generically dependent continuant;transgene part;A structurally or functionally defined component of a transgene (e.g. a promoter, a region coding for a fluorescent protein tag, etc)
material entity;genomic material;A nucleic acid macromolecule that is part of a cell or virion and has been inherited from an ancestor cell or virion, and/or is capable of being replicated and inherited through successive generations of progeny.
material entity;material genome;A material entity that represents all genetic material in a cell or virion. The material genome is typically molecular aggregate of all the chromosomal DNA and epi-chromosomal DNA that represents all sequences that are heritable by progeny of a cell or virion.
generically dependent continuant;genomic feature location;The location of a sequence feature in a genome, defined by its start and end position on some reference genomic coordinate system
material entity;organismal entity;A material entity that is an organism, derived from an organism, or composed of organisms (e.g. a cell line, biosample, tissue culture, population, etc).
generically dependent continuant;aneusomic chromosomal part;A large deletion or terminal addition of part of some non-homologous chromsosome, as the result of an unbalanced translocation.
generically dependent continuant;lost aneusomic chromosomal segment;A deletion of a terminal portion of a chromosome resulting from an unbalanced translocation to another chromosome.
generically dependent continuant;gained aneusomic chromosomal segment;A part of some non-homologous chromosome that has been gained as the result of an unbalanced translocation event.
generically dependent continuant;aneusomic chromosome;A complete chromosome that has been abnormally duplicated, or the absense of a chromosome that has been lost, typically as the result of a non-disjunction event or unbalanced translocation
generically dependent continuant;gained aneusomic chromosome;A complete chromosome that has been abnormally duplicated in a genome, typically as the result of a meiotic non-disjunction event or unbalanced translocation
specifically dependent continuant;simple heterozygous;
generically dependent continuant;lost aneusomic chromosome;A 'deletion' resulting from the loss of a complete chromosome, typically as the result of a meiotic non-disjunction event or unbalanced translocation.
specifically dependent continuant;zebrafish phenotype;
generically dependent continuant;novel extrachromosomal replicon;An extrachromosomal replicon that is variant in a genome in virtue of its being a novel addition to the genome - i.e. it is not present in the reference for the genome in which it is found.
generically dependent continuant;novel replicon;A genomic feature that represents an entirely new replicon in the genome, e.g. an extrachromosomal replicon or an extra copy of a chromosome.
specifically dependent continuant;novel;An attribute of a genomic feature that represents a feature not previously found in a given genome, e.g. an extrachromosomal replicon or aneusomic third copy of a chromosome.
generically dependent continuant;terminus;A sequence feature representing the end of a sequence that is bounded only on one side (e.g. at the end of an chromosome or oligonucleotide).
generically dependent continuant;reporter transgene;A transgene that codes for a product used as a reporter of gene expression or activity.
specifically dependent continuant;sequence feature attribute;An attribute, quality, or state of a sequence feature or collection.
generically dependent continuant;genomic feature set;A set of genomic features (i.e. sequence features that are of genomic origin).
generically dependent continuant;RNA residue;
generically dependent continuant;DNA residue;
generically dependent continuant;amino acid residue;
generically dependent continuant;gene part;A genomic feature that is part of a gene, and delineated by some functional or structural function or role it serves (e.g.a promoter element, coding region, etc).
generically dependent continuant;integrated transgene;A transgene that has been integrated into a chrromosome in the host genome.
generically dependent continuant;gene trap insertion;
generically dependent continuant;genotype;A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
