class;term;comment
process;regulation of addiction response;Any process that modulates the frequency, rate or extent of addiction response.
process;surface breathing;A behavior involving an organism (especially fish or tadpoles) breathing at or near the surface of water where the concentration of dissolved oxygen is highest. [NBO:EJS]
process;escape behavior;A behavior in which action is rapidly taken by an organism in response to possible predation, examples of which include camouflage, freezing behavior, and fleeing. [Wikipedia:Escape response]
process;visually guided collision avoidance behavior;A behavior involving avoidance of or escape from approaching visual stimuli, threats, or objects which are on a collision course. [PMID:23364572]
process;aggregation behavior;A behavior associated with the gathering of organisms together in some locality. [Wikipedia:Aggregation (ethology)]
process;schooling behavior;A type of shoaling behavior in which organisms (especially fish or tadpoles) are tightly organized and move in the same direction in a coordinated manner. [Wikipedia:Shoaling and schooling]
process;cocaine consumption;Behavior related to the intake of cocaine.
process;shoaling behavior;A type of aggregation behavior in which organisms (especially fish or tadpoles) come together in an interactive way, aware of the other members of the group as shown by the way they adjust their behavior. [Wikipedia:Shoaling and schooling]
process;misdirect predator;Behaviors directed towards presumed predators to redirect their attention away from a location of importance to the performer.
process;visual hallucination;A form of hallucination that involves perceiving images without visual stimulus.
process;sexual inhibition;"A social behavior characterised by conscious or unconscious constraint or curtailment of behavior relating to specific sexual matters or practices." [wikipedia:Sexual inhibition]
process;hallucination;Perception in the absence of a stimulus.
process;cognitive behavior;Behaviour related to cognitive processes.
process;social inhibition;"A social behavior characterised by conscious or unconscious constraint of a behavior that might be considered objectionable in a social setting." [wikipedia:Social inhibition]
process;psychomotor agitation behavior;"Agitation characterised by a series of unintentional and purposeless motions that stem from mental tension and anxiety of an individual." [wikipedia:Psychomotor agitation]
process;sperm scraping;Use of specialized male organs to remove sperm already deposited in female's reproductive tract.
process;threat;Behavior that signifies hostility and predicts an increased probability of attack.
process;sexual cannibalism;Consumption of one member of a mating pair, usually the male, usually after the mating.
process;mouth brooding;Process of retaining developing eggs in the mouth cavity.
process;inspect predator;Conspicuous orientation towards and/or approach to detected predator.
process;create refuge;Construction of a structure in which builder can benefit from reduced predation risk and/or environmental stress.
process;exclusion;Behavior that serves to exlude an animal from a group.
process;play chasing;Play behavior that is associated with the pursuit of an individual.
process;blinking;
process;play fight;"Play behavior associated to fighting simulation, although fighting is much slower and gentler with no intention of actual hurt." [web:http\://www.bio.davidson.edu/people/vecase/behavior/Spring2009/Sacco/Pages/Play%20Fighting.html]
process;tongue movement;The act of displacing part or all of the tongue from its current position [NBO:SMAC]
process;nursing play;Play behavior associated with the exhibition of parenting behavior by non-parents.
process;object play;Play behavior associated with the manipulation of objects.
process;language communication behavior;A social behavior related to the activity of conveying information by means of a system of arbitrary signals, such as voice sounds, gestures, or written symbols.
process;sexual play;"Behavior associated with interactions which resemble sexual behavior but do not lead to copulation." [web:http\://www.bio.davidson.edu/people/vecase/behavior/Spring2009/Sacco/Pages/Sex%20Play.html]
process;jaw movement;
process;spatial perception;
process;frustration behavior;An emotional behavior that arises from the perceived resistance to the fulfillment of individual will.
process;aggressive behavior by means;
process;morphine consumption;Behavior related to the intake of morphine.
process;aggressive behavior by intent;
process;social aggression behavior;An aggressive behavior towards other members of the society.
process;autoaggressive behavior;Agressive behavior towards oneself.
process;laughing behavior;
