class;term;comment
generically dependent continuant;USP9YP11;
generically dependent continuant;RABEPKP1;
generically dependent continuant;USP9YP9;
generically dependent continuant;USP9YP10;
generically dependent continuant;LOC100421235;
generically dependent continuant;GAPDHP50;
generically dependent continuant;PGBD4P2;
generically dependent continuant;GAPDHP56;
generically dependent continuant;USP9YP5;
generically dependent continuant;USP9YP8;
generically dependent continuant;LOC100421207;
generically dependent continuant;LOC100421246;
generically dependent continuant;LOC100421247;
generically dependent continuant;LOC100421244;
generically dependent continuant;NIP7P3;
generically dependent continuant;LOC100421251;
generically dependent continuant;LOC100421248;
generically dependent continuant;LOC100421250;
generically dependent continuant;FANCD2P1;
generically dependent continuant;LOC100421243;
generically dependent continuant;LOC100421238;
quality;Mannheimia haemolytica;
quality;Pasteurella multocida;
quality;Aeromonas hydrophila;
quality;Plesiomonas;
quality;Gardnerella;
quality;Aggregatibacter actinomycetemcomitans;
quality;Actinobacillus pleuropneumoniae;
quality;Gram-Positive Asporogenous Rods, Regular;
quality;Ureaplasma urealyticum;
quality;Spiroplasmataceae;
quality;Rhodobacter;
quality;Streptococcus bovis;
quality;Streptococcus sobrinus;
quality;Gram-Positive Rods;
quality;Gram-Positive Asporogenous Rods, Irregular;
quality;Micrococcus luteus;
quality;Enterococcus;
quality;Enterococcus faecium;
quality;Rickettsieae;
quality;Tooth Demineralization;
quality;Torovirus;
quality;Codependency (Psychology);
quality;Dental Debonding;
quality;Coxiella burnetii;
quality;Helicobacter;
quality;Sulfur-Reducing Bacteria;
quality;Campylobacter coli;
quality;Chlamydophila pneumoniae;
quality;Ehrlichia ruminantium;
quality;Medical Laboratory Personnel;
quality;Medically Uninsured;
quality;Mexican Americans;
generically dependent continuant;MANSC1;
quality;Models, Econometric;
generically dependent continuant;RRN3;
generically dependent continuant;LOC100421253;
quality;Infection Control;
quality;Insurance, Medigap;
quality;Patient Satisfaction;
quality;Prepaid Health Plans;
quality;Small-Area Analysis;
quality;Outcome Assessment (Health Care);
generically dependent continuant;P4HTM;
generically dependent continuant;CRLS1;
generically dependent continuant;GTPBP2;
generically dependent continuant;CROT;
generically dependent continuant;ZNHIT6;
generically dependent continuant;WDR74;
generically dependent continuant;TMEM106B;
generically dependent continuant;RSBN1;
generically dependent continuant;LRRN3;
quality;Atherectomy;
quality;Common Variable Immunodeficiency;
quality;Laser Coagulation;
quality;Computer-Aided Design;
generically dependent continuant;TBC1D13;
generically dependent continuant;GAPDHP51;
quality;Process Assessment (Health Care);
generically dependent continuant;LOC100421273;
quality;Practice Guideline;
quality;Neostriatum;
quality;Culture Media, Conditioned;
quality;Laser-Doppler Flowmetry;
quality;Exercise Tolerance;
generically dependent continuant;LOC100421269;
generically dependent continuant;PCDHB18P;
generically dependent continuant;PCDHB17P;
generically dependent continuant;FAM63B;
generically dependent continuant;LOC100421258;
generically dependent continuant;UGT1A4;
generically dependent continuant;LOC100421259;
generically dependent continuant;UGT1A1;
generically dependent continuant;LOC100421256;
generically dependent continuant;UGT1A3;
generically dependent continuant;LOC100421257;
generically dependent continuant;PAF1;
generically dependent continuant;LOC100421265;
generically dependent continuant;PARP14;
generically dependent continuant;LOC100421267;
generically dependent continuant;HES2;
generically dependent continuant;LOC100421261;
generically dependent continuant;MAP10;
generically dependent continuant;LOC100421264;
quality;beta-Thalassemia;
generically dependent continuant;LINC00527;
quality;Animal Rights;
generically dependent continuant;EPDR1;
quality;AIDS-Related Opportunistic Infections;
generically dependent continuant;FBLIM1;
quality;Ankyrin Repeat;
generically dependent continuant;FNDC8;
quality;Cholecystectomy, Laparoscopic;
quality;Portal Pressure;
quality;Otoacoustic Emissions, Spontaneous;
quality;alpha-Thalassemia;
quality;Occlusal Splints;
quality;Colitis, Ischemic;
generically dependent continuant;XAF1;
generically dependent continuant;LEPROT;
generically dependent continuant;LY6K;
generically dependent continuant;SLC35F2;
generically dependent continuant;RAB39A;
generically dependent continuant;MPHOSPH8;
generically dependent continuant;FEV;
generically dependent continuant;OTUD4;
generically dependent continuant;NKX1-1;
generically dependent continuant;TMED9;
generically dependent continuant;RBFOX1;
generically dependent continuant;SLC6A20;
generically dependent continuant;BTN2A3P;
generically dependent continuant;RNANC;
generically dependent continuant;PDP1;
