class;term;comment
generically dependent continuant;Central Composite Design;An experimental design consisting of three distinct sets of experimental runs: A factorial (perhaps fractional) design in the factors studied, each having two levels. A set of center points, experimental runs whose values of each factor are the medians of the values used in the factorial portion. This point is often replicated in order to improve the precision of the experiment. A set of axial points, experimental runs identical to the centre points except for one factor, which will take on values both below and above the median of the two factorial levels, and typically both outside their range. All factors are varied in this way.
process;Powder Indexing;An in-silico modeling to predict the unit cell of the crystal lattice based on the powder x-ray diffractogram
generically dependent continuant;laboratory notebook experiment identifier;A centrally registered identifier assigned to a laboratory notebook experiment
process;crystal structure predictions;An in-silico modeling to calculate calculation of the crystal structures by simulated annealing, evolutionary algorithms, distributed multipole analysis, random sampling, basin-hopping, data mining, density functional theory and molecular mechanics.
generically dependent continuant;batch manufacturing record;A document that contemporaneously records when, how, by whom each step to produce a specific batch is executed as well as the specific equipment and the specific materials including exact weights and lot numbers.
generically dependent continuant;assessed volatility purge factor;An assessed purge factor based on the relative boiling point of the impurity to the reaction solvent and therefore its propensity to be purged in the headspace of steps to which the impurity is subjected..
generically dependent continuant;material costs;A process chemistry datum quantifying the sum of the costs of all raw materials, intermediates, reagents, solvents and catalysts procured from external vendor.
process;process chemistry filing;A planned process.
generically dependent continuant;assessed ionisability purge factor;An assessed purge factor based on the ionisability of the impurity relative to desired compound and therefore its propensity to be purged in the waste layer of a biphasic system in steps that involve such an extraction.
material entity;waste stream;A portion of material with a debris role that is a material output of a process.
process profile;quality process profile;A process profile that tracks the quality of some process participant.
generically dependent continuant;overall assessed purge factor;The assessed ratio of maximum possible concentration before purging to its concentration after purging (the final product). It is simply the product of all the assessed purge factors of each reaction step to which the impurity is subjected.
material entity;product stream;A portion of material to be further processed that has an ingredient a material with the role of product.
generically dependent continuant;common technical document;A set of specifications maintained by the International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). for an application dossier for the registration of Medicines and designed to be used across Europe, Japan and the United States.
process;GLP synthetic process;A synthetic process governed by the GLP regulations.
generically dependent continuant;ICH Q11 Guidance for Development and Manufacture of Drug Substances;An ICH Guidance for developing and understanding the manufacturing process of the drug substance.
generically dependent continuant;master formula record;A plan specification of manufacturing instructions for a specific (unique) batch and includes: specific instructions for each step, the equipment used in each step, sampling and testing procedures for each step, the amount of each component needed to manufacture the batch (Bill of Materials) and the theoretical yield and expected yield of each intermediate as well as the product. .
generically dependent continuant;GMP specification of synthetic process;A plan specification that specifies the action and objective of a synthetic process, as defined in CFR - Code of Federal Regulations Title 21.
generically dependent continuant;bill of materials;A document that lists the raw materials, sub-assemblies, intermediate assemblies, sub-components, parts, and the quantities of each needed to manufacture an end product.
process profile;stir rate profile;A process profile that represents the number of revolution of stirs given a specific time period
generically dependent continuant;solubility screening design;A screening design to determine to solubility of a compound
process profile;material flow profile in synthesis process;A process profile in synthesis process that is about material flow
generically dependent continuant;competency question;An objective specification for an ontology in the form of a user-focused question / query that identifies key concepts and their relationships that are normally formalized in first order logic of the ontology. They are also used to test the ontology by querying known instance data or by entailment on its axioms.
process profile;reaction rate profile;Reaction rate is the rate of the changing concentration of a product during a reaction process.
generically dependent continuant;Control Strategy;A planned set of controls, derived from current product and process understanding that ensures process performance and product quality. The controls can include parameters and attributes related to drug substance and drug product materials and components, facility and equipment operating conditions, in-process controls, finished product specifications, and the associated methods and frequency of monitoring and control.
quality;X-Ray diffractivity;A chemical substance quality of a crystalline phase that manifests itself as a set of allowed and unallowed peaks corresponding to the diffraction of incident x-ray radiation as a function of the substance's unit cell and its space group.
generically dependent continuant;risk assessment;A document identifying and analyzing potential (future) events that may negatively impact individuals, assets, and/or the environment (i.e. hazard analysis). and making judgments "on the tolerability of the risk on the basis of a risk analysis" while considering influencing factors (i.e. risk evaluation).
process;filtering;A unit operation to remove portions of material from a synthesis stream by trapping it on a filter.
material entity;beaker;A beaker is a simple container for stirring, mixing and heating liquids commonly used in many laboratories. Beakers are generally cylindrical in shape, with a flat bottom. Most also have a small spout (or "beak") to aid pouring.
process;unit operation in chemical processing;A basic and unit step in a process
material entity;Bunsen burner;A heating device (environmental control device) that utilizes an open flame for heating.
process;calculation;A planned process that converts input data into output data based on some equation or set of equations
generically dependent continuant;route specification;A sequenced plan of synthetic steps and defined intermediates to make a specific product from commercially available starting materials
material entity;Widmer column;A fractionating column consisting of four concentric glass tubes and a central glass rod, with a thinner glass rod coiled around it to increase the surface area.
generically dependent continuant;synthetic step specification;A sequenced set of unit operations for a single synthetic reaction or simultaneous reactions that are executed in a single equipment train.
material entity;condensor;A device used to condense vapors into liquid by cooling.
process profile;critical process parameter;A process profile whose variability has an impact on a critical quality attribute and therefore should be monitored or controlled to ensure the process produces the desired quality.
process boundary;product filing milestone;A process boundary that represents a milestone of filing the documentation required to obtain regulatory approval to sell a new product.
material entity;Liebig condenser;A condensor consisting of a simple tube surrounded by a jacket of cooling water
disposition;fate of impurity;A process chemistry datum describing the ultimate final state and location of an impurity in a synthetic process.
process;crystallization;A process that has as a material output a crystalline solid or a mixture that has as an ingredient a crystalline solid.
material entity;crucible;A crucible is a ceramic or metal container in which metals or other substances may be melted or subjected to very high temperatures. [Wikipedia]
generically dependent continuant;calculated datum;A data item that is a recording of the output of a calculation.
generically dependent continuant;process mass intensity;The process mass intensity (PMI) calculates the ratio of the total mass of materials to the mass of the isolated product
material entity;fractionating column;A device to separate vaporized mixtures of liquid compounds with close volatility.
generically dependent continuant;process chemistry datum;A data item about process chemistry
material entity;polymer;A substance or material consisting of very large molecules, or macromolecules, composed of many repeating subunits.
material entity;Vigreux column;A fractionating column made of a wide glass tube with multiple internal glass "fingers" that point downwards so that the vapor that enters from the lower opening condenses on the fingers and drips down from them.
process;chemometrics;A planned process of extracting information from chemical systems by data-driven means.
process;impurity fate and purge determination;A process that determines the fate of impurities (organic, inorganic, elemental, or residual solvents) of pharmaceutical substances produced by chemical syntheses to ensure the desired product quality, and the ability of the synthetic route to purge them.
material entity;Snyder column;A fractionating column divided into sections (usually 3 to 6) by horizontal glass partitions or constrictions each of which seats a hollow glass bead with an inverted "teardrop" shape acting as check valves, closing and opening with vapor flow, and enhancing vapor-condensate mixing.
process;factorial analysis;Chemometric method used to describe variability among observed, correlated variables in terms of a potentially lower number of unobserved variables called factors. . The observed variables are modelled as linear combinations of the potential factors, plus "error" terms.
quality;hexagonal-dipyrimidal;12-faced hexagonal form with faces related by a 6-fold axis with a perpendicular mirror with a centrosymmetric point symmetry
object aggregate;solvate;A solvate is a crystalline material that has solvent molecules incorporated into the crystal lattice in a stoichiometric amount. [Allotrope]
generically dependent continuant;ICH Q3A Impurities in New Drug Substances;An ICH guideline about identifying, qualifying and specifying impurities in drug substance.
object aggregate;hydrate;A hydrate is a solvate that has water as the solvent adduct.
generically dependent continuant;ICH Q3C Residual Solvents;An ICH guideline for the use residual solvents (organic volatile impurities) in the manufacture of drug substances and dosage forms, and sets pharmaceutical limits for in drug products.
material entity;chemical product;A chemical entity that is the end point product generated from a synthetic chemical process.
material entity;ionic salt;A chemical substance composed of ions held together by electrostatic forces termed ionic bonding.
generically dependent continuant;ICH Q3D Guidance for Elemental Impurities;An ICH guideline for the control of elemental impurities in new drug products (medicinal products), establishing Permitted Daily Exposures (PDEs) for 24 Elemental Impurities (EIs) for drug products administered by the oral, parenteral and inhalation routes of administration.
material entity;commercial chemical product;A chemical product that is used for commercial purpose.
material entity;anhydrous phase;A crystalline phase without solvent in the unit cell
generically dependent continuant;ICH Q6A Specifications: Test Procedures and Acceptance Criteria for Chemical Substances;An ICH guidance on the setting and justification of acceptance criteria and the selection of test procedures for new drug substances of synthetic chemical origin, and new drug products produced from them, which have not been registered previously in the ICH regions.
quality;hexagonal-trapezohedral;6-faced closed hexagonal form with enantiomorphic point symmetry.
material entity;solid solution;A solid in solid solution is a solution where the continuous phase is a solid and the dispersed phase is a solid. [Allotrope]
quality;dihexagonal-pyramidal;12-faced hexagonal crystal where all faces are related by a 6-fold axis. It has polar point symmetry
object aggregate;molecular complex;An object aggregate of two or more molecular entities that does not include covalent or ionic interactions
quality;ditrigonal-dipyramidal;12-faced form tetragonal crystal class with non-centrosymmetric point symmetry
object aggregate;co-crystal;A co-crystal is a solid solution and a molecular complex with two or more non-solvent molecules incorporated into the unit cell in a stoichiometric amount.
quality;dihexagonal-dipyramidal;24-faced form with faces related by a 6-fold axis with a perpendicular mirror plane and centrosymmetric point symmetry
material entity;isomorphic desolvate;An anhydrous crystalline phase formed experimentally by removing the solvent from a solvate
generically dependent continuant;Q7 Good Manufacturing Practice Guide for Active Pharmaceutical Ingredients;An ICH Guideline for the manufacture of APIs for use in human drug (medicinal) products.
process profile;temperature profile in synthesis process;A process profile that is about temperature.
material entity;eutectic;A heterogeneous ensemble of individual components whose crystal structures are like discontinuous solid solutions (phase separated).
material entity;starting material for synthesis;A chemcial entity with the role starting material in a synthesis.
role;residual solvent impurity;Residual solvents in pharmaceuticals are defined here as organic volatile chemicals that are used or produced in the manufacture of drug substances or excipients, or in the preparation of drug products. The solvents are not completely removed by practical manufacturing techniques.
material entity;concomitant polymorphs;A heterogeneous solid solution consisting of two or more polymorphs of the same chemical entity
role;ICH Q6A Class 1 Solvent;Solvents to be avoided and with strict low limits as they are human carcinogens, strongly suspected human carcinogens, and environmental hazards.
process;temperature measurement;A process measurement of the temperature in a process
quality;sphenoidal;A monoclinic crystal class with two nonparallel faces symmetrical to a 2- or 4-fold axis of symmetry that has enantiomorphic and polar point symmetry.
generically dependent continuant;experimental design;The design of an experiment intended to test a hypothesis, and describe or explain empirical data obtained under various experimental conditions.
quality;hexoctahedral;A cubic system crystal class with 48 equal triangular faces and three identical crystallographic axes with four fold rotational axes and centrosymmetric point symmetry
process;explosion;A process during which a material entity undergoes a rapid increase in volume, releasing gasses and various forms of energy, often including thermal, light and sound energy.
process;charging material;A unit operation of adding a reagent or starting material to a chemical reaction
quality;hextetrahedral;A cubic system crystal class with 24-faces and four fold rotoinversion axes and non-centrosymmetric point symmetry
process;process safety;A planned process of understanding of the hazards of a chemical process and developing methods to safely manage and minimize the risks of the process.
