class;term;comment
process;Julia olefination;A carbon-carbon coupling reaction between a phenyl sulfone and an aldehyde or ketone to give a (typically trans) alkene.
process;Katritzky pyrylium-pyridinium method;The substitution of an amine with a nucleophile using a pyrylium salt.
process;N-acylation to carbamate;An N-acylation reaction where a nitrogen centre is acylated to form a carbamate.
process;Sommelet reaction;The oxidation of a benzylic halide to give an aldehyde. The reaction uses hexamethylenetetramine.
process;metalla-aza-Claisen rearrangement;The rearrangement of a 3-aza-4-metalla-1,5-hexadiene to form a delta,epsilon-unsaturated metallaimine.
process;Bouveault-Blanc reaction;The reduction of an ester using sodium to give two alcohols.
process;Tebbe olefination;Reaction of an aldehyde or ketone or carboxylic ester or amide with the Tebbe reagent to yield an olefin or an enol ether or an enamine.
process;O-acylation to ester;An O-acylation reaction where an oxygen centre is acylated to result in an ester.
process;Myers-Saito cyclisation;Cyclization of a enynyl allene to yield a toluene biradical with radical centres on the methyl group and at the meta position.
process;Bergman cyclisation;The cyclisation of an ene-diyne to give a 1,4-diradical cyclohexatriene. The diradical usually aromatises.
process;Pinner reaction;A functional group modification where a nitrile reacts with an alcohol under acid catalysis to form an amidine or ester.
process;Schmittel cyclisation;Cyclization of a enynyl allene to yield a 1-methyl-5-methylenecyclopenta-1,3-diene biradical with radical centres on the methyl group and methylene group.
process;Perkin reaction;An aldol condensation where an aryl aldehyde reacts with an acid anhydride to form a cinnamic acid.
process;Bamford-Stevens reaction;The reaction of a tosylhydrazone of an aldehyde or ketone with a strong base to give an olefin.
process;ring-closing metathesis;A joining reaction in which two carbon-carbon double bonds in the same molecule are redistributed to give a cycloalkene. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by release of a low-MW alkene.
process;nitrile to acid conversion;A functional group modification where a nitrile is transformed into a carboxylic acid.
generically dependent continuant;molecular skeleton insertion objective;A molecular skeleton joining objective that is satisfied by a reaction in which one or more atoms are added to the middle of a chain.
process;Shapiro reaction;The reaction of a tosylhydrazone of an aldehyde or ketone with an alkyllithium or Grignard reagent to give an olefin.
process;polymerisation reaction;A joining reaction, the objective of which is that a large number of monomers react together to produce a polymer consisting of repeating units.
process;carbonyl compound to imine conversion;A functional group modification where a carbonyl compound is converted to an imine.
generically dependent continuant;joining with rearrangement objective;A molecular skeleton joining objective that is satisfied by a reaction in which one or more atoms are added to the molecular skeleton and a skeletal rearrangement occurs.
process;ring formation reaction step;A planned reaction step where the product contains a ring that was not in any of the reactants.
process;Doebner reaction;The reaction between an aromatic amine, an aldehyde and pyruvic acid on heating to give a quinoline 4-carboxylic acid (cinchoninic acid).
process;ring-opening metathesis polymerisation;A joining reaction in which two carbon-carbon double bonds are redistributed among two fragments, i.e. two alkenes. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by release of ring strain in the cycloalkene.
process;Crabbé homologation;Oxidation of an alkene to an allene by heating with formaldehyde, an amine and an inorganic salt.
generically dependent continuant;functional group addition objective;A functional modification objective that is satisfied by a reaction in which a covalent bond is formed between the molecular skeleton and a functional group and where the skeletal bond order is unchanged.
process;Diels-Alder reaction;A [4+2] cycloaddition reaction where a diene reacts with a compound containing a double or triple bond (a dienophile) to form an unsaturated six-membered ring compound.
process;Balz-Schiemann reaction;The conversion of an aromatic amine to the corresponding fluoride via the diazonium fluoroborate.
process;Carroll rearrangement;An adaptation of the Claisen rearrangement that transforms a beta-keto allyl ester into a gamma,delta-allyl ketone. It uses base and high temperature or milder conditions with a ruthenium or palladium complex as catalyst.
process;Friedel-Crafts reaction;A carbon-carbon coupling reaction between an arene and a carbonyl compound (an acylation) or an alkyl compound that can form a carbocation (an alkylation) to form a substituted arene.
process;Payne rearrangement;A base-catalysed isomerisation of a 2,3-epoxyalcohol, with inversion of configuration at C2.
process;nitro-Michael reaction;A conjugate addition reaction where a carbon nucleophile adds to an alpha,beta-unsaturated nitro compound.
process;nitrile alcoholysis;An oxidation reaction where a nitrile reacts with an alcohol to form an alkyl imidate.
process;Baudisch reaction;Copper-catalysed reaction of benzene with a nitrosylating agent and hydrogen peroxide to form an o-nitrosophenol.
process;molecular skeleton joining reaction;A reaction where the number of atoms in the molecular skeleton increases.
process;aza-Payne rearrangement;A base-catalysed isomerisation of a 2,3-epoxyamine to form a hydroxy aziridine, with inversion of configuration at C2.
process;Noyori asymmetric hydrogenation, alkene;The homogeneous asymmetric catalytic hydrogenation of a C=C double bond using a ruthenium(II) BINAP catalyst.
process;amide to imidoyl chloride conversion;A functional group modification where an amide is converted to an imidoyl chloride.
generically dependent continuant;deprotection objective;A functional modification objective that is satisfied by deprotecting some functional group.
process;planned reaction step;A molecular process with which the experimenters aim to achieve a particular molecular transformation.
process;Baker-Venkataraman rearrangement;The base-catalysed rearrangement of an o-acetoxyacetophenone to give a hydroxyphenyl-1,3-diketone.
process;Noyori asymmetric hydrogenation, carbonyl;The homogeneous asymmetric catalytic hydrogenation of a carbonyl bond using a ruthenium(II) BINAP catalyst.
process;alcohol to halide conversion;A functional group modification where an alcohol is converted to a halide.
generically dependent continuant;protection objective;A functional modification objective that is satisfied by protecting some functional group.
process;carbon-carbon coupling reaction;A reaction where a bond is formed between two carbon atoms.
process;molecular skeleton elimination reaction;A reaction in which two or more groups of atoms are removed from the molecule, resulting in a change of skeletal bond order.
process;Passerini reaction;The reaction between an isonitrile, a carboxylic acid and aldehyde or ketone to give an alpha-acyloxy amide.
process;carboxylic acid to acid chloride conversion;A functional group modification where a carboxylic acid is converted to an acid chloride.
generically dependent continuant;molecular skeleton elimination objective;A functional modification objective that is satisfied by a reaction in which two or more groups of atoms are removed from the molecule, resulting in a change of skeletal bond order.
process;ene reaction;A joining reaction where an alkene with an allylic hydrogen reacts with a compound containing a multiple bond (an enophile) to form a substituted alkene.
process;Kolbe electrolysis;The decarboxylation and coupling of a carboxylate or mixture of carboxylates to give a dimer.
process;Bose-Mitsunobu reaction;A Mitsunobu reaction, where an alcohol is converted to something else with inversion at the stereocentre, using diphenylphosphoryl azide.
process;conjugate addition;A joining reaction where a nucleophile adds to the beta-carbon of an alpha,beta-unsaturated system (or an activated carbon-carbon bond).
process;Ugi reaction;Reaction of a ketone or aldehyde, amine, an isocyanide and carboxylic acid to form a bisamide.
process;Michael addition;A conjugate addition reaction where a carbon nucleophile adds to the beta-carbon of an alpha,beta-unsaturated system (or an activated carbon-carbon bond).
generically dependent continuant;functional oxidation objective;A functional group modification objective that is satisfied by a reaction in which a functional group is oxidised.
process;Demko-Sharpless reaction;A functional group modification of a nitrile to a 1H-tetrazole by addition of sodium azide.
process;interrupted Nazarov cyclisation;Cyclisation of a propargyl alpha,beta-unsaturated ketone where the reactant rearranges to an allenyl vinyl ketone, followed by a Nazarov cyclisation in which a nucleophile 'intercepts' the intermediate carbocation to yield a cyclopentenone substituted at the alpha position opposite the double bond.
process;Fritsch-Buttenberg-Wiechell rearrangement;The rearrangement of a 2-bromoalkene into an alkyne, mediated by strong base.
process;Griess reaction;A diazotisation that proceeds by the addition of nitrous acid, nitric acid and water, resulting in a diazonium nitrate salt.
process;Bamberger rearrangement;Rearrangement of an N-phenylhydroxamine in acid to yield a para-aminophenol.
process;Wacker-Tsuji oxidation;The oxidation of a terminal alkene or ethene to a methyl ketone or acetaldehyde, catalysed by PdCl2 and CuCl2, and using molecular oxygen as the oxidant.
process;Stork-Wittig olefination;A carbon-carbon coupling reaction where an aldehyde reacts with a phosphonium salt to give a Z-iodoalkene. The reaction is mediated by sodium or potassium hexamethyldisilazide.
process;heteroaryl N-arylation;An N-arylation reaction where the reactive centre is an azacycle ring nitrogen.
process;Bart reaction;Reaction of an aromatic diazonium compound with an alkali arsenite in the presence of copper or silver to yield an aromatic arsonic acid.
process;Grignard reaction;A carbon-carbon coupling reaction where a Grignard reagent reacts with a compound containing an electrophilic carbon atom. A Grignard reagent is a magnesium-stabilised carbon nucleophile. An aldehyde leads to a secondary alcohol, a ketone leads to a tertiary alcohol, an ester leads to a ketone and a nitrile leads to a ketone.
process;Barton decarboxylation;The decarboxylation of a carboxylic acid to the lower homologue alkane using a pyridine thione.
process;Dess-Martin oxidation;The oxidation of a primary alcohol to an aldehyde or a secondary alcohol to a ketone using the Dess-Martin periodinane.
process;Scholl reaction;Coupling of two aromatic rings in the presence of a Lewis acid catalyst.
process;Béchamp reduction;Reduction of an aromatic nitro compound to the corresponding arene by iron in some form in aqueous acid.
process;Wittig reaction;A carbon-carbon coupling reaction where a carbonyl compound reacts with a phosphonium ylide to give an alkene.
process;Rosenmund reduction;The hydrogenolysis of an acyl halide to the corresponding aldehyde, catalysed by palladium-on-barium sulfate.
process;Criegee oxidation;The oxidative cleavage of an alpha,beta-diol using lead tetraacetate to give the corresponding carbonyl compounds.
process;intramolecular Scholl reaction;Scholl reaction within a single molecule to form a larger ring system.
process;Beirut reaction;Reaction of a benzofurazan 1-oxide with an enamine or enolate to yield a quinoxaline-1,4-dioxide.
process;aldol addition;A carbon-carbon coupling reaction where an enol or enolate reacts with a carbonyl compound to form a beta-hydroxy ketone. The name comes from aldehyde + alcohol.
process;Sonogashira coupling;A carbon-carbon coupling reaction where a terminal alkyne reacts with an aryl halide to give an aryl alkyne. It is catalysed by palladium.
process;Simmons-Smith reaction;A ring formation reaction where an alkene reacts with a dihalomethane in the presence of a metal atom or metal complexes to form a cyclopropane. The traditional reaction uses a zinc-copper couple and diiodomethane.
process;intermolecular Scholl reaction;Scholl reaction between two aromatic molecules to form a single molecule.
process;aldol condensation;An aldol addition where an enol or enolate reacts with a carbonyl compound to form an alpha,beta-unsaturated ketone.
process;benzoin condensation;A reaction between two aromatic aldehydes to give a benzoin (an alpha-hydroxyketone).
process;Wittig rearrangement;Any of a family of sigmatropic rearrangements that involve the migration of a group on an electronegative atom (O or N) to a carbon atom.
process;functional modification;A reaction where the number of atoms in the skeleton, and their connectivity, remain the same.
process;Wacker process;The oxidation of ethene to acetaldehyde, catalysed by PdCl2 and CuCl2, and using molecular oxygen as the oxidant.
process;Cadogan carbazole synthesis;The reduction of a 2-nitrobiaryl compound to give a carbazole.
process;functional group addition step;A planned reaction step in which a covalent bond is formed between the molecular skeleton and a functional group and where the skeletal bond order is unchanged.
process;Bartoli indole synthesis;Reaction of an ortho-substituted nitroarene with a vinyl Grignard reagent to yield a 7-substituted indole.
process;functional group modification;A reaction in which a functional group undergoes a change that does not affect the number of atoms in (or connectivity of) the skeleton of the molecule.
process;Monsanto process;The reaction of carbon monoxide with methanol to form acetic acid, catalysed by a rhodium complex.
process;Cadogan coupling;The arylation of an arylamine mediated by isopentyl nitrite.
process;Chan-Lam coupling;Arylation of an amine or an alcohol with an arylboronic acid, stannane or siloxane in air with a copper acetate catalyst.
process;Barton olefination;Reaction of an aldehyde or ketone with a thioaldehyde or thioketone via a 1,3,4-thiadiazoline intermediate to yield an olefin.
process;functional group oxidation;A functional group modification reaction where a functional group is oxidised.
process;Cativa process;The reaction of carbon monoxide with methanol to form acetic acid, catalysed by an iridium complex.
process;MacDonald condensation;The reaction between a 1,9-diformyldipyrromethane and a dipyrromethane to give a porphodimethene.
process;Barton-Zard reaction;Reaction of a nitroalkene with an alpha-isocyanoacetate to yield a substituted pyrrole.
process;diazotisation;A functional group oxidation where an aromatic amine is transformed into an aromatic diazonium salt.
process;Barton-McCombie deoxygenation;The deoxygenation of an alcohol to the corresponding alkane using a thiochloroformate. It proceeds by a radical mechanism.
process;Zweifel diene synthesis;The carbon-carbon homocoupling reaction of a pair of alkyne molecules using a borane and iodine. The reaction proceeds via a borane intermediate.
process;Eschweiler-Clarke methylation;N-methylation of a primary or secondary amine with formic acid and formaldehyde to yield a tertiary amine.
process;pyrrole synthesis;A reaction in which the intended product is a pyrrole that was not present in any of the reactants.
process;1,3-dipolar cycloaddition;A ring formation reaction where a 1,3-dipolar compound reacts with an alkene or alkyne to form a five-membered ring compound.
process;Gattermann reaction;The formylation of an arene with hydrogen cyanide to give an aryl aldehyde or ketone.
process;Robinson annulation;Reaction of a cyclohexanone with methyl vinyl ketone to form a fused-ring cyclohexenone. It is a Michael reaction followed by an intramolecular aldol condensation.
process;[1,2]-Wittig rearrangement;A base-mediated 1,2-sigmatropic rearrangement of an ether to give an alcohol.
process;Tiffeneau-Demjanov rearrangement;Rearrangement of a beta-amino alcohol to yield a carbonyl compound. In the first step the amine is diazotised by reaction with nitrous acid.
process;Suzuki-Miyaura coupling;The coupling of a boronic acid or boronic ester with an unsaturated halide, triflate or sulfonate catalysed by a palladium(0) complex.
process;[2,3]-Wittig rearrangement;A base-mediated 2,3-sigmatropic rearrangement of an allyl ether to give a homoallylic alcohol.
process;Demjanov rearrangement;Substitution reaction of a primary amine via deazotisation to yield a mixture of the corresponding primary alcohol and secondary alcohol.
process;Sharpless asymmetric epoxidation;The epoxidation of an allylic alcohol to give a beta,gamma-epoxy alcohol, with control of absolute stereochemistry at the two new stereocentres. The oxidising agent is tert-butyl hydroperoxide, and the catalyst is a complex of titanium salt and optically active diethyl tartrate.
process;[1,2]-aza-Wittig rearrangement;A base-mediated 1,2-sigmatropic rearrangement of a tertiary amine to give a secondary amine.
process;thiol-yne reaction;Reaction of an thiol with an alkyne to form an alkenyl sulfide.
process;rearrangement step;A reaction which preserves the number of rings and number of skeletal atoms and in which the molecule rearranges so that one or more atoms or groups of atoms move from one atom to another.
process;Corey-Fuchs reaction;A homologation reaction of an aldehyde to yield a terminal alkyne. The reagents are tetrabromomethane, triphenylphosphine, butyllithium and water.
process;Seyferth-Gilbert aldehyde homologation;Reaction of an aldehyde with a dimethyl diazomethyl phosphonate under basic conditions to yield a terminal alkyne.
process;Beckmann rearrangement;A rearrangement where an oxime rearranges to form an amide. Often there is selective migration of one group.
process;Emde degradation;A reduction of a quaternary ammonium salt containing at least one unsaturated substituent, to give a tertiary amine.
process;Hantzsch pyridine synthesis;A ring-forming reaction between two equivalents of a beta-ketoester, an aldehyde and ammonia (or an ammonium salt), to give a dihydropyridine. The dihydropyridine can be oxidised to a pyridine using an oxidising agent.
process;Seyferth-Gilbert ketone homologation;Reaction of a ketone with a dimethyl diazomethyl phosphonate under basic conditions to yield a terminal alkyne.
process;Claisen rearrangement;The [3,3]-sigmatropic rearrangement of an allyl vinyl ether to give a gamma,delta-unsaturated carbonyl compound.
process;alkyne-azide click reaction;A [3+2] cycloaddition reaction between an azide and an alkyne to give a 1,2,3-triazole, needing only heat to proceed.
process;Cope rearrangement;A [3,3]-sigmatropic rearrangement where a 1,5-hexadiene rearranges to form a 1,5-hexadiene.
process;Ireland-Claisen rearrangement;The enolisation and subsequent [3,3]-sigmatropic rearrangement of an allylic acetate to give a gamma,delta-unsaturated carboxylic acid.
