class;term;comment
material entity;piece of duck breast (skinless, raw);A raw piece of skinless duck breast.
material entity;piece of duck breast (skinless);A piece of skinless duck breast.
material entity;sugar stick;
object aggregate;piece(s) of bear;One or more pieces of bears.
material entity;piece of bear meat (raw);A raw piece of bear meat.
material entity;carrot juice (canned);
object aggregate;ostrich meat (ground, raw);Ground ostrich meat that is raw.
object aggregate;ostrich meat (ground);Ostrich meat that has been ground.
object aggregate;piece(s) of ostrich meat (boneless);One or more pieces of boneless ostrich meat.
object aggregate;piece(s) of ostrich meat;One or more pieces of ostrich meat.
material entity;protein doughnut;
material entity;piece of bear meat;A piece of meat that is derived from a bear.
material entity;gin and tonic cocktail;
material entity;piece of bear (raw);A raw piece of bear.
material entity;scuppernong grape juice;
material entity;waffle (frozen);
material entity;tonic mixer beverage base;
material entity;piece of bear;A severed part of a bear.
material entity;pork chop (boneless, raw);A raw and boneless pork chop.
material entity;honey and maple syrup;
material entity;pork chop (boneless);A boneless pork chop.
material entity;honey (orange and lemon syrup);
material entity;pork roast (boneless, seasoned, fresh frozen);A boneless, seasoned and freshly frozen pork roast.
material entity;pork roast (boneless, raw);A raw and boneless pork roast.
material entity;mushroom quiche;
material entity;bear carcass (raw);A raw bear carcass.
material entity;bear carcass;A carcass of a bear that includes all anatomical parts.
material entity;bear material;Material that derives from some bear.
material entity;bear food product;A food product that is derived from some bear.
material entity;pineapple and apricot jam;
material entity;raisin filling for pastry;
material entity;pumpkin custard pie filling;
material entity;pork roast (boneless);A boneless pork roast.
material entity;raisin (soaked in liquor);
material entity;raisin jam;
material entity;honey and apple cider vinegar mixture;
material entity;aloe honey;
material entity;cranberry sauce made with whole cranberries;
material entity;pork roast (raw);A raw pork roast.
material entity;pork steak (raw);A raw pork steak.
material entity;butchery cut of pork (raw);A raw cut of pork meat.
material entity;cranberry (pressed);
material entity;butchery cut of pork;A piece of pork meat which has been cut according to butchery practice.
material entity;guava (pulp);
object aggregate;piece(s) of pork ear (raw);One or more raw pieces of pork ear.
object aggregate;piece(s) of pork stomach (raw);One or more raw pieces of pork stomach.
material entity;pork steak;A pork meat cut that has a flat-cut appearance.
material entity;pork retail cut (raw);A raw pork retail cut.
material entity;pork sub-primal cut (raw);A raw pork sub-primal cut.
material entity;pork primal cut (raw);A raw pork primal cut.
material entity;flan;
material entity;cheese quiche;
material entity;quiche;
material entity;pineapple and orange juice (strained);
material entity;pretzel (salt-free);
material entity;potato (peeled, boiled, mashed, instant);
material entity;fruit spread (frozen, uncooked);
material entity;fruit jelly (uncooked, frozen);
object aggregate;piece(s) of pork pancreas (raw);One or more raw pieces of pork pancreas.
object aggregate;piece(s) of pork thymus (raw);One or more raw pieces of pork thymus.
object aggregate;piece(s) of pork tongue (raw);One or more raw pieces of pork tongue.
object aggregate;piece(s) of pork brain (raw);One or more raw pieces of pork brain.
object aggregate;piece(s) of pork heart (raw);One or more raw pieces of pork heart.
object aggregate;piece(s) of pork organ (raw);One or more raw pieces of pork organ.
object aggregate;piece(s) of pork lung (raw);One or more raw pieces of pork lung.
object aggregate;piece(s) of pork spleen (raw);One or more raw pieces of pork spleen.
object aggregate;piece(s) of pork liver (raw);One or more raw pieces of pork liver.
object aggregate;piece(s) of pork kidney (raw);One or more raw pieces of pork kidney.
material entity;mangosteen preserves;
material entity;fruit conserve with liqueur;
material entity;fruit spread (frozen);
material entity;peach preserve;
material entity;fruit preserves (sugar-free);
material entity;red raspberry (raw);
material entity;mixed fruit preserves;
material entity;piece of pork meat (deboned);A piece of deboned pork meat.
material entity;piece of pork meat (boneless, raw);A raw piece of boneless pork meat.
material entity;piece of pork meat (boneless);A piece of boneless pork meat.
material entity;piece of pork meat (with skin, raw);A raw piece of pork meat that contains skin.
material entity;piece of pork meat (mechanically deboned);A piece of pork meat that has been mechanicaly deboned.
material entity;piece of pork meat (deboned, raw);A raw piece of deboned pork meat.
material entity;signet marigold plant;*Tagetes tenuifolia*, the signet marigold or golden marigold, is a species of the wild marigold in the daisy family (*Asteraceae*). It is widespread across most of Mexico as well as Central America, Colombia, and Peru. The plant's edible flowers can be used as a garnish. [https://en.wikipedia.org/wiki/Tagetes tenuifolia]
material entity;piece of pork meat (with skin);A piece of pork meat that contains skin.
material entity;piece of pork meat (skinless, raw);A raw piece of skinless pork meat.
material entity;piece of pork meat (skinless);A piece of skinless pork meat.
material entity;piece of turtle (raw);A raw piece of turtle.
object aggregate;piece(s) of lobster meat;One or more pieces of lobster meat.
object aggregate;piece(s) of crab meat;One or more pieces of crab meat.
material entity;lamb small intestine (raw);A raw small intestine that is obtained from a lamb.
material entity;lamb small intestine;A whole animal small intestine that is obtained from a lamb.
material entity;piece of sea turtle (raw);A raw piece of sea turtle.
material entity;piece of green sea turtle (raw);A raw piece of green sea turtle.
material entity;piece of whelk (raw);A raw piece of whelk.
material entity;water buffalo milk (raw);Raw water buffalo milk.
material entity;water buffalo milk;Milk which is produced by water buffalo lactation.
material entity;water buffalo substance;Material which is produced by a water buffalo.
material entity;doughnut (frozen);
material entity;animal cookie;
material entity;turmeric root (dried);
material entity;nut (salted);
material entity;ginger root (dried);
material entity;white cornmeal;
material entity;sunflower meal;
material entity;Rhine wine;
material entity;lake michigan chub raw;
material entity;white corn grits;
object aggregate;ground beef (cooked);
material entity;wheat cracker;
material entity;date (dried);
material entity;rolled oats;A type of lightly processed whole-grain food. Traditionally, they are made from oat groats (hulled grains) that have been dehusked and steamed, before being rolled into flat flakes under heavy rollers and then (optionally) stabilized by being lightly toasted.
material entity;meat sausage (cured);
material entity;flavoring (volatile);
material entity;liver (raw);A whole raw liver is a whole liver organ obtained from an animal during a butchery process.
material entity;coco bread;
material entity;sparkling wine;
material entity;raisin (dried);
material entity;pinto bean;A seed of a pinto bean plant which is a varietal in a pinto group of a common bean plant (Phaseolus vulgaris).
material entity;loquat food product;A product derived from loquat fruit'
material entity;sweet pea (raw);
material entity;jicama tuber (raw);
material entity;bavarian pudding;
material entity;grapefruit juice (diluted);
material entity;pink grapefruit juice;
material entity;legume (cooked);
material entity;rum pudding;
material entity;cardamom seed (ground);
material entity;soyflake (defatted, toasted);
material entity;mace (ground);
material entity;bacon fat (cooked);
material entity;caraway seed (ground);
material entity;bilberry juice;
material entity;hyacinth bean;A seed of ahyacinth bean plant (Lablab purpureus).
material entity;navy bean (dried);
material entity;sweet potato chip;
material entity;duckling;
material entity;sunflower (raw);
material entity;plum wine;
material entity;safflower seed (raw);
material entity;blackberry wine;
material entity;raspberry wine;
material entity;pomegranate wine;
material entity;kidney bean (dried);
material entity;rosé wine;A type of grape wine that incorporates some of the color from the grape skins, but not enough to qualify it as a red wine.
material entity;great northern bean (dried);
material entity;moreton bay chestnut black bean (dried);
material entity;black vinegar chinese;
material entity;beef (cooked);
material entity;scallop (fried);
material entity;coconut custard;
material entity;mirin japanese;
material entity;turkey white meat (raw);
material entity;mustard oil press cake;
material entity;beechnut (raw);
material entity;shrimp (fried);
material entity;tea (spiced);
material entity;mussel paste;
material entity;rice (milled);
object aggregate;piece(s) of pork ear;One or more pieces of pork ear.
object aggregate;piece(s) of pork stomach;One or more pieces of pork stomach.
object aggregate;piece(s) of pork pancreas;One or more pieces of pork pancreas.
object aggregate;piece(s) of pork thymus;One or more pieces of pork thymus.
object aggregate;piece(s) of pork kidney;One or more pieces of pork kidney.
object aggregate;piece(s) of pork brain;One or more pieces of pork brain.
material entity;corn cob (whole or pieces);A whole corn cob or some substance made from one or more processed corn cob.
material entity;white bean (dried);
object aggregate;piece(s) of pork tongue;One or more pieces of pork tongue.
object aggregate;piece(s) of pork lung;One or more pieces of pork lung.
object aggregate;piece(s) of pork spleen;One or more pieces of pork spleen.
material entity;heavy cream;
object aggregate;piece(s) of pork liver;One or more pieces of pork liver.
material entity;sweet red bell pepper (dried);
material entity;brown rice kernel (enriched, precooked);
material entity;pudding mix;
material entity;rice (flavored with beef extract);
material entity;clam sauce;
material entity;rice (flavored with chicken extract);
material entity;skim milk (raw);
material entity;rice (instant);
material entity;rice (fortified);
material entity;white rice flour (precooked);
material entity;tarragon in vinegar;
material entity;spanish olive (canned);
material entity;green olive (in brine);
material entity;cowpea for animal feed;
material entity;olive (stuffed with anchovy, in brine);
material entity;coconut (grated);
object aggregate;piece(s) of pork organ;One or more pieces of pork organ.
object aggregate;pork meat (minced, raw);Pork meat that has been minced.
object aggregate;pork meat (minced);Pork meat that has been minced with a blade.
object aggregate;pork meat (ground, fresh frozen);Pork meat that has been ground and is fresh frozen.
object aggregate;piece(s) of pork heart;One or more pieces of pork heart.
object aggregate;piece(s) of pork meat (deboned);One or more pieces of deboned pork meat.
material entity;cow whole milk 3.5% fat;
object aggregate;piece(s) of pork meat (frozen);One or more pieces of frozen pork meat.
material entity;black turtle bean (dried);
object aggregate;piece(s) of pork meat (mechanically deboned, raw);One or more raw pieces of mechanically deboned pork meat.
material entity;fruit (fermented);
object aggregate;piece(s) of pork meat (mechanically deboned);One or more pieces of mechanically deboned pork meat.
material entity;fermented vegetable food product;
object aggregate;piece(s) of pork meat (deboned, raw);One or more raw pieces of deboned pork meat.
material entity;yellow rice mix;
material entity;rice (enriched, parboiled);
material entity;olive (stuffed with pimiento);
material entity;apple (whole or pieces);A whole apple or some substance made from processed apple.
material entity;spanish olive (stuffed with pureed pimiento);
material entity;pink bean (dried);
material entity;olive (greek-style);
material entity;olives (canned);Canned olives are olives - either pitted or unpitted, and whole or in parts - in a can.
material entity;salad greens (raw);Salad greens are leaf vegetables that are served raw in a salad.
material entity;olive (stuffed with anchovies);
material entity;potato chip (reduced sodium);
material entity;potato (dehydrated, vitamin c added);
material entity;potato (stuffed, frozen);
material entity;red variety sweet potato (raw, skin possible);
object aggregate;piece(s) of pork meat (boneless);One or more pieces of boneless pork meat.
object aggregate;piece(s) of pork meat (with skin, raw);One or more raw pieces of pork meat that contain skin.
object aggregate;piece(s) of pork meat (with skin);One or more pieces of pork meat that contain skin.
object aggregate;piece(s) of pork meat (raw);One or more raw pieces of pork meat.
object aggregate;pork meat (ground, raw);Ground pork meat that is raw.
object aggregate;pork meat (ground);Pork meat that has been ground.
object aggregate;piece(s) of pork meat;One or more pieces of pork meat.
material entity;breakfast beverage (non-carbonated);
object aggregate;piece(s) of pig;One or more pieces of porks.
material entity;pork tail;A whole tail that is obtained from a pork.
material entity;pie (unsweetened, served as entree);
material entity;piece of pork meat (raw);A raw piece of pork meat.
material entity;noodles and cheese;
material entity;olive (in brine);
material entity;pizza food product;
material entity;spanish olive (stuffed with anchovy);
material entity;breakfast cereal (fortified, hot);
material entity;herring (smoked);
material entity;tomat oketchup substitute (sweetened with honey);
material entity;olive (ripe, in brine);
material entity;table syrup (fruit-flavored);
material entity;fruit punch homemade prepared with fruit;
material entity;ginger ale;
material entity;fruit juice drink (carbonated);
material entity;tonic water fountain syrup;
material entity;skim milk (concentrated);
material entity;olive (canned);
material entity;raspberry (raw);
material entity;red kidney bean;A red kidney shaped seed of a red kidney bean plant.
material entity;jam (frozen);
material entity;cherry spread;
material entity;cashew nut (shell off, raw);
material entity;grape spread;
material entity;almond (shell off);
material entity;piece of pork pancreas (raw);A raw piece of a pork pancreas.
material entity;piece of pork thymus (raw);A raw piece of a pork thymus.
material entity;piece of pork tongue (raw);A raw piece of a pork tongue.
