class;term;comment
material entity;ice-covered lake;A lake permanently covered by ice.
material entity;smog;A fog which is intermixed with smoke or other combustion products and their derivatives.
material entity;meromictic lake;A lake which has layers of water which do not intermix.
process;pyrolysis;A thermolysis process in which organic material is decomposed in the absence of oxygen.
material entity;alkaline flat;A dry lakebed consisting of fine-grained sediments infused with alkali salts. Generally the shore or bed of an endorheic lake.
material entity;fog;A visible mass of cloud water droplets or ice crystals suspended in the air at or near the surface of an astronomical body.
material entity;endorheic lake;A lake from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material.
fiat object;area of evergreen forest;An area of a planet's surface which is primarily covered by a forest in which the majority of trees maintain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
material entity;scree;Broken rock that appears at the bottom of crags, mountain cliffs or valley shoulders.
material entity;sinkhole;A natural depression or hole in the surface topography caused by the removal of soil or bedrock, often both, by water. Sinkholes may vary in size from less than a meter to several hundred meters both in diameter and depth, and vary in form from soil-lined bowls to bedrock-edged chasms.
material entity;mudflat;A wetland that forms when mud is deposited by the tides, rivers, sea or oceans.
process;thermolysis;A chemical decomposition (the separation of a single chemical compound into its two or more elemental parts or to simpler compounds) caused by heat.
material entity;olive grove;
material entity;abyssal feature;Feature on the ocean floor at a depth of 3500 - 6000 meters.
material entity;solid astronomical body part;A part of an astronomical body which is primarily composed of solid material.
fiat object;flower-rich field margin strip;A flower strip which is present at the margins of cultivated fields.
material entity;water ice crystal;A crystal which is primarily composed of water ice.
material entity;crystal;A solid material whose constituents, such as atoms, molecules or ions, are arranged in a highly ordered microscopic structure, forming a crystal lattice that extends in all directions.
fiat object;flower strip;A vegetated area which includes a community of flowering plants that provide food for local pollinators.
material entity;hair ice;A type of water ice that forms on dead wood with the assistance of the fungus Exidiopsis effusa and takes the shape of fine, silky hair.
material entity;peat swamp;Forested peatlands including both rain- and groundwater-fed types, commonly recorded in tropical regions with high rainfall.
material entity;tundra mire;Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR.
object;droplet;A droplet is a small column of liquid, bounded completely or almost completely by free surfaces which maintains its shape due to the surface tension of the liquid.
material entity;palsa mire;Peatland typified by characteristic high mounds, each with a permanently frozen core, with wet depressions between the mounds.
process;water-based rainfall;A hydrological precipitation process in which atmospheric water vapour condenses to form droplets of liquid water massive enough to fall to a planetary surface due to the planet's gravity.
