class;term;comment
process;SARS-CoV-2-human rep-NAPA physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of NAPA from human.
process;SARS-CoV-2-human M-DDX21 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of DDX21 from human.
process;SARS-CoV-2-human rep-ALDH18A1 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of ALDH18A1 from human.
process;SARS-CoV-2-human rep-EPHB4 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of EPHB4 from human.
process;SARS-CoV-2-human M-DHRS3 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of DHRS3 from human.
process;SARS-CoV-2-human M-KCNQ5 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of KCNQ5 from human.
process;SARS-CoV-2-human rep-RAD23A physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of RAD23A from human.
process;SARS-CoV-2-human M-ARL6IP5 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of ARL6IP5 from human.
process;SARS-CoV-2-human M-SAR1A physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of SAR1A from human.
process;SARS-CoV-2-human rep-ATP1B3 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of ATP1B3 from human.
process;SARS-CoV-2-human M-ATP5PD physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of ATP5PD from human.
process;SARS-CoV-2-human M-AAAS physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of AAAS from human.
process;SARS-CoV-2-human rep-HSPA2 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of HSPA2 from human.
process;SARS-CoV-2-human M-DNAJB5 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of DNAJB5 from human.
process;SARS-CoV-2-human M-ST7 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of ST7 from human.
process;SARS-CoV-2-human rep-YARS1 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of YARS1 from human.
process;SARS-CoV-2-human rep-CCDC102A physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of CCDC102A from human.
process;SARS-CoV-2-human rep-FAM162A physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of FAM162A from human.
process;SARS-CoV-2-human rep-CCDC47 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of CCDC47 from human.
process;SARS-CoV-2-human rep-SYAP1 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of SYAP1 from human.
process;SARS-CoV-2-human rep-ADIPOR1 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of ADIPOR1 from human.
process;SARS-CoV-2-human rep-TMEM230 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of TMEM230 from human.
process;SARS-CoV-2-human rep-EXOC4 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of EXOC4 from human.
process;SARS-CoV-2-human rep-KIAA1191 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of KIAA1191 from human.
process;SARS-CoV-2-human rep-RFT1 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of RFT1 from human.
process;SARS-CoV-2-human rep-TTC17 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of TTC17 from human.
process;SARS-CoV-2-human rep-LRRC59 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of LRRC59 from human.
process;SARS-CoV-2-human M-ZMPSTE24 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of ZMPSTE24 from human.
process;SARS-CoV-2-human M-PPAN physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of PPAN from human.
process;SARS-CoV-2-human rep-MFAP1 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of MFAP1 from human.
process;SARS-CoV-2-human M-SC5D physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of SC5D from human.
process;SARS-CoV-2-human M-TIMMDC1 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of TIMMDC1 from human.
process;SARS-CoV-2-human rep-CSE1L physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of CSE1L from human.
process;SARS-CoV-2-human M-CYP7B1 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of CYP7B1 from human.
process;SARS-CoV-2-human M-GPRC5C physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of GPRC5C from human.
process;SARS-CoV-2-human rep-PSMD4 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of PSMD4 from human.
process;SARS-CoV-2-human M-ATRN physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of ATRN from human.
process;SARS-CoV-2-human M-PLCB1 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of PLCB1 from human.
process;SARS-CoV-2-human rep-SLC12A2 physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of SLC12A2 from human.
process;SARS-CoV-2-human M-RBBP9 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of RBBP9 from human.
process;SARS-CoV-2-human M-NECTIN3 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of NECTIN3 from human.
process;SARS-CoV-2-human M-STAM2 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of STAM2 from human.
process;SARS-CoV-2-human M-RTN4 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of RTN4 from human.
process;SARS-CoV-2-human M-TUSC2 physical association;A SARS-CoV-2 M and human PPI that has an interactor of M from SARS-CoV-2 and another interactor of TUSC2 from human.
process;SARS-CoV-2-human rep-BLM physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of BLM from human.
process;SARS-CoV-2-human rep-SEC24C physical association;A SARS-CoV-2 rep and human PPI that has an interactor of rep from SARS-CoV-2 and another interactor of SEC24C from human.
