class;term;comment
generically dependent continuant;stage 2 adult blood pressure measurement datum per 2017 guidelines;
generically dependent continuant;elevated diastolic blood pressure measurement datum;
generically dependent continuant;systolic blood pressure measurement datum;A blood pressure measurement datum that is a quality measure of some systolic blood pressure
generically dependent continuant;stage 1 elevated adult diastolic blood pressure measurement datum per 2017 guidelines;
generically dependent continuant;diastolic blood pressure measurement datum;
generically dependent continuant;elevated adult diastolic blood pressure measurement datum;
generically dependent continuant;elevated adult systolic blood pressure measurement datum;
quality;elevated blood pressure phenotype;A phenotype of blood pressure that is above some specified threshold
generically dependent continuant;stage 2 elevated adult systolic blood pressure meaurement datum per ACC 2017 guidelines;
generically dependent continuant;diagnosis of hypertension;A diagnosis that asserts of some patient that they have a disposition to chronically elevated blood pressure
generically dependent continuant;stage 2 elevated adult diastolic blood pressure measurement datum per 2017 guidelines;
object;adult over 18 years of age;
quality;elevated diastolic phenotype;An elevated blood pressure phenotype of diastolic blood pressure that is above some specifed threshold
generically dependent continuant;stage 1 adult blood pressure measurement datum per 2017 guidelines;
quality;documented hypertensive phenotype;A phenotype of hypertension that has been documented
generically dependent continuant;elevated blood pressure measurement datum;
generically dependent continuant;elevated adult blood pressure measurement datum per 2017 guidelines;
quality;elevated systolic phenotype;An elevated blood pressure phenotype of systolic blood pressure that is above some specifed threshold
generically dependent continuant;elevated systolic blood pressure measurement datum;Amanda Hicks
