class;term;comment
process;imagination;A mental process that manipulates mental images and words that go beyond mere memory and thoughts about the objects and entities that the person has encountered, to visualise or consider entities and states of affairs that the person has never encountered and which may not yet exist or obtain in the world. Imagination is the capacity to produce images, ideas and sensations in the mind without any immediate input of the senses.
process;daydreaming;Short-term detachment from one's immediate surroundings, during which a person's contact with reality is blurred and partially substituted by a visionary fantasy, especially one of happy, pleasant thoughts, hopes or ambitions, imagined as coming to pass, and experienced while awake.
process;language problem solving behavior;
process;attachment;Affectional tie that one person or animal forms between himself and another specific one, a tie that binds them together emotionally and endures over time.
process;thinking;a mental process that involves the manipulation of mental language and/or mental images
process;thinking with language;A cognitive process that involves the manipulation of mental language.
process;arousal;A mental process that is the psychological and physiological state of being awake and reactive to stimuli.
process;touching;Touching (tactile perception) is a mental process which is a) produced by a causal process involving pressure on the organism’s skin from a part of the environment of the subject, and b) is experienced by the subject as being so caused, and c) in which the relevant part of the environment is thereby represented to the subject
process;visual problem solving behavior;
process;smelling;Smelling (olfactory perception) is a mental process which is a) produced by a causal process involving xenobiotic molecules from a part of the environment of the subject binding with specialized sensory cells in the nasal cavity, and b) is experienced by the subject as being so caused, and c) in which the relevant part of the environment is thereby represented to the subject
process;mathematical problem solving behavior;
process;tasting;Taste perception is a mental process which is a) produced by a causal process involving xenobiotic molecules from a part of the environment of the subject binding with specialized sensory cells in the tongue and nasal cavity, and b) is experienced by the subject as being so caused, and c) in which the relevant part of the environment is thereby represented to the subject
disposition;capability to read music;A musical capability that is the ability to interpret the musical instructions represented in a musical score.
disposition;capability to speak;A linguistic capability that is realised in processes in which well-formed vocal expressions in a given language are produced.
disposition;capability to understand language;A linguistic capability that is realised in processes in which well-formed expressions in a given language are understood.
disposition;linguistic capability;A mental capability that is realised in processes of communication involving language or in expressions of language.
process;facial expression communication;A non-linguistic communication process that involves the transmission of information by one participant interpreting the facial expressions of another participant.
process;sign-language communication;A linguistic communication in which the meaning units are encoded in a sign language.
process;perception;A mental process which is a) produced by a causal process involving a part of the environment of the organism, and b) is experienced by the organism as being so caused, and c) in which the relevant part of the environment is thereby represented to the organism.
process;attending;the process whereby relevant aspects of our mental experience are focused on specific targets
process profile;consciousness;Consciousness is an inseparable part of all mental processes. It is that part of the mental process that: a) confers a subjective perspective, a phenomenology, an experience of the mental process of which it is a part. and b) intends the object or event that the mental process is about, should such exist. i.e., it confers intentionality on the mental process.
material entity;human being;An extended organism that is a member of the species Homo sapiens.
disposition;introversion;
disposition;intelligence;A mental capability realised in processes involving understanding complex ideas, adapting effectively to the environment, learning from experience, engaging in various forms of reasoning, and overcome obstacles through the outcome of thinking processes.
process;nociception;Nociception is a mental process which is a) produced by a causal process specialized internal sensory cells in, for example, skin, muscles and joints, and b) by which actual or immanent tissue damage are reported to the organism, and c) which is experienced by the subject as being so caused
process;seeing;Seeing (visual perception) is a mental process that is a) produced by a causal process involving light rays from a part of the environment of the subject being absorbed by photoreceptors in the retina, and b) is experienced by the subject as being so caused, and c) in which the relevant part of the environment is thereby represented to the subject
process;proprioception;Proprioception is a mental process which is a) produced by a causal process specialized internal sensory cells in, for example, skin, muscles and joints, and b) by which their location and state of motion and/or balance are represented to the organism, and c) which is experienced by the subject as being so caused
process profile;higher order consciousness;Higher order consciousness is consciousness of one's own mental states, a self-reflexive consciousness of the experience of being conscious, of having mental processes ongoing.
process;interpersonal behavior;Behavior having interpersonal processes as parts, each involving the same instances of human being.
process profile;consciousness of self;Consciousness of self is the higher order consciousness that reflexively includes the awareness that the organism that is the subject of the conscious experience exists.
disposition;agreeableness;A personality trait manifesting itself in individual behavioral characteristics that are perceived as kind, sympathetic, cooperative, warm, and considerate.
process profile;olfactory consciousness;Olfactory consciousness is consciousness of an olfactory stimulus (scent), as experienced through the olfactory sensory medium as a part of a process of smelling.
process;interpersonal process;A process in which at least two human beings are agents.
disposition;openness to experience;A personality trait manifesting itself in individual behavioral characteristics that are perceived as revealing, curiosity, an appreciation of novelty and variety of experiences and ideas, invention, and unpredictability.
