class;term;comment
process;chronic stress;The response to emotional pressure suffered for a prolonged period over which an individual perceives he or she has no control. http://en.wikipedia.org/wiki/Chronic stress
process;binge-eating disorder;The essential features are recurrent episodes of being eating associated with subjective and behavioural indicators of impaired control over, and significant distress about, the binge eating and the absence of the regular use of inappropriate compensatory behaviours (such as self-induced vomiting, misuse of laxatives and other medications, fasting, and excessive exercise) that are characteristic of Bulimia Nervosa.
process;anhedonia;Is defined as the inability to experience pleasure from activities usually found enjoyable, e.g. exercise, hobbies, music, sexual activities or social interactions. http://en.wikipedia.org/wiki/Anhedonia
process;caffeine intoxication;The essential feature of caffeine intoxication is recent consumption of caffeine and five or more symptoms that develop during, or shortly after caffeine use. DSM-IV-TR
process;binge eating;Consists of episodes of uncontrollable eating.
process;mixed episode;Is characterised by a period of time (lasting at least 1 week) in which the criteria are met both for a Manic episode and for a Major depressive episode nearly every day.
process;pathological mental process;
process;hypomanic episode;Is defined as a distinct period during which there is an abnormally and persistently elevated, expansive, or irritable mood that last at least 4 days.
process;residual schizophrenia;
process;nightmare;Dream that can cause a strong emotional response from the mind, typically fear or horror, but also despair, anxiety and great sadness. The dream may contain situations of danger, discomfort, psychological or physical terror.
process;mental disease course;A disease course of a mental disease.
process;affective flattening;Is characterized by the person's face appearing immobile and unresponsive, with poor eye contact and reduced body language.
quality;manifestation of a mental disease;A bodily feature of an organism that is (a) a deviation from clinical normality that is the realization of a mental disease and is (b) observable.
process;akinesia;Absence, poverty, or loss of control of voluntary muscle movements. http://medical-dictionary.thefreedictionary.com/akinesia
process;avolition;Is characterized by an inability to initiate and persist in goal-directed activities. The person may sit for long periods of time and show little interest in participating in work or social activities. http://www.biopsychinstitute.com/psychiatric-disorders/schizophrenia
process;alogia;Is manifested by brief, laconic, empty replies.
generically dependent continuant;diagnosis of mental disease;A diagnosis asserting the presence of an instance of a mental disease in a given organsim.
process;waxy flexibility (in catatonia);Behavior in which the limb or other body part of a catatonic person can be moved into another position that is then maintained. The body part feels to an observer as if it were made of wax. http://www.minddisorders.com/Br-Del/Catatonic-disorders.html
process;catatonic posturing;Catatonic behavior in which the person assumes a bizarre or inappropriate posture and maintains it over a long period of time. http://www.minddisorders.com/Br-Del/Catatonic-disorders.html
process;catatonic rigidity;Catatonic behavior in which the person assumes a rigid position and holds it against all efforts to move him or her. http://www.minddisorders.com/Br-Del/Catatonic-disorders.html
process;suicidal ideations;Is a medical term for thoughts about or an unusual preoccupation with suicide. http://en.wikipedia.org/wiki/Suicidal ideation
process;grossly disorganized behavior;Behavior that may manifest itself in a variety of ways, ranging from childlike silliness to unpredictable agitation.
process;catatonic stupor;Catatonic behavior with markedly slowed motor activity, often to the point of immobility and seeming unawareness of the environment. http://www.minddisorders.com/Br-Del/Catatonic-disorders.html
process;catatonic excitement;Catatonic behavior marked by agitation and seemingly pointless movement. http://www.minddisorders.com/Br-Del/Catatonic-disorders.html
process;psychotic disorder due to a general medical condition;In this disorder the psychotic symptoms are judged to be a direct physiological consequence of a general medical condition. DSM-IV-TR (American Psychiatric Association)
process;shared psychotic disorder;Is characterised by the presence of a delusion in an individual who is influenced by someone else who has a longer-standing delusion with similar content. DSM-IV-TR (american Psychiatric Association)
process;full-blown manic mood episode;
process;cataplexy;a sudden and transient episode of loss of muscle tone accompanied by full conscious awareness, often triggered by emotions such as laughing, crying, terror, etc. http://en.wikipedia.org/wiki/Cataplexy
process;cocaine bugs;The sensation of tiny creatures crawling over the cocaine user's skin. Psychopharmacology Drugs, the Brain, and Behavior (Jerrold S. Meyer, Linda F. Quenzer)
process;anergia;Lack of energy. Psychopharmacology Drugs, the Brain, and Behavior (Jerrold S. Meyer, Linda F. Quenzer)
process;brief psychotic disorder;Is a disorder that lasts more than one day and remits by one month. DSM-IV-TR (american Psychiatric Association)
process;facebook addiction;An internet addiction in which the subject makes compulsive use of the Internet software Facebook.
process;fixation;A state in which a person remains attached to objects or activities more appropriate for an earlier stage of psychosexual development. http://www.apa.org/research/action/glossary.aspx
process;agoraphobia;Extreme fear of being in public places or open spaces from which escape may be difficult or embarrassing. http://www.apa.org/research/action/glossary.aspx
process;internet addiction;A process addiction in which the subject makes compulsive use of Internet facilities.
process;stupor;A state of unresponsiveness with immobility and mutism. DSM-IV-TR (american Psychiatric Association)
disposition;mental disease;A disease which is a disposition to undergo pathological mental processes.
process;primary sleep disorder: parasomnia;Disorders characterised by abnormal behavioural or physiological events occurring in association with sleep, specific sleep stages, or sleep-wake transitions. DSM-IV-TR (american Psychiatric Association)
process;phobia;A persistent, irrational fear of a specific object, activity, or situation (the phobic stimulus) that results in a compelling desire to avoid it. DSM-IV-TR (american Psychiatric Association)
process;mental disorder;A disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual, and which are not a part of normal development or culture.
process;mental disorder;Clinically significant behavioural and/or cognitive pathology.
