class;term;comment
process;leukopenia AE;a hematopoietic system AE that has an outcome of a lower than normal number of leukocytes, or nucleated cells of the myeloid or lymphoid lineages, found in blood or other tissue
generically dependent continuant;evidence inadequate to accept or reject an adverse event causal relation;an outcome of adverse event causality evidence that has an outcome of evidence is inadequate to accept or reject an adverse event causal relation
process;acute decompensated heart failure AE;Acute decompensated heart failure AE is a cardiovascular disorder AE that shows a worsening of the symptoms, typically shortness of breath (dyspnea), edema, and fatigue, in a patient with existing heart disease.
process;Grade 4 retinal detachment AE;a retinal detachment AE that has blindness (20/200 or worse) in the affected eye
process;leukocytoclastic vasculitis AE;an vasculitis AE that has an outcome of fragmented cells, and debris in the blood vessels. May develop skin lesions, accompanied by arthralgia and fever
process;cardiac enzymes increased AE;a hematology investigation result abnormal AE that occurs when the cardaic enzymes and proteins leak out of damaged heart muscle cells, and their levels in the bloodstream rise.
process;Grade 3 retinal detachment AE;a retinal detachment AE that has rhegmatogenous or exudative detachment. operative intervention indicated. decline in vision (worse than 20/40 but better than 20/200)
process;leukocyturia AE;Urinary system AE that results in white blood cells in the urine
process;cardiac murmur AE;Cardiac murmur AE is a cardiac disorder AE that is characterised by abnormal sounds during the heartbeat cycle — such as whooshing or swishing — made by turbulent blood in or near the heart.
process;leukoencephalopathy AE;an encephalopathy AE that has an outcome of brain white matter disease
process;cardiac massage;Cardiac massage is a resuscitative procedure that employs the rhythmic compression of the chest and heart in an effort to restore and maintain the circulation after cardiac arrest or ventricular fibrillation
process;Grade 1 hemolysis AE;a hemolysis AE that has laboratory evidence of hemolysis only (e.g., direct antiglobulin test. DAT. Coombs'. schistocytes. decreased haptoglobin)
process;left ventricular hypertrophy AE;a left ventricular dysfunction disorder AE that has an outcome of the thickening of the myocardium of the left ventricle of the heart
process;buttock pain AE;Buttock pain AE is a pain AE that is a common problem in the butt, it can be due to bursitis, bruising, piriformis syndrome, and shingles,or due to more serious diseases with long-term consequences, such as cancer, arthritis of the sacroiliac joints, and herniated disc with sciatica.
process;Grade 4 glaucoma AE;a glaucoma AE that has blindness (20/200 or worse) in the affected eye
process;leukemia recurrent AE;a hematopoietic system AE that has an outcome of cancer of the white blood cells characterized by return of symptoms after remission
process;Brugada syndrome AE;a syndrome AE that is characterised by abnormal electrocardiogram (ECG) findings and an increased risk of sudden cardiac death.
process;Grade 3 glaucoma AE;a glaucoma AE that has elevated intraocular pressure causing marked visual field deficits (e.g., involving both superior and inferior visual fields). operative intervention indicated. limiting self care activities of daily living
process;leukemic infiltration brain AE;a nervous system AE that has an outcome of cancerous white blood cells infiltrating the brain
process;candidiasis AE;an infection adverse event that caused by a species of the yeast Candida.
process;Grade 2 retinal detachment AE;a retinal detachment AE that has exudative and visual acuity 20/40 or better
process;leukemoid reaction AE;Immune system disorder AE that results in an increase in white blood cell count as a result of stress or infection
process;calcinosis AE;a digestive system AE with an outcome of small white calcium lumps forming under the skin that may leak a chalky white fluid. These lumps are formed becuase of too much calcium in the diet.
process;Grade 3 anaphylaxis AE;an anaphylaxis AE that has symptomatic bronchospasm, with or without urticaria. parenteral intervention indicated. allergy-related edema/angioedema. hypotension
process;Grade 4 thrombotic thrombocytopenic purpura AE;a thrombotic thrombocytopenic purpura AE that has life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)
process;breath sounds decreased AE;a lung disorder AE that occurs when the noises produced by the structures of the lungs during breathing are decreased or absent.
process;Grade 2 glaucoma AE;a glaucoma AE that has elevated intraocular pressure causing early visual field deficits. multiple topical or oral agents indicated. limiting instrumental activities of daily living
process;left ventricular failure AE;a left ventricular dysfunction AE that has an outcome of congestive heart failure marked by pulmonary congestion and edema, the left ventricle fals to contract forcefully enough to maintain normal cardiac output and peripheral perfusion
process;brainstem infarction AE;a brainstem infarction AE is a stroke AE that occurs when blood cannot flow to the brainstem, when oxygen cannot get to an area of the brain, tissue in that area may be damaged.
process;Grade 1 glaucoma AE;a glaucoma AE that has elevated intraocular pressure (EIOP) with single topical agent for intervention. no visual field deficit
process;left atrial dilatation AE;a dilatation atrial AE that results in the left atrium of the heart becoming enlarged
process;left ventricular dysfunction AE;a cardiac ventricular disorder AE that has an outcome of inability of the left ventricle to pump blood, may lead to heart failure
process;myocardial necrosis AE;Myocardial necrosis AE is a cardiac disorder AE that shows death of the cells of an area of the heart muscle (myocardium) as a result of oxygen deprivation, which in turn is caused by obstruction of the blood supply.
process;large granular lymphocytosis AE;an immune system disorder AE that has an outcome of an increase in the number or proportion of natural killer cells, or cytotoxic lymphocytes critical to the innate immune system
process;CSF white blood cell count increased AE;CSF white blood cell count increased AE is a CSF test result abnormal AE that has an outcome of CSF white blood cell count increased.
process;Grade 3 fecal incontinence AE;a fecal incontinence AE that has severe symptoms. elective operative intervention indicated
process;large intestinal ulcer AE;a gastrointestinal disorder AE that has an outcome of an ulcer in the large intestine
process;red blood cells CSF positive AE;Red blood cells CSF positive AE is a CSF test result abnormal AE that has an outcome of CSF red blood cells count positive.
process;Grade 2 fecal incontinence AE;a fecal incontinence AE that has daily use of pads required
process;large intestine perforation AE;a digestive system AE that has an outcome of perforation, or complete penetration, of the walls of the large intestine
process;nerve conduction study abnormal AE;a behavior and neurological test abnormal AE that shows a abnormal result of nerve conduction study (NCS). NCS is a medical diagnostic test commonly used to evaluate the function, especially the ability of electrical conduction, of the motor and sensory nerves of the human body.
process;Grade 3 thrombotic thrombocytopenic purpura AE;a thrombotic thrombocytopenic purpura AE charaterized by laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)
process;le cells present AE;an immunology and allergy investigation result abnormal that results in LE cells (neutrophil or macrophage that has phagocytized the denatured nuclear material of another cell) being detected
process;influenza A virus test positive AE;Influenza A virus test positive AE is a influenza virus test positive AE that has an outcome of positive result in an influenza A virus test.
process;Grade 1 thrombotic thrombocytopenic purpura AE;a thrombotic thrombocytopenic purpura AE that has evidence of RBC destruction (schistocytosis) without clinical consequences
process;klebsiella infection AE;a bacterial infection AE with an outcome of invasion by Klebsiella pneumonia, a form of bacterial pneumonia
process;off label drug use;Off label use is the use of pharmaceutical drugs for an unapproved indication or in an unapproved age group, unapproved dosage, or unapproved form of administration.
process;Grade 2 international normalized ratio increased AE;a international normalized ratio increased AE that is greater than 1.5 - 2.5 times the upper limit of normal. greater than 1.5 - 2.5 times above baseline if on anticoagulation
process;knee deformity AE;a bone disorder a that results in the knee becoming deformed
process;posturing AE;a psychiatric disorder AE that an involuntary flexion or extension of the arms and legs, indicating severe brain injury.
