class;term;comment
material entity;Posterior Tooth;A tooth that is either a molar or premolar.
process;dental implant retainer attachement procedure for ceramic fixed partial denture;A dental implant retainer attachement procedure for fixed partial denture in which the retainer being attached to the implant body is to be used as a retainer for a ceramic fixed partial denture.
material entity;prosthetic tooth;a prosthesis that has been fabricated for use as a substitute for a natural tooth
process;direct restoration procedure;A tooth restoration procedure in which the dental restoration material is placed in the tooth via some direct dental restoration material combination process.
process;dental implant retainer attachement procedure for fixed partial denture;A dental implant abutment attachment procedure during which a retainer for a fixed partial denture is attached to an implant body.
material entity;prosthesis;a processed material that bears a prothetic role
process;dental material fusion process;A dental material combination process in which one or more materials forms a substructure and then one or more materials are fused (or baked) onto this substructure.
material entity;Anterior Tooth;A tooth that is either an incisor or a canine.
process;indirect restoration procedure;A tooth restoration procedure in which the dental restoration material is placed in the tooth via some dental material tooth attachment process.
process;3/4 crown restoration procedure;A crown restoration procedure in which 3 of the 4 surfaces on an anterior tooth is restored. The dental restoration material extends to (or almost to) the gum line.
material entity;partial denture;a prosthesis that replaces one or more, but less than all, of the natural teeth and associated structures
process;bruxism;A masticatory muscle activity that may result in a disorder within the head and neck region.
generically dependent continuant;intracoronal restoration procedure finding;A dental finding procedure that an intracoronal restoration procedure was performed on the patient.
generically dependent continuant;veneer restoration procedure finding;A dental finding procedure that a veneer restoration procedure was performed on the patient.
generically dependent continuant;crown restoration procedure finding;A dental finding procedure that a crown restoration procedure was performed on the patient.
process;oral parafunction;A pathological process that involves the mouth and can contribute to some disorder of the head and neck region.
generically dependent continuant;oral evaluation finding;A dental finding that is about an oral evaluation.
process;resin inlay restoration procedure;An inlay restoration procedure that uses resin to restore the tooth.
process;ceramic inlay restoration procedure;An inlay restoration procedure that uses ceramic to restore the tooth.
process;ceramic onlay restoration procedure;An onlay restoration procedure that uses ceramic to restore the tooth.
role;tooth to undergo inlay procedure role;A tooth to be restored role that is realized by an inlay restoration procedure
role;tooth to undergo onlay procedure role;A tooth to be restored role that is realized by an onlay restoration procedure
generically dependent continuant;tooth clinically present finding;A dental finding that a tooth was present during a clinical exam.
generically dependent continuant;missing tooth 32 finding;a missing tooth finding in which tooth 32 is found to be missing
generically dependent continuant;missing tooth 27 finding;a missing tooth finding in which tooth 27 is found to be missing
generically dependent continuant;missing tooth 28 finding;a missing tooth finding in which tooth 28 is found to be missing
generically dependent continuant;missing tooth 25 finding;a missing tooth finding in which tooth 25 is found to be missing
generically dependent continuant;missing tooth 26 finding;a missing tooth finding in which tooth 26 is found to be missing
generically dependent continuant;missing tooth 31 finding;a missing tooth finding in which tooth 31 is found to be missing
generically dependent continuant;missing tooth 29 finding;a missing tooth finding in which tooth 29 is found to be missing
generically dependent continuant;missing tooth 30 finding;a missing tooth finding in which tooth 30 is found to be missing
generically dependent continuant;missing tooth 23 finding;a missing tooth finding in which tooth 23 is found to be missing
generically dependent continuant;missing tooth 24 finding;a missing tooth finding in which tooth 24 is found to be missing
generically dependent continuant;missing tooth 22 finding;a missing tooth finding in which tooth 22 is found to be missing
generically dependent continuant;missing tooth 10 finding;a missing tooth finding in which tooth 10 is found to be missing
generically dependent continuant;missing tooth 16 finding;a missing tooth finding in which tooth 16 is found to be missing
process;titanium onlay restoration procedure;A metallic onlay restoration procedure that uses titanium to restore the tooth.
material entity;zinc phosphate cement dental restoration material;An acid-base cement dental restoration material containing zinc-oxide and magnesium oxide as a powder component with phosphoric acid as liquid component to complete the acid-base reaction.
generically dependent continuant;missing tooth 17 finding;a missing tooth finding in which tooth 17 is found to be missing
process;titanium inlay restoration procedure;A metallic inlay restoration procedure that uses titanium to restore the tooth.
material entity;zinc polycarboxylate cement dental restoration material;A acid-base cement dental restoration material containing zinc-oxide and magnesium oxide as a powder component with polyacrylic acid and water as liquid component to complete the acid-base reaction.
generically dependent continuant;missing tooth 13 finding;a missing tooth finding in which tooth 13 is found to be missing
process;predominantly base metal onlay restoration procedure;An onlay restoration procedure that uses predominantly base metal to restore the tooth.
generically dependent continuant;missing tooth 15 finding;a missing tooth finding in which tooth 15 is found to be missing
process;predominantly base metal inlay restoration procedure;An inlay restoration procedure that uses predominantly base metal to restore the tooth.
generically dependent continuant;missing tooth 20 finding;a missing tooth finding in which tooth 20 is found to be missing
process;prefabricated resin crown restoration procedure;
generically dependent continuant;missing tooth 21 finding;a missing tooth finding in which tooth 21 is found to be missing
generically dependent continuant;missing tooth 18 finding;a missing tooth finding in which tooth 18 is found to be missing
process;oral evaluation;A visual and tactile examination in which the clinician evaluates the status of the patient's oral cavity and related areas. An oral evaluation is performed as part of a dental exam. The examination may also include the results of tests, such as radiographs, pulp vitality, etc.
role;dental prosthesis support role;A dental restoration material role that is borne by a portion of dental restoration material in association with bulk restoration and is realized in a tooth restoration procedure in which the restoration material becomes part of a restored tooth.
generically dependent continuant;missing tooth 19 finding;a missing tooth finding in which tooth 19 is found to be missing
process;periodic oral evaluation;An oral evaluation performed on a patient of record (at an interval specified by the dentist) to determine any changes in the patient’s dental and medical health status since a previous evaluation. It includes an oral cancer evaluation and periodontal screening where indicated, and may require interpretation of information acquired through additional diagnostic procedures.
material entity;calcium hydroxide cement dental restoration material;A dental restoration material containing calcium hydroxide as a chief ingredient, suspended in a solvent carrier with a thickening agent.
generically dependent continuant;missing tooth 11 finding;a missing tooth finding in which tooth 11 is found to be missing
role;dental restoration material role;A material to be added role that is born by a portion of material and is realized during a process in which the material plays a role in restoring the tooth. Dental restoration material roles are realized in processes that restore teeth.
role;dental restoration material role;A material to be added role that is born by a portion of material and is realized during a process in which the material plays a role in restoring the tooth. Dental restoration material roles are realized in processes that restore teeth.
generically dependent continuant;missing tooth 12 finding;a missing tooth finding in which tooth 12 is found to be missing
process;high noble metal inlay restoration procedure;
role;dental patient role;A patient role that is realized by the process of being under the care of a dental health care provider.
role;tooth to undergo endodontic procedure role;A role that inheres in a tooth and is realized by an endodontic procedure performed on the tooth bearing the role.
material entity;health care provider;a Homo sapiens that bears a health care provider role
material entity;resin-modified glass ionomer dental restoration material;An acid-base cement dental restoration material with modification of glass ionomer cement with some monomer component and associated activator initiator system to facilitate light and chemically activated polymerization reaction.
generically dependent continuant;missing tooth 1 finding;a missing tooth finding in which tooth 1 is found to be missing
generically dependent continuant;missing tooth 5 finding;a missing tooth finding in which tooth 5 is found to be missing
material entity;orofacial pain dentist;a dentist that bears an orofacial pain dentist role
process;masticatory muscle activity;A bodily process that involves the masticatory muscles of the head and neck region.
generically dependent continuant;missing tooth 6 finding;a missing tooth finding in which tooth 6 is found to be missing
material entity;orthodontist;a dentist that bears an orthodontist role
generically dependent continuant;missing tooth 3 finding;a missing tooth finding in which tooth 3 is found to be missing
material entity;endodontist;a dentists that bears a endodontist role
generically dependent continuant;missing tooth 4 finding;a missing tooth finding in which tooth 4 is found to be missing
material entity;oral surgeon;a dentist that bears an oral surgeon role
generically dependent continuant;missing tooth 8 finding;a missing tooth finding in which tooth 8 is found to be missing
generically dependent continuant;missing tooth 9 finding;a missing tooth finding in which tooth 9 is found to be missing
material entity;restored tooth;A tooth that has been restored by using dental restoration material to replace decayed or missing parts of the tooth.
material entity;pediatric dentist;a dentist that bears a pediatric dentist role
generically dependent continuant;missing tooth 7 finding;a missing tooth finding in which tooth 7 is found to be missing
material entity;periodontist;a dentist that bears a periodontist role
material entity;registered nurse;a health care provider that bears a registered nurse role
generically dependent continuant;missing tooth 2 finding;a missing tooth finding in which tooth 2 is found to be missing
material entity;dental therapist;a dental health care provider that bears a dental therapist role
material entity;mineral trioxide aggregate cement dental restoration material;A dental restoration material that primarily consists of tricalcium silicate, dicalcium silicate (similar to Portland cement), calcium aluminate, gypsum, radiopacifiers and set by hydration of silicates in the presence of moisture.
material entity;female dental patient;A human dental patient that bears a female gender role.
material entity;nano filled resin-based composite dental restoration material;A resin-based composite dental restoration material that contains nanometer-sized filler particles (1 to 100 nm) throughout the resin matrix.
