class;term;comment
generically dependent continuant;OMB ethnic identity information content entity;An ethnic identity information content entity that uses OMB terminology for ethnicity or terminology that is strictly mapped onto the OMB ethnicity terms.
generically dependent continuant;OMB Hispanic or Latino identity information content entity;An OMB ethnic identity information content entity that is about some person's identifying as Hispanic or Latino, which are intended to mean being of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
generically dependent continuant;social identity information content entity;An information content entity that is intended to be a truthful statement about some person and whether that person identifies as some particular aspect of social identity—such as a gender, an ethnicity, a race, or a sexual orientation—where the sense of identifying may correspond to either (i) an aspect of one’s cognitive representation of oneself, (ii) how one prefers to be regarded by others within some social context, or (iii) how one chooses to present oneself to others within some social context.
generically dependent continuant;ethnic identity information content entity;A social identity information content entity that is about whether some person identifies as some ethnicity.
generically dependent continuant;OMB not Hispanic or Latino identity information content entity;An OMB ethnic identity information content entity that is about some person's identifying as neither Hispanic nor Latino, which are intended to mean being of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
generically dependent continuant;gender identity information content entity;A social identity information content entity that is about whether some person identifies as some gender.
role;role in human social processes;A role that inheres in some entity that is realized in a social act.
generically dependent continuant;preferred language information content entity;An information content entity that is about some person and some language, and that conveys the language with which that person prefers to communicate within some given context.
process;disclosure of preferred language;A communication in which some participant states a preference for some communicative process to be in a certain language, via some concretization of some preferred language information content entity.
generically dependent continuant;female gender identity information content entity;A gender identity information content entity that is about some person's identifying as female in gender.
generically dependent continuant;racial identity information content entity;A social identity information content entity that is about whether some person identifies as some race.
generically dependent continuant;OMB racial identity information content entity;A racial identity information content entity that uses OMB terminology and definitions for race or terminology that is strictly mapped onto the OMB race terms.
generically dependent continuant;male gender identity information content entity;A gender identity information content entity that is about some person's identifying as male in gender.
generically dependent continuant;non-binary identity information content entity;A gender identity information content entity that is about some person's identifying as non-binary in gender.
generically dependent continuant;OMB black or African American identity information content entity;An OMB racial identity information content entity that is about some person's identifying as black or African American which is intended to mean having origins in any of the black racial groups of Africa.
generically dependent continuant;OMB Native Hawaiian or other Pacific Islander identity information content entity;An OMB racial identity information content entity that is about some person's identifying as Native Hawaiian or other Pacific Islander, which is intended to mean having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.
generically dependent continuant;OMB American Indian or Alaska Native identity information content entity;An OMB racial identity information content entity that is about some person's identifying as American Indian or Alaska Native, which is intended to mean having origins in any of the original peoples of North and South America (including Central America), and maintains tribal affiliation or community attachment.
generically dependent continuant;OMB Asian identity information content entity;An OMB racial identity information content entity that is about some person's identifying as Asian, which is intended to mean having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent.
generically dependent continuant;OMB white identity information content entity;An OMB racial identity information content entity that is about some person's identifying as white which is intended to mean having origins in any of the original peoples of Europe, the Middle East, or North Africa.
generically dependent continuant;sexual orientation identity information content entity;A social identity information content entity that is about whether some person identifies as having some sexual orientation.
generically dependent continuant;residence ZIP code information content entity;An information content entity that is about some geographical region, in which a postal delivery route denoted by a particular ZIP code is realized, and that is the specified output of a disclosure of residence.
role;US Census unemployed role;A human social role that inheres in a human who is legally eligible to work, is conferred by the U.S. Census Bureau, and is realized by the bearer not working and either making active efforts to find employment in the four weeks prior to the reference week or waiting to be recalled from temporary layoff.
generically dependent continuant;electronic health record data set;A data set whose members are obtained from one or more electronic health records.
material entity;hospice facility;A health care facility that bears a function to provide healthcare to the sick or terminally ill
generically dependent continuant;health care claim data set;A data set whose members are the specified output of some process of adjudicating health care insurance claims (and whose inputs are at least partly some members of a health care billing data set).
process;ethnic identification process;
generically dependent continuant;debt obligation;A directive information entity that prescribes that something will be transferred from some human or organization that is the bearer of a duty holder role to another human or organization that is the bearer of a claimant role.
material entity;health care facility;
process;disclosure of residence;A social act that creates an information content entity that is about some geographical region in which a human being dwells.
generically dependent continuant;highest level of education is grades 1 through 6 data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is in the range of first through sixth grade.
generically dependent continuant;highest level of education is completion of graduate certificate or degree data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is completion of some graduate certificate or degree.
generically dependent continuant;highest level of education is completion of undergraduate degree data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is completion of some undergraduate degree.
generically dependent continuant;highest level of education is grades 10 through 12 data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is in the range of tenth (10th) through twelfth (12th) grade.
generically dependent continuant;highest level of education is grades 7 through 9 data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is in the range of seventh (7th) through ninth (9th) grade.
disposition;linguistic literacy competence;A disposition borne by a human being that (1) has a linguistic competence as a dispositional part and (2) if realized, is realized by the bearer's achievement of some personal goal.
generically dependent continuant;highest level of education is completion of pre-kindergarten data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is kindergarten.
generically dependent continuant;highest level of education is completion of kindergarten data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is pre-kindergarten.
generically dependent continuant;highest level of education is completion of vocaational education program data item;A highest level of education socio-economic data item that represents the fact that the highest level of education achieved by an individual in the United States is completion of some vocational education program.
role;caregiver role;A human social role that, if realized, is realized in providing assistance in the activities of daily living of another human being who possesses reduced capability to complete some of these activities alone.
generically dependent continuant;monetary personal income data item;A data item that is about the sum of earnings for some person(s) from various forms of payment or profits.
relational quality;family relationship;A relational quality that inheres within two or more persons related as members of a domestic group, or a number of domestic groups linked through descent from a common ancestor, marriage, or adoption.
process;linguistic concretization-interpretation process;A concretization-interpretation process in which the specifically dependent continuant is inferred to concretize the generically dependent continuant in a way that makes use of some language.
process;concretization-interpretation process;Process in which some participant infers that some particular specifically dependent continuant stands in the concretization relation to some particular generically dependent continuant.
process;linguistic concretization-utilization process;A concretization-utilization process in which the utilized specifically dependent continuant concretizes the generically dependent through use of some language.
process;concretization-utilization process;Process in which some participant utilizes some specifically dependent continuant as a concretization of some generically dependent continuant.
disposition;language;A disposition that (i) is an aggregate of linguistic competences, considered as forming a distinct group on the basis of perceived common characteristics, such as mutual intelligibility among their bearers, in addition to historical or cultural factors. (ii) if realized, is realized in any and all realizations of those linguistic competences. and (iii) inheres in a linguistic community.
process;communication;A process in which some participant shares some generically dependent continuant with some other participant. The former utilizes some specifically dependent continuant that concretizes the generically dependent continuant intended to be shared, while the latter interprets that specifically dependent continuant to concretize some particular generically dependent continuant, aiming to accurately infer the other participant’s intent.
disposition;linguistic competence;A disposition that inheres in some material entity and is such that that, if realized, it is realized by either some linguistic concretization-utilization process or some linguistic concretization-interpretation process.
process;cancer summary staging;A planned process of determining the extent to which a cancer disease has developed by growing and spreading throughout an organism.
generically dependent continuant;cancer summary staging code;An information content entity that is the specified output of cancer summary staging.
process;information content entity request about racial identity;an information content entity-request process in which some participant requests of some other participant an information content entity that indicates the racial identity of that other participant
process;admission process;A deontic document act in which a patient is registered with a health care provider for the purpose of receiving care in an inpatient encounter.
role;male gender role;A gender role borne by a human being that is realized in behaviour which is considered socially appropriate for individuals of the male sex in the context of the culture in question.
role;US physician assistant role;A human health care provider role that inheres in a human being that is created by state licensing and that is realized by taking patient histories, performing physical exams, diagnosing illnesses, developing treatment plans, ordering lab tests, prescribing medications, counselling and educating patients, suturing wounds, and assisting in surgery under the supervision of a physician or a surgeon.
role;female gender role;A gender role borne by a human being that is realized in behaviour which is considered socially appropriate for individuals of the female sex in the context of the culture in question.
role;party to a power of attorney;
role;gender role;A human social role borne by a human being being realized in behaviour which is considered socially appropriate for individuals of a specific sex in the context of a specific culture.
role;birth attendant role;A health care provider role that is realized in maintaining the health of a human being during their pregnancy and both them and the neonate during labor, delivery, and postpartum.
generically dependent continuant;linguistic competence information content entity;An information content entity that conveys that a particular person has a linguistic competence for a particular language
role;patient role;A role borne by an organism and that is realized by presenting to a health care provider in a clinical encounter.
process;religious gathering;A social act or aggregate of social acts that include some worship, prayer, or proselytizing.
role;health care provider role;A human health care role inhering in an organization or human being that is realized by a process of providing health care services to an organism.
generically dependent continuant;hospital bed capacity data item;A count of the number of patients that some hospital facility has the capacity for.
role;anesthesiologist role;A physician role that inheres a human being and, if it is realized, is realized either by administering medication for the temporary general or local suppression of sensory or motor nerve function during some health care encounter or by making decisions independently of a supervising physician regarding the adminstration of such medication.
generically dependent continuant;primary language information content entity;A linguistic competence information content entity that conveys the language is the one for which the person has their most proficient linguistic competence.
role;human health care role;A role in human social processes that is realized by health care processes such as seeking or providing treatment for disease and injury, diagnosing disease and injury, or undergoing diagnosis.
process;OMB racial identification process;
generically dependent continuant;language-at-home information content entity;A linguistic competence information content entity that conveys the person uses the language at home.
role;health care provider organization role;A role that inheres in an organization and that is realized by the providing of services in a health care encounter.
material entity;insurance company;An insurance organization that is privately owned and that participates in the creation of insurance policies in return for some money from the policy holder.
role;person health care provider role;
role;private insurance policy holder role;A policy holder role that inheres in a person who participates in the creation of an insurance policy with an insurance company.
role;physician role;A health care role borne by a human being and realized by promoting, maintaining or restoring human health through the study, diagnosis, and treatment of disease, injury and other physical and mental impairments.
process;identification process;
