class;term;comment
generically dependent continuant;trauma system participation direct incentive plan specification;A trauma system participation incentive plan specification that specifies the availability of funding the local, regional, state or national government for trauma centers joining a trauma system.
generically dependent continuant;practice-based learning course plan specification;A plan specification that specifies the content, methodology, and evaluation of a course that aims to teach students about a subject through the experience of solving an open-ended problem found in trigger material.
generically dependent continuant;trauma system participation indirect incentive plan specification;A trauma system participation incentive plan specification that specifies indirect incentives to motivate trauma centers to participate in a trauma system. Examples of such incentives are additional billing codes, remuneration for trauma team response, and availability of training opportunities.
material entity;collection of trauma surgeons with on call exclusivity;A collection of trauma surgeons who are members of the trauma service of an organization and are exclusively on call for that organization.
generically dependent continuant;practice-based learning trauma care course plan specification;A practice-based learning course plan specification that aims to improve the quality of patient outcomes in trauma medicine.
role;board eligible anesthesiologist role;An anesthesiologist role that is the outcome of fullfilling all obligations to be allowed to take a board certification exam in anesthesiology.
role;board certified anesthesiologist role;An emergency physician role that is the specified output of a board certification process and that, if realized is realized, is realized either by administering medication for the temporary general or local suppression of sensory or motor nerve function during some health care encounter or providing airway management or by making decisions independently of a supervising physician regarding the adminstration of such medication.
material entity;collection of trauma surgeons on a trauma service;A collection of humans that consists exclusively of trauma surgeons that are listed on the trauma on call plan specification.
material entity;collection of board certified anesthesiologists on trauma service;A collection of humans that consists only of bearers of a board certified anesthesiologist role.
material entity;collection of trauma surgeons on trauma service with practice-based learning course;A collection of humans that consists only of bearers of a trauma surgeon role that are mentioned in a trauma on call plan specification and that particpates in practice based training course organized by a trauma program.
generically dependent continuant;trauma system participation incentive plan specification;A plan specification that specifies resources that become available to trauma centers if they participate in a trauma system.
material entity;collection of board eligible trauma surgeons;A collection of trauma surgeons that fulfil all criteria to sit a board certification exam, but that either have not taken one or have failed.
role;registered nurse role;A nurse role that is the specified output of nursing licensing act as specified by a country, state, province or similar licensing body ensureing that the bearer of the role meets the requirements specified in their jursidiction to obtain a nursing license.
material entity;collection of board certified trauma surgeons;A collection of trauma surgeons that only has members which are board certified in trauma surgery.
generically dependent continuant;trauma program internal practice-based learning course certificate;An information content entity that is a specific output of a person participating in an internal trauma program course using a practice based learning approach and that certifies successful completion of the course.
role;trauma program leadership role;A role that is borne by a human being and that, if realized, is realized by its bearer providing direction to the a trauma program and coordinate the activities of the program as organizational members.
material entity;aggregate of centers for traumatic brain injuries;An aggregate of organizations that has bearers of a center for traumatic brain injuries role as parts.
generically dependent continuant;emergency medical services online medical direction guideline;A plan specification that specifies when members of emergency medical services agenies are required to try to set up direct conversation with other healthcare providers to give medical direction.
material entity;aggregate of spinal cord injury centers;An aggregate of organizations that has bearers of a spinal cord injury center role as parts.
material entity;aggregate of spinal cord injury rehabilitation organizations;An aggregate of organizations that has bearers of a spinal cord injury rehabilitation facility role as parts.
material entity;trauma center verification governmental agency;A governmental agency that evaluates healthcare provider organizations, which are candidates for acquiring a trauma center role, and reports as an outcome whether the organization is fit to be a trauma center.
generically dependent continuant;emergency medical services offline medical direction protocol;A plan specification that specifies how members of emergency medical services agenies are supposed to acquire medical direction, when direct communication with medical providers is not available.
role;traumatic brain injury rehabilitation organization role;A role borne by an organization and realized by providing specialized rehabilitation for patients with traumatic brain injuries.
material entity;aggregate of traumatic brain injury rehabilitation organizations;An aggregate of organizations that has bearers of a traumatic brain injury rehabilitation facility role as parts.
role;spinal cord injury center role;A role borne by a hospital and realized by providing specialized care for patients with spinal cord injuries.
role;spinal cord injury rehabilitation organization role;A role borne by an organization and realized by providing specialized rehabilitation for patients with spinal cord injuries.
process;drug screening;A planned process that results in a drug report about an individual.
role;board certified orthopedic surgeon role;An orthopedic surgeon role that is the specified output of a board certification process and that, if realized, is realized by its bearer using operative manual or instrumental techniques on the musculoskeletal system of a patient to investigate or treat a pathological condition such as disease or injury, to help improve bodily function or appearance or to repair unwanted ruptured areas.
generically dependent continuant;emergency department discharge date;A data item that specifies when an individual is released from the emergency department of a hospital.
material entity;collection of board eligible orthopedic surgeons on trauma service;A collection of orthopedic surgeons mentioned on the trauma on call plan specification that fulfil all criteria to sit a board certification exam, but that either have not taken one or have failed.
generically dependent continuant;homeless status;An information content entity that describes if an individual does not have a zip/postal code specifying their place of residence.
