class;term;comment
material entity;rBCG-SIVgag and rDIsSIVgag Prime-boost SHIV vaccine;
material entity;T. gondii recombinant vaccine vector rBCGpMV361-TgCyP;
material entity;S. pneumoniae pspA-rBCG Vector Vaccine;
material entity;meningococcal group A polysaccharide / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group W-135 / meningococcal polysaccharide vaccine group Y Injectable Solution [Menquadfi];
material entity;meningococcal group A polysaccharide / meningococcal group C polysaccharide / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y Injectable Solution [Mencevax Acwy];
material entity;meningococcal group A polysaccharide / meningococcal group C polysaccharide / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y Injectable Solution [Menveo];
material entity;Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injectable Solution [Mastaflu];
material entity;Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injectable Solution [Invivac];
material entity;meningococcal group A polysaccharide / meningococcal group C polysaccharide / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y Injectable Solution [Menactra];
material entity;meningococcal group A polysaccharide / meningococcal group C polysaccharide / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y Injectable Solution [ACWY Vax];
material entity;Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injectable Solution [Begrivac];
material entity;Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injectable Solution [Imuvac];
material entity;Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine Injectable Solution [Enzira];
material entity;Bordetella pertussis BPZE vectored vaccine;
