class;term;comment
process;least square regression;A regression analysis method that the overall solution minimizes the sum of the squares of the residuals made in the results of every single equation.
generically dependent continuant;highest uncertainty degree;
process;data collection from literature;A data collection process that results in a collection of data from the literature.
disposition;uncertainty;A disposition that inheres in some objects, which prevents accurate prediction or determination of the quality of a material entity. It is realized in objective process or subjective process.
generically dependent continuant;very high uncertainty level;
generically dependent continuant;intermediate certainty level;
generically dependent continuant;outlier;A data item that is numerically distant from the rest of the data. often indicative either measurement error or that the population has a high kurtosis.
generically dependent continuant;dependent variable;A statistical variable that represents the output or effect, or is tested to see if it is the effect in an experiment or a modeling.
object;subjective object;An object with subjective cognition.
process;uncertainty quantification;Representation of model output uncertainty using probability distributions.
generically dependent continuant;test statistic;A statistic measure that is a function of the samples and considered as a numberical summary of a data-set that reduces the data to one value that can be used to perform a hypothesis test. It can be used to test a finding for statistical signifiance
generically dependent continuant;continuous random variable;A random variable which can take an infinite number of possible values.
process;objective process;A process in which tangible substances or objects undergo movement or change in a way that can be observed and measured independently, regardless of subjective interpretations or perceptions. It is a concept often used in scientific and objective contexts to describe the physical changes and movements of matter in the external world.
generically dependent continuant;probability distribution;An information content entity that refers to a distribution of a random variable that can be described using a mathematical formula.
generically dependent continuant;independent variable;A statistical variable that is manipulated or controlled in a scientific study to test its effect on a dependent variable(s).
disposition;objective uncertainty;An uncertainty that inheres in an objective continuant.
generically dependent continuant;low uncertainty level;
generically dependent continuant;measurement scale;An information content entity that represents a type of scale on which a variable is measured, including nominal, ordinal, interval, ratio.
process;data collection by sampling;A data collection process that results in a collection of data from a sampling process.
disposition;subjective uncertainty;An uncertainty that inheres in an organism (in especial human) and results from subjective cognition.
generically dependent continuant;very low uncertainty level;
generically dependent continuant;mode;A data item that is the value that appears most frequent in a set of data. In a normal distribution the numerical value of the mode is the same as that of the mean and median.
generically dependent continuant;data collection design;A plan specification that provides a detailed outline of how data is collected.
process;uncertainty analysis;
generically dependent continuant;cohen's kappa measurement;A statistical measure of agreement for categorical data. a measure of inter-rater agreement or inter-annotator agreement.
generically dependent continuant;diagnostic validity;A validity that refers to the validity of a diagnosis, and associated diagnostic tests or screening tests in a clinical field such as medicine.
process;sensitivity analysis;Study of how the uncertainty in the output of a mathematical model or system (numerical or otherwise) can be divided and allocated to different sources of uncertainty in its inputs.Conducted to understand the factors and processes that most (or least) control a model’s outputs 
generically dependent continuant;weighted data;A derived data from inferential statistical analysis that is obtained by applying a weighting process to adjust the impact of cases for representing the population from which the data sample is drawn.
generically dependent continuant;discrete random variable;A random variable which may take on only a countable number of distinct values such as 0, 1, 2, 3, 4, ...
process;subjective process;A process refers to the mental processes involved in gaining knowledge and comprehension. Some of the many different cognitive processes include thinking, knowing, remembering, judging, and problem-solving.
generically dependent continuant;central tendency;A data item that represents a typical value of a set of values. This term relates to the way in which quantitative data tend to cluster around some value.
generically dependent continuant;numerical data item;A data item which consists of digits as opposed to letters of the alphabet of special characters
process;decision making;
generically dependent continuant;causal model;A statistical model that an abstract, quantitative model of the causal dependencies and other interrelationships among observed or hypothetical models. an ordered triple , where U is a set of exogenous variables whose values are determined by factors outside the model. V is a set of endogenous variables whose values are determined by factors within the model. and E is a set of structural equations that express the value of each endogenous variable as a function of the values of the other variables in U and V.
process;data collection by censoring;A data collection by sampling process that results in a collection of data generated from an censoring.
process;correlation statistical analysis;A measure of the linear association between two variables that are measured on ordinal, interval or ratio scales
disposition;proprietary uncertainty;Proprietary uncertainty occurs due to the fact that information and knowledge about an issue are not uniformly shared among all those who could potentially use it. That is, some people or groups have information that others don't and may assert ownership or control over it. "Proprietary uncertainty becomes most salient when it is necessary to reconcile the general needs for safety, health, and environment protection with more sectorial needs pertaining, for instance, to industrial production and process, or to licensing and control procedures" (De Marchi, 1994). De Marchi notes that 'whistle blowing' is another source of proprietary uncertainty in that there is a need for protection of those who act in sharing information for the public good. Proprietary uncertainty would typically be high when knowledge plays a key role in assessment, but is not widely shared among participants. An example of such would be the case of external safety of military nuclear production facilities.
process;intent-to-treat analysis;An inferential statistical data analysis that includes all randomized patients in the groups to which they were randomly assigned. The intent-to-treat analysis is based on the initial treatment assignment and not on the treatment eventually received. ITT analysis includes every subject who is randomized according to randomized treatment assignment. It ignores noncompliance, protocol deviations, withdrawal, and anything that happens after randomization.
disposition;situational uncertainty;Situational uncertainty relates to "the predicament of the person responsible for a crisis, either in the phase of preparation and planning, or of actual emergency. It refers to individual behaviours or personal interventions in crisis situations" (De Marchi, 1994) and as such represents a form of integration over the other six types of uncertainty. That is, it tends to combine the uncertainties one has to face in a given situation or on a particular issue. High situational uncertainty would be characterized by situations where individual decisions play a substantial role and there is uncertainty about the nature of those decisions.
process;statistical data analysis;A data transformation that has input of mulitple data and report overall trend of the data.
generically dependent continuant;transformed data matrix;A data item that consists of two or more data sets that are produced as the output of a data transformation.
process;log-rank test;A non-parametric test that compares the survival distributions of two samples, and iis appropriate to use when the data are right skewed and censored (technically, the censoring must be non-informative). It is widely used in clinical trials to establish the efficacy of a new treatment in comparison with a control treatment when the measurement is the time to event (such as the time from initial treatment to a heart attack).
disposition;uncertainty about gender role;
process;data collection;A planned process that gathers and measures information on variables of interest, in an established systematic fashion that enables one to answer stated research questions, test hypotheses, and evaluate outcomes. Data collection results in a collection of data.
generically dependent continuant;transformed data set;A data set that is produced as the output of a data transformation.
process;Pearson's chi-square test;A chi square test that is applied to sets of categorical data to evaluate how likely it is that any observed difference between the sets arose by chance. It is suitable for unpaired data from large samples. It is also the most widely used of many chi-squared tests.
disposition;uncertainty about long-term goal;
generically dependent continuant;data matrix;A data item that is more specifically a rectangular array of numbers, symbols, or expressions, arranged in rows and columns.
process;Kolmogorov–Smirnov test;A non-parametric test of the equality of continuous, one-dimensional probability distributions that can be used to compare a sample with a reference probability distribution (one-sample K–S test), or to compare two samples (two-sample K–S test). The distributions considered under the null hypothesis are continuous distributions but are otherwise unrestricted.
disposition;psychological uncertainty;A belief is psychologically certain when the subject who has it is supremely convinced of its truth. Certainty in this sense is similar to incorrigibility, which is the property a belief has of being such that the subject is incapable of giving it up. But psychological certainty is not the same thing as incorrigibility. A belief can be certain in this sense without being incorrigible. this may happen, for example, when the subject receives a very compelling bit of counterevidence to the (previously) certain belief and gives it up for that reason. Moreover, a belief can be incorrigible without being psychologically certain. For example, a mother may be incapable of giving up the belief that her son did not commit a gruesome murder, and yet, compatible with that inextinguishable belief, she may be tortured by doubt.
process;inferential statistical data analysis;A statistical data analysis that uses patterns in the sample data to draw inferences about the population represented, accounting for randomness.
process;Kolmogorov-Smirnov one sample test;A Kolmogorov-Smirnov test that compares a sample with a reference probability distribution.
disposition;identity uncertainty;
generically dependent continuant;normal distribution;A continuous probability distribution that has a symmetrical curve, whose position and shape is determined by its location and scale parameters, the mean and standard deviation respectively.
generically dependent continuant;random variable;A statistical variable whose value is subject to variations due to chance (i.e. randomness, in a mathematical sense).
