class;term;comment
process;log-rank test;The logrank test is a statistical hypothesis test used to compare the survival distributions of two or more groups. It is commonly employed in survival analysis, where the primary interest lies in comparing the survival experiences of different groups over time.
generically dependent continuant;likelihood ratio;the likelihood ratio is a ratio which is formed by dividing the post-test odds with the pre-test odds in the context of a Bayesian formulation
generically dependent continuant;2 step Fagan nomogram;Two-Step Fagan Nomogram, which adds two extra axis between the LR axis that represents sensibility and specificity to calculate negative and positive likelihood ratios in the same nomogram
generically dependent continuant;scaled t distribution;a scaled t distribution is a kind of Student's t distribution which is shifted by 'mean' and scaled by standard deviation 'sd'.
generically dependent continuant;Fagan nomogram;Fagan nomogram is a graph plotting pre-test probabilities, likelyhood ratios and post-test probabilities on 3 parallel axis. The plot was first proposed by Fagan in 1975 as a way to visualize Baye's Theorem data where P(D) is the probability that the patient has the disease before the test. P(D|T) is the probability that the patient has the disease after the test result. P(T|D) is the probability of the test result if the patient has the disease, and P(T|D̄) is the probability of the test result if the patient does not have the disease. With this terminology the usefulness of both positive and negative test results can be assessed. A line drawn from P(D) on the right through the ratio of P(T|D) to P(T|D̄) gives P(D|T) on the left of the nomogram.
generically dependent continuant;G matrix;A matrix of relationships among a group of individuals, which can be used to predict breeding values, to manage inbreeding and in genetic conservation. It can be calculated from the pedigree, but it is also possible to calculate the relationship matrix from genotypes at genetic markers such as single-nucleotide polymorphisms (SNPs). Elements of the genomic relationship matrix are estimates of the realized proportion of the genome that two individuals share, whereas the pedigree-derived relationship matrix is the expectation of this proportion.
generically dependent continuant;standard error of the difference between independent proportions;A measure of dispersion applied to differences between proportions arising from independent groups across hypothetical repeated random samples. A standard error is used to quantify the uncertainty around a statistical estimate due to random sampling error.
process;Yuen t-Test with trimmed means;The Yuen's t-test is a two sample t-test with populations of unequal variance which provides a more robust t-test procedure under normal distribution and long tailed distributions. The test computes a t statistics not using 'arithmetic means' but using 'trimmed means' instead as well as winsorized variances.
generically dependent continuant;denominator degrees of freedom;The degree of freedom denominator is the number of degrees of freedom that the estimate of variance used in the denominator is based on. It is one of the parameters for the F-distribution used to compute probabilities in analysis of variance.
generically dependent continuant;standard error of the difference between independent means;A measure of dispersion applied to differences between means of independent groups across hypothetical repeated random samples. A standard error is used to quantify the uncertainty around a statistical estimate due to random sampling error.
generically dependent continuant;unstructured covariance structure;A covariance structure where no restrictions are made on the covariance between any pair of measurements.
generically dependent continuant;numerator relationship matrix;the numerator relationship matrix is the matrix of *expected* additive genetic relationships between individuals. This matrix was originally used by Henderson (Henderson, C.R. 1976. A simple method for computing the inverse of a numerator relationship matrix used in prediction of breeding values. Biometrics 32:69-83.) to account for covariances between random effects, and therefore to use information from relatives in estimation of breeding value. Among the properties of the NRM matrix (also known as the A matrix), it is symmetric, the diagonal value correspond to 1+ the inbreeding coefficient for an individual.
generically dependent continuant;standard error of the proportion;A measure of dispersion applied to proportions across hypothetical repeated random samples. A standard error is used to quantify the uncertainty around a statistical estimate due to random sampling error.
generically dependent continuant;covariance matrix;a covariance matrix is a square matrix that contains the variances and covariances associated with several variables. The diagonal elements of the matrix contain the variances of the variables and the off-diagonal elements contain the covariances between all possible pairs of variables.
generically dependent continuant;population variance;the population variance is a variance of the true population from which a sample is derived. the population variance describes the variability of a characteristic in the population.
generically dependent continuant;Matthews correlation coefficient;Matthews Correlation Coefficient (or MCC) is a correlation coefficient which is a measure of the quality of binary (two-class) classifications, introduced by biochemist Brian W. Matthews in 1975.
generically dependent continuant;rate;A ratio in which the numerator represents any quantity and the denominator represents an interval of time.
generically dependent continuant;population mean;the population mean or distribution mean is a parameter of a probability distribution or population indicative of the data dispersion. For continous probabibility distribution, the population mean is computed using the probability density function, for discrete probability distributions, a mass density function is used instead. A population mean can be estimated by computing a sample mean
process;k-nearest neighbour data imputation;k-nearest neighbour imputation is a data imputation which uses the k-nearest neighbour algorithm to compute a substitution value for the missing values. For every observation to be imputed, it identifies ‘k’ closest observations based on the euclidean distance and computes the weighted average (weighted based on distance) of these ‘k’ obs.
process;sign test;The sign test is a non-parametric hypothesis test used to assess whether the median of a single population is equal to a specified value, typically referred to as the null hypothesis. The sign test is particularly useful when the data are not normally distributed or when the assumptions required for parametric tests are not met. Note that the 'sign test' is related but different from the "Wilcoxon signed rank test'. Sign test: It does not assume any specific distribution for the data. It only requires paired data and makes no assumptions about the shape of the underlying distribution. Wilcoxon signed-rank test: It assumes that the differences between paired observations come from a symmetric distribution. It's also more powerful than the sign test when the distribution is continuous and symmetric.
generically dependent continuant;sample mean;the sample mean of sample of size n with n observations is an arithmetic mean computed over n number of observations on a statistical sample. The sample mean, denoted x¯ and read “x-bar,” is simply the average of the n data points x1, x2, ..., xn: x¯=x1+x2+⋯+xnn=1n∑i=1nxi The sample mean summarizes the "location" or "center" of the data. the sample mean is a measure of dispersion of the observations made on the sample and provides an unbias estimate of the population mean
process;multivariate imputation with chained equations;multivariate imputation with chained equations (MICE) is a type of data imputation which uses an algorithm devised by Stef van Buuren and Karin Groothuis-Oudshoorn
generically dependent continuant;variance for sample;the sample variance is a variance computed over the actual observations made, which correspond to a sample drawn from a population in an experiment. the sample variance can be used to estimate the true variance of the underlying population/distribution.
