class;term;comment
generically dependent continuant;GenePix Pro 4.0;
generically dependent continuant;GeneRfold;Package manipulating sequences with fold routines
generically dependent continuant;GeneSelector;The term 'GeneSelector' refers to a filter selecting those genes which are consistently identified as differentially expressed using various statistical procedures. 'Selected' genes are those present at the top of the list in various featured ranking methods (currently 15). In addition, the stability of the findings can be taken in account in the final ranking by examining perturbed versions of the original data set, e.g. by leaving samples, swapping class labels, generating bootstrap replicates or adding noise.
generically dependent continuant;GeneSelectMMD;Gene selection based on a mixture of marginal distributions
generically dependent continuant;GeneSpringGX;
generically dependent continuant;GeneSpring;Set of functions and class definitions to be able to read and write GeneSpring specific data objects and covert them to BioConductor objects
generically dependent continuant;GeneTraffic;Set of functions and class definitions to be able to read GeneTraffic specific data from a project summary zip file and covert them to BioConductor objects (for 1 color projects affy's ExpressionSet, for 2 color projects marray's marrayRaw)
generically dependent continuant;GeneTac Analyser;Genetic Analyzer is a multi-color fluorescence-based DNA analysis system with 16 capillaries operating in parallel, offers high-quality data and efficient sample processing
generically dependent continuant;COBRA;COBRA (COnstraint-Based Reconstruction and Analysis Toolbox) includes implementations of many of the commonly used forms of constraint-based analysis such as FBA, gene deletions, flux variability analysis, sampling, and batch simulations together with tools to read in and manipulate constraint-based models.
material entity;software developer organization;An organization or legal entity (including single person) that is responsible for developing software. Developing includes aspects of design, coding and testing.
generically dependent continuant;VCell;VCell is a complete model building, editing and simulation environment. Includes spatial modeling capabilites, deterministic, stochastic, and hybrid algorithms. Parameter sensitivity analysis and parameter optimization. Desktop application and web-based environment. Bio- and math-based interfaces. Database and model sharing/publishing.
generically dependent continuant;COBRA Toolbox;COBRA Toolbox is the version of the COBRA software for Matlab.
generically dependent continuant;50-50 MANOVA algorithm;Classical multivariate analysis-of-variance tests perform poorly in cases with several highly correlated responses and the tests collapse when the number of responses exceeds the number of observations. This paper presents a new method which handles this problem. The dimensionality of the data is reduced by using principal component decompositions and the final tests are still based on the classical test statistics and their distributions. The methodology is illustrated with an example from the production of sausages with responses from near infrared reflectance spectroscopy. A closely related method for testing relationships in uniresponse regression with collinear explanatory variables is also presented. The new test, which is called the 50-50 F-test, uses the first k components to calculate SSMODEL. The next d components are not involved in SSERROR and they are called buffer components.
generically dependent continuant;COBRApy;COBRA Toolbox is the version of the COBRA software for Python.
material entity;software publisher organization;An organization or legal entity (including single person) that is responsible for publishing software. Publishing here includes tasks such as designing and producing physical products, technical customer support, licensing arrangements and marketing.
generically dependent continuant;libSBML;LibSBML is a free, open-source programming library to help you read, write, manipulate, translate, and validate SBML files and data streams. It provides interfaces for C, C++, C#(.NET), Java, MATLAB, Octave, Perl, Python R and Ruby. LibSBML is available for free under LGPL terms in both source-code form and precompiled binaries for Windows, Mac OS X, and Linux.
generically dependent continuant;GNU Octave;GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems, and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable.
generically dependent continuant;ARR;
generically dependent continuant;AWS algorithm;
generically dependent continuant;SSPA;Sample size and power analysis for microarray data, where two groups are analysed.
generically dependent continuant;Absolute Expression Analysis;
generically dependent continuant;Absolute Expression Analysis;
role;software developer role;Software developer role is a role borne by an organization or individual in which they are responsible for authoring software.
