class;term;comment
quality;information carrier;A quality of an information bearer that imparts the information content
generically dependent continuant;model number;A model number is an information content entity specifically borne by catalogs, design specifications, advertising materials, inventory systems and similar that is about manufactured objects of the same class. The model number is an alternative term for the class. The manufactered objects may or may not also bear the model number. Model numbers can be encoded in a variety of other information objects, such as bar codes, numerals, or patterns of dots.
generically dependent continuant;software;Software is a plan specification composed of a series of instructions that can be interpreted by or directly executed by a processing unit.
generically dependent continuant;serial number;A serial number is an information content entity which is a unique sequence of characters borne by part of manufactured product or its packaging that is assigned to each individual in some class of products, and so can serve as a way to identify an individual product within the class. Serial numbers can be encoded in a variety of other information objects, such as bar codes, numerals, or patterns of dots.
generically dependent continuant;lot number;A lot number is an information content entity which is an identical sequence of character borne by part of manufactured product or its packaging for each instances of a product class in a discrete batch of an item. Lot numbers are usually assigned to each separate production run of an item. Manufacturing as a lot might be due to a variety of reasons, for example, a single process during which many individuals are made from the same portion of source material. Lot numbers can be encoded in a pattern of other information objects, such as bar codes, numerals, or patterns of dots.
generically dependent continuant;journal article;A report that is published in a journal.
generically dependent continuant;action specification;A directive information entity that describes an action the bearer will take.
generically dependent continuant;version number;A version number is an information content entity which is a sequence of characters borne by part of each of a class of manufactured products or its packaging and indicates its order within a set of other products having the same name.
generically dependent continuant;datum label;A label is a symbol that is part of some other datum and is used to either partially define the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label
generically dependent continuant;measurement unit label;A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure.
generically dependent continuant;objective specification;A directive information entity that describes an intended process endpoint. When part of a plan specification the concretization is realized in a planned process in which the bearer tries to effect the world so that the process endpoint is achieved.
generically dependent continuant;narrative object;A narrative object is an information content entity that is a set of propositions.
generically dependent continuant;conditional specification;A directive information entity that specifies what should happen if the trigger condition is fulfilled.
generically dependent continuant;software library;A software library is software composed of a collection of software modules and/or software methods in a form that can be statically or dynamically linked to some software application.
generically dependent continuant;software application;A software application is software that can be directly executed by some processing unit.
generically dependent continuant;software script;A software script is software whose instructions can be executed using a software interpreter.
generically dependent continuant;written name;A textual entity that denotes a particular in reality.
generically dependent continuant;software method;A software method (also called subroutine, subprogram, procedure, method, function, or routine) is software designed to execute a specific task.
generically dependent continuant;software module;A software module is software composed of a collection of software methods.
generically dependent continuant;measurement datum;A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device.
generically dependent continuant;data about an ontology part;Data about an ontology part is a data item about a part of an ontology, for example a term
generically dependent continuant;plan specification;A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified.
generically dependent continuant;obsolescence reason specification;The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.
generically dependent continuant;time stamped measurement datum;
