class;term;comment
material entity;cook, all other;All cooks not listed separately.
material entity;miscellaneous installation, maintenance, or repair worker;
material entity;aerospace engineering or operations technologist or technician;Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.
material entity;insulation worker;
material entity;health informatics specialist;Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.
material entity;computer systems analyst;Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.
material entity;service unit operator, oil or ga;Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells. Includes fishing-tool technicians.
material entity;extruding, forming, pressing, or compacting machine setter, operator, or tender;Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.
material entity;boilermaker (broad);
material entity;adult basic education, adult secondary education, or english as a second language instructor (broad);
material entity;industrial engineer;Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.
material entity;human factors engineer or ergonomist;Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.
material entity;library assistant, clerical (broad);
material entity;barber;Provide barbering services, such as cutting, trimming, shampooing, and styling hair. trimming beards. or giving shaves.
material entity;correctional officer or jailer;Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.
material entity;welding, soldering, or brazing machine setter, operator, or tender;Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines.
material entity;validation engineer;Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.
material entity;manufacturing engineer;Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.
material entity;environmental science or protection technician, including health;Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.
