class;term;comment
process;data citation;Offers proper recognition to authors as well as permanent identification through the use of global persistent identifiers in place of URLs which can change frequently.
generically dependent continuant;data linkage;The process of bringing together from two or more different sources, data that relate to the same individual, family, place or event).
process;data repository management;A type of data management using repositories. It is the set of policies that govern the organization, control, and properties of the repository such as: required file formats, access control restrictions, integrity, replication, retention, disposition, etc.
independent continuant;book;
process;funding acquisition management;The consideration of available monetary resources for a specific time period to serve a specific purpose.
generically dependent continuant;analytics;The discovery of meaningful multidimensional patterns in data.
generically dependent continuant;catalogue;A type of collection that describes, and points to features of another collection.
generically dependent continuant;darwin information typing architecture;A document creation and management specification that builds content reuse into the authoring process.
generically dependent continuant;unstructured data;Data that have not been organized into a format and identifiable data structure that makes them easy to access and process. These data can often be searched as long as they are digital, but they are difficult to use for computer analyses.
process;skills related to storage management;Bin for Skills needed for Storage management.
generically dependent continuant;pid resolution;The process of resolving a PID to a useful state of information about a digital object by using a globally available system.
generically dependent continuant;record provenance information;Information for a data object that includes: * the person who deposited the data object in the repository, * the source of the data object, * the date when the object was deposited, and * authenticity information needed to link the data object to its original source.
process;creating persistent identifiers;
process;metadata search via metadata providers;To be able to identify and process metadata over the internet, sourced from a variety of metadata providers and schemata.
independent continuant;presentation slides with interactive exercises;
process;innovation;In the context of a researcher's activities, innovation is the development of modified or novel approaches, theories, concepts, ideas or solutions. Innovation is one of four valued outcomes.
generically dependent continuant;data structure continuum;The continuum of data structure that includes unstructured data, semi-structured data, and structured data.
realizable entity;intellectual leadership;The capacity to influence stakeholders and the direction of research activities. the ability to shape others' understanding in ways that capture interest, inform and gain support. and, the capacity to influence the actions and opinions of others.
generically dependent continuant;machine access via api;To be able to use programmatic methods to access a resource's API to query and extract an appropriate subset of data.
realizable entity;data stewardship soft skill;The personal attributes necessary to perform a task.
generically dependent continuant;provenance;A type of historical information or metadata about the origin, location or the source of something, or the history of the ownership or location of an object or resource including digital objects. For example, information about the Principal Investigator who recorded the data, and the information concerning its storage, handling, and migration.
process;high performance computing management;High-performance computing (HPC) is a process for using of super computers and parallel processing techniques for solving complex computational problems. HPC technology focuses on developing parallel processing algorithms and systems by incorporating both administration and parallel computational techniques.
process;archival documentation of data;Ability to apply the FAIR principles i.e. describe the data with community metadata standard for machine and human, align with existing semantic models (ontologies, controlled vocabularies, ...), get a persistent ID, attribute licence and credit for data creators, legal aspect related to data (ownership, confidentiality, ethics, ...) add data provenance.
process;managing research;In the context of a researcher’s activities, Managing research is the processes related to the planning, organizing, setting objectives, controlling and evaluating of RDA activities and their associated human and financial resources. It includes the provision of leadership to, and assessment of, other scientists, engineers, technologists, and/or other staff. Managing research is one of the three research contexts in which a researcher is expected to conduct his/her activities. Managing research is distinct from the position-based role of a research manager.
generically dependent continuant;F3. metadata clearly and explicitly include the identifier of the data they describe;
generically dependent continuant;digital object identifier;A name (not a location) for an entity on digital networks. It provides a system for persistent and actionable identification and interoperable exchange of managed information on digital networks. A DOI is a type of Persistent Identifier (PID) issued by the International DOI Foundation. This permanent identifier is associated with a digital object that permits it to be referenced reliably even if its location and metadata undergo change over time.
generically dependent continuant;accession number;Numbers used by the National Center for Biotechnology Information (NCBI) that are unique and citable.
role;information management specialist;A person who is expert in one or more of the information management disciplines that support the effective and efficient management of information.
