class;term;comment
generically dependent continuant;recessive mutant phenotype evidence used in manual assertion;A type of mutant phenotype evidence that is used in a manual assertion based on the analysis of a mutation which, in diploid organisms, must be present in both alleles for a phenotype to manifest itself.
generically dependent continuant;bait-prey hybrid interaction evidence used in automatic assertion;A type of bait-prey hybrid interaction evidence that is used in an automatic assertion.
generically dependent continuant;recessive mutant phenotype evidence;A type of mutant phenotype evidence based on the analysis of a mutation which, in diploid organisms, must be present in both alleles for a phenotype to manifest itself.
generically dependent continuant;mammalian 2-hybrid assay evidence used in automatic assertion;A type of mammalian 2-hybrid assay evidence that is used in an automatic assertion.
generically dependent continuant;macroscopy evidence used in automatic assertion;A type of macroscopy evidence that is used in an automatic assertion.
generically dependent continuant;luminescence-based mammalian interactome mapping assay evidence used in automatic assertion;A type of luminescence-based mammalian interactome mapping assay evidence that is used in an automatic assertion.
generically dependent continuant;lipid binding assay evidence used in automatic assertion;A type of lipid binding assay evidence that is used in an automatic assertion.
generically dependent continuant;genetic transformation evidence used in automatic assertion;A type of genetic transformation evidence that is used in an automatic assertion.
generically dependent continuant;in vivo ubiquitination assay evidence used in automatic assertion;A type of in vivo ubiquitination assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo translation assay evidence used in automatic assertion;A type of in vivo translation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo transcription assay evidence used in automatic assertion;A type of in vivo transcription assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo sumoylation assay evidence used in automatic assertion;A type of in vivo sumoylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo protein kinase assay evidence used in automatic assertion;A type of in vivo protein kinase assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo phosphatase assay evidence used in automatic assertion;A type of in vivo phosphatase assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo palmitoylation assay evidence used in automatic assertion;A type of in vivo palmitoylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo methylation assay evidence used in automatic assertion;A type of in vivo methylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo farnesylation assay evidence used in automatic assertion;A type of in vivo farnesylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo deubiquitination assay evidence used in automatic assertion;A type of in vivo deubiquitination assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo desumoylation assay evidence used in automatic assertion;A type of in vivo desumoylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo demethylation assay evidence used in automatic assertion;A type of in vivo demethylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo defarnesylation assay evidence used in automatic assertion;A type of in vivo defarnesylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo deacetylation assay evidence used in automatic assertion;A type of in vivo deacetylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo cleavage assay evidence used in automatic assertion;A type of in vivo cleavage assay evidence that is used in an automatic assertion.
generically dependent continuant;in vivo acetylation assay evidence used in automatic assertion;A type of in vivo acetylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro ubiquitination assay evidence used in automatic assertion;A type of in vitro ubiquitination assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro translation assay evidence used in automatic assertion;A type of in vitro translation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro transcription assay evidence used in automatic assertion;A type of in vitro transcription assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro sumoylation assay evidence used in automatic assertion;A type of in vitro sumoylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro protein kinase assay evidence used in automatic assertion;A type of in vitro protein kinase assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro polyADP-ribosylation assay evidence used in automatic assertion;A type of in vitro polyADP-ribosylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro phosphatase assay evidence used in automatic assertion;A type of in vitro phosphatase assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro palmitoylation assay evidence used in automatic assertion;A type of in vitro palmitoylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro methylation assay evidence used in automatic assertion;A type of in vitro methylation assay evidence that is used in an automatic assertion.
generically dependent continuant;in vitro farnesylation assay evidence used in automatic assertion;A type of in vitro farnesylation assay evidence that is used in an automatic assertion.
generically dependent continuant;density functional theory simulation evidence used in manual assertion;A type of density functional theory simulation evidence that is used in manual assertion.
generically dependent continuant;in vivo polyADP-ribosylation assay evidence used in automatic assertion;A type of in vivo polyADP-ribosylation assay evidence that is used in an automatic assertion.
generically dependent continuant;density functional theory simulation evidence;A type of quantum mechanics simulation evidence that results from the calculation of ground-state electronic structure of atoms, molecules and solid state materials.
generically dependent continuant;reverse transcription polymerase chain reaction evidence used in automatic assertion;A type of reverse transcription polymerase chain reaction evidence that is used in an automatic assertion.
generically dependent continuant;quantum mechanics simulation evidence used in manual assertion;A type of quantum mechanics simulation evidence that is used in manual assertion.
generically dependent continuant;electrophoretic mobility shift assay evidence used in automatic assertion;A type of electrophoretic mobility shift assay evidence that is used in an automatic assertion.
generically dependent continuant;quantum mechanics simulation evidence used in automatic assertion;A type of quantum mechanics simulation evidence that is used in an automatic assertion.
generically dependent continuant;ectopic expression evidence used in automatic assertion;A type of ectopic expression evidence that is used in an automatic assertion.
generically dependent continuant;quantum mechanics simulation evidence;A type of computational evidence where the behavior of matter and light on the atomic and subatomic scale is described.
generically dependent continuant;high-performance liquid chromatography evidence used in automatic assertion;A type of high-performance liquid chromatography evidence that is used in an automatic assertion.
generically dependent continuant;molecular mechanics simulation evidence used in manual assertion;A type of molecular mechanics simulation evidence that is used in manual assertion.
generically dependent continuant;resonant mirror biosensor evidence used in automatic assertion;A type of resonant mirror biosensor evidence that is used in an automatic assertion.
generically dependent continuant;restriction landmark genomic scanning evidence used in automatic assertion;A type of restriction landmark genomic scanning evidence that is used in an automatic assertion.
generically dependent continuant;molecular mechanics simulation evidence used in automatic assertion;A type of molecular mechanics simulation evidence that is used in an automatic assertion.
generically dependent continuant;molecular mechanics simulation evidence;A type of computational evidence where the energy of a molecular system is predicted as a function of its conformation.
generically dependent continuant;surface plasmon resonance evidence used in automatic assertion;A type of surface plasmon resonance evidence that is used in an automatic assertion.
generically dependent continuant;quantum mechanics/molecular mechanics simulation evidence used in manual assertion;A type of quantum mechanics/molecular mechanics simulation evidence that is used in manual assertion.
generically dependent continuant;enzymatic activity assay evidence used in automatic assertion;A type of enzyme assay evidence that is used in an automatic assertion.
generically dependent continuant;quantum mechanics/molecular mechanics simulation evidence used in automatic assertion;A type of quantum mechanics/molecular mechanics simulation evidence that is used in an automatic assertion.
generically dependent continuant;TACE activity assay evidence used in automatic assertion;A type of TACE activity assay evidence that is used in an automatic assertion.
generically dependent continuant;quantum mechanics/molecular mechanics simulation evidence;A type of computational evidence where the active site of the molecular system is described with highly accurate quantum theory, while the contribution of the rest of the system is described with molecular mechanical force field.
generically dependent continuant;tissue microarray evidence used in automatic assertion;A type of tissue microarray evidence that is used in an automatic assertion.
generically dependent continuant;transgenic organism evidence used in automatic assertion;A type of transgenic organism evidence that is used in an automatic assertion.
generically dependent continuant;tryptic phosphopeptide mapping assay evidence used in automatic assertion;A type of tryptic phosphopeptide mapping assay evidence that is used in an automatic assertion.
generically dependent continuant;terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence used in automatic assertion;A type of terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence that is used in an automatic assertion.
generically dependent continuant;urine test evidence used in automatic assertion;A type of urine test evidence that is used in an automatic assertion.
generically dependent continuant;WST-1 assay evidence used in automatic assertion;A type of WST-1 assay evidence that is used in an automatic assertion.
generically dependent continuant;xenotransplantation phenotypic evidence used in automatic assertion;A type of xenotransplantation phenotypic evidence that is used in an automatic assertion.
generically dependent continuant;syngeneic transplantation experiment evidence used in automatic assertion;A type of syngeneic transplantation experiment evidence that is used in an automatic assertion.
generically dependent continuant;spectrophotometry evidence used in automatic assertion;A type of spectrophotometry evidence that is used in an automatic assertion.
generically dependent continuant;restriction fragment detection evidence used in automatic assertion;A type of restriction fragment detection evidence that is used in an automatic assertion.
generically dependent continuant;radioimmunoassay evidence used in automatic assertion;A type of radioimmunoassay evidence that is used in an automatic assertion.
generically dependent continuant;radioisotope assay evidence used in automatic assertion;A type of radioisotope assay evidence that is used in an automatic assertion.
generically dependent continuant;quantitative mass spectrometry evidence used in automatic assertion;A type of quantitative mass spectrometry evidence that is used in an automatic assertion.
generically dependent continuant;protein sequencing assay evidence used in automatic assertion;A type of protein sequencing assay evidence that is used in an automatic assertion.
generically dependent continuant;protein microarray evidence used in automatic assertion;A type of protein microarray evidence that is used in an automatic assertion.
generically dependent continuant;protein dot blot assay evidence used in automatic assertion;A type of protein dot blot assay evidence that is used in an automatic assertion.
generically dependent continuant;fluorescence evidence used in automatic assertion;A type of fluorescence evidence that is used in an automatic assertion.
generically dependent continuant;propidium iodide staining evidence used in automatic assertion;A type of propidium iodide staining evidence that is used in an automatic assertion.
generically dependent continuant;point mutation phenotypic evidence used in automatic assertion;A type of point mutation phenotypic evidence that is used in an automatic assertion.
generically dependent continuant;physical examination evidence used in automatic assertion;A type of physical examination evidence that is used in an automatic assertion.
generically dependent continuant;peptide array evidence used in automatic assertion;A type of peptide array evidence that is used in an automatic assertion.
generically dependent continuant;peptide affinity enrichment evidence used in automatic assertion;A type of peptide affinity enrichment evidence that is used in an automatic assertion.
generically dependent continuant;phosphoamino acid analysis evidence used in automatic assertion;A type of phosphoamino acid analysis evidence that is used in an automatic assertion.
generically dependent continuant;phage display evidence used in automatic assertion;A type of phage display evidence that is used in an automatic assertion.
generically dependent continuant;nuclear fragmentation evidence used in automatic assertion;A type of nuclear fragmentation evidence that is used in an automatic assertion.
generically dependent continuant;nuclear magnetic resonance evidence used in automatic assertion;A type of nuclear magnetic resonance evidence that is used in an automatic assertion.
generically dependent continuant;natural variation mutant evidence used in automatic assertion;A type of natural variation mutant evidence that is used in an automatic assertion.
generically dependent continuant;multiplex bead-based immunoassay evidence used in automatic assertion;A type of multiplex bead-based immunoassay evidence that is used in an automatic assertion.
generically dependent continuant;MTT assay evidence used in automatic assertion;A type of MTT assay evidence that is used in an automatic assertion.
generically dependent continuant;MTS assay evidence used in automatic assertion;A type of MTS assay evidence that is used in an automatic assertion.
generically dependent continuant;motility wound healing assay evidence used in automatic assertion;A type of motility wound healing assay evidence that is used in an automatic assertion.
generically dependent continuant;microscopy evidence used in automatic assertion;A type of microscopy evidence that is used in an automatic assertion.
generically dependent continuant;medical imaging evidence used in automatic assertion;A type of medical imaging evidence that is used in an automatic assertion.
generically dependent continuant;mass spectrometry evidence used in automatic assertion;A type of mass spectrometry evidence that is used in an automatic assertion.
generically dependent continuant;cryogenic electron microscopy-based structural model with missing residue coordinates;A type of cryogenic electron microscopy evidence in which a structural model is built lacking coordinates for some residues indicating high flexibility or structural disorder in that area of the molecule.
generically dependent continuant;copper transport assay evidence used in manual assertion;A type of copper transport assay evidence that is used in a manual assertion.
generically dependent continuant;X-ray crystallography-based structural model with high relative B-factor values;A type of X-ray cystallography evidence in which a structural model is built that contains high relative B-factor values indicating flexibility in that area of the molecule.
generically dependent continuant;copper transport assay evidence;A type of transport assay evidence where the rate of copper transport is estimated.
generically dependent continuant;X-ray crystallography-based structural model with missing residue coordinates;A type of X-ray cystallography evidence in which a structural model is built lacking coordinates for some residues indicating high flexibility or structural disorder in that area of the molecule.
generically dependent continuant;neutralization test assay evidence used in manual assertion;A type of neutralization test assay evidence that is used in a manual assertion.
generically dependent continuant;combinatorial experimental and author inference evidence contained in single publication;A type of combinatorial experimental and author inference evidence where the experimental results and author inference are contained in a single publication.
generically dependent continuant;neutralization test assay evidence;A type of immunogical assay evidence that results in detection of specific neutralizing antibodies in a sample.
generically dependent continuant;author inference;A type of inferential evidence where an assertion is derived by the authors of a scientific publication from another assertion and/or primary data via logical inference or other rational means.
generically dependent continuant;compement fixation assay evidence used in manual assertion;A type of compement fixation assay evidence that is used in a manual assertion.
generically dependent continuant;small-angle neutron scattering evidence;A type of particle scattering evidence derived from determining the properties of particles in a solution such as size, shape, structure, molecular weight and structural transitions by irradiating the sample with a beam of thermal neutrons and the scattered intensity is probed at small angles (typically in the range of 0.1-10 degrees) by a detector.
generically dependent continuant;compement fixation assay evidence;A type of immunological assay evidence that results in the detection of presence of specific antibodies in the patient's serum based on the use of complement, a biologically labile serum factor.
generically dependent continuant;particle scattering evidence;A type of structure determination evidence derived from determining the properties of particles in a solution such as size, shape, structure, molecular weight, diffusion and interaction strength by irradiating the sample with a particle beam and the scattered intensity is probed at a certain angle by a detector.
generically dependent continuant;viral hemagglutination inhibition assay evidence used in manual assertion;A type of viral hemagglutination inhibition assay evidence that is used in a manual assertion.
generically dependent continuant;small-angle X-ray scattering evidence;A type of light scattering evidence derived from determining the properties of particles in a solution such as size, shape, structure, molecular weight and structural transitions by irradiating the sample with an X-ray beam and the scattered intensity is probed at small angles (typically in the range of 0.1-10 degrees) by a detector.
generically dependent continuant;cryogenic electron microscopy evidence;A type of electron microscopy evidence where the sample being studied has been cooled to cryogenic temperatures (typically below -153 degrees Celsius) prior to the experiment.
generically dependent continuant;near-UV circular dichroism evidence;A type of circular dichroism evidence whose spectrum is in the range of 250-350 nm , providing information mainly about aromatic residues, i.e. phenylalanine, tyrosine and tryptophan, through which it provides information on the tertiary structure of a protein.
generically dependent continuant;viral hemagglutination inhibition assay evidence;A type of agglutination test evidence where antiviral antibodies in a patient's serum or in a lab-produced antiserum neutralize the virus and block it from agglutinating the red blood cells.
generically dependent continuant;direct hemagglutination assay evidence used in manual assertion;A type of direct hemagglutination assay evidence that is used in a manual assertion.
generically dependent continuant;direct hemagglutination assay evidence;A type of agglutination test evidence where some bacteria and viruses cross-link red blood cells and clump together.
generically dependent continuant;far-UV circular dichroism evidence;A type of circular dichroism evidence whose spectrum is in the range of 190-230 nm, providing information mainly about amide bonds and through which the relative proportion of secondary structure elements of a protein can be estimated.
generically dependent continuant;indirect Coombs test evidence used in manual assertion;A type of indirect Coombs test evidence that is used in a manual assertion.
