class;term;comment
generically dependent continuant;quality assesment report;A report that represent the process of data collection and analysis through which the degree of conformity to predetermined standards and criteria are exemplified
generically dependent continuant;software version number;Information about software includes information on software version number.
process;sample derivative from specimen creation process;A material processing that has as its input a specimen and as its output a sample derivative.
generically dependent continuant;software parameter value;Information about software includes information on software parameter value.
material entity;library construction kit;An assay kit processed material that include a set of articles or equipment needed for library construction
generically dependent continuant;bed graph format;A file format which represent a data format allows display of continuous-valued data in track format
process;BWA assembly process;Bioinformatics analysis which performs gapped alignment for single-end reads, supports paired-end mapping, generates mapping quality, and gives multiple hits if required
generically dependent continuant;bioinformatics software name;Information about software includes software name
generically dependent continuant;bed format;A file format which represent represent format provides a flexible way to define the data lines that are displayed in an annotation track
generically dependent continuant;software description;Information about software includes software description.
generically dependent continuant;software Documentation URI;Information about software includes software documentation URI
generically dependent continuant;compressed file;A data item that represent sort of archive that contains one or more files that have been reduced in size through file compression process
generically dependent continuant;bioinformatics software parameter name;Information about software includes information on software parameter name.
generically dependent continuant;bioinformatics analysis execution date;A time measurement datum of the bioinformatics analysis execution date.
generically dependent continuant;assay execution note;A document part of relevant notes or instructions regarding data generation assay execution
generically dependent continuant;software run identifier;An identifier which denotes the bioinformatics analysis ID.
generically dependent continuant;data file description;A description of the file that contain raw data generated by a measurement device.
generically dependent continuant;axt file format;A file format which represent alignment files are produced from Blastz, an alignment tool available from Webb Miller's lab at Penn State University. The axtNet and axtChain alignments are produced by processing the alignment files with additional utilities written by Jim Kent at UCSC
process;genetic variantion analysis;A bioinformatics analysis which analyse a genetic variation, for example to annotate its location, alleles, classification, and effects on individual transcripts predicted for a gene model.
generically dependent continuant;bioinformatics analysis software;A software designed to extract meaningful information from the mass of molecular biology data
process;validation of known variant assay;An assay which represent the process of targeting detected known disease causing genetic variant for validation purposes
generically dependent continuant;data storage datum;A data item that represent information on data storage.
process;allele specific PCR;A validation of known variant assay which permits the direct detection of any point mutation in human DNA by analyzing the PCR products in an ethidium bromide-stained agarose or polyacrylamide gel
generically dependent continuant;BAM format;A file format which represent binary format for storing sequence data.
material entity;DNA processed specimen;A processed specimen which is the output of preparing a DNA sample for further analysis.
generically dependent continuant;SIFT score impact;Data item which represents a normalized probability of observing the new amino acid at that position and ranges from 0 to 1.
generically dependent continuant;paraffin embedding and Fixation quality check report;required quality check list for the procedure of paraffin embedding and/or fixation.
generically dependent continuant;copy number variation;A molecular quality that represent the number of copies of a particular gene varies from one individual to the next (germline mutation)
generically dependent continuant;clinical variant interpretation;A data item representing a variant’s significance in relation to a disease or phenotype.
generically dependent continuant;variant of unknown significance;A clinical variant interpretation that represents a sequence variant that is previously unreported and is of the type which may or may not be causative of the disorder.
generically dependent continuant;likely benign variant;A clinical variant interpretation that represents a sequence variant that is previously unreported and is probably not causative of disease
generically dependent continuant;pathogenic variant;A clinical variant interpretation that represents a sequence variant that is previously reported and is a recognized cause of the disorder.
generically dependent continuant;shipping and receiving of samples SOP;A standard operating procedure for shipping and receiving of sample
generically dependent continuant;likely pathogenic variant;A clinical variant interpretation that represents a sequence variant that is previously unreported and is of the type which is expected to cause the disorder.
generically dependent continuant;benign variant;A clinical variant interpretation that represents a sequence variant previously classified or reported as a recognized neutral variant
material entity;remnant specimen;a specimen which represent remaining portion of a specimen obtained for clinical purposes that is no longer needed for its original purpose and that would otherwise be discarded
process;secure file transfer process;Secure file transfer is a planned process that represent data sharing via a secure, reliable delivery method. It is used to safeguard proprietary and personal data in transit and at rest. Most secure file sharing methods use standard protocols, including: Secure File Transfer Protocol (SFTP)
generically dependent continuant;secure file transfer protocol;A data transfer protocol is a network protocol that provides file access, file transfer, and file management over any reliable data stream
generically dependent continuant;copy number alteration;A molecular quality that describe changes in copy number that have arisen in somatic tissues.
generically dependent continuant;library preparation protocol;A protocol plan specification which describes the process of generating a collection of DNA fragments for sequencing
generically dependent continuant;target sequence information;A data item that which represent information about subset of genes or specific regions of interest of the genome.
generically dependent continuant;data transfer protocol;A protocol plan specification which describes the process of data transfer between two entities
generically dependent continuant;ligation objective;An objective specification to determine attaching synthetic oligonucleotides with known sequences to both or either ends of complementary DNA (cDNA) fragments
generically dependent continuant;hypertext transfer protocol secure;A data transfer protocol, and extension of the Hypertext Transfer Protocol (HTTP). It is used for secure communication over a computer network, and is widely used on the Internet
generically dependent continuant;target enrichment protocol;A protocol which describes the workflow to capture specific regions of interest after library preparation for NGS and has many advantages over whole genome sequencing (WGS).
generically dependent continuant;specimen acceptance or rejection protocol;A protocol which describe the criteria for acceptance or rejection of a specimen
material entity;specimen with potentially infectious materials;A specimen that derives from an organism and might contain infectious materials.
generically dependent continuant;result acceptance or rejection protocol;Protocol for acceptence or rejcetion must be based on metrics and quality control parameters established during test optimization and utilized during validation
generically dependent continuant;information about data storage location;An information content entity that is about the location of data storage
generically dependent continuant;expression quantitative trait loci;A genomic feature location which represent the expression quantitative trait loci are genomic loci that explain all or a fraction of variation in expression levels of mRNAs
generically dependent continuant;detected gene mutation;A conclusion based on data about a permanent change in the DNA sequence that makes up a gene
generically dependent continuant;messenger RNA sequence data;RNA sequence data that represent the sequence of single-stranded RNA molecule that is complementary to one of the DNA strands of a gene. The mRNA is an RNA version of the gene that leaves the cell nucleus and moves to the cytoplasm where proteins are made.
generically dependent continuant;personally identifiable information;A data item infromation content entity that represent any data that could potentially identify a specific individual. Any information that can be used to distinguish one person from another and can be used for de-anonymizing anonymous data can be considered PII.
generically dependent continuant;HUGO gene nomenclature committee gene name;A biological database that contains genes nomenclature created by the HUGO Gene Nomenclature Committee (HGNC) that sets the standards for human gene nomenclature.
material entity;aliquot;A specimen that is divided into separate parts which are typically stored in separate containers as individual samples
generically dependent continuant;training manual;A training manual is a book or booklet of instructions, designed to improve the quality of a performed task.
generically dependent continuant;sequencing quality scores;Sequencing quality scores measure the probability that a base is called incorrectly.
generically dependent continuant;specimen tracking protocol;A protocol that ensure that biospecimens can be tracked accurately from the collection site through biospecimen arrival and subsequent
process;protein sequencing;A sequencing assay which involves the determination of the arrangement of the amino acid sequence of a protein.
generically dependent continuant;measurement datum availability statement;A data item which indicates availability of specimen associated data
process;target region enrichment assay;A material processing which capture specific regions of interest after library preparation for next generation sequencing.
generically dependent continuant;PM2 criteria;Absent from controls (or at extremely low frequency if recessive) in Exome Sequencing Project, 1000 Genomes or ExAC
generically dependent continuant;metagenomics sequence data;DNA sequence data which represent genomic DNA obtained from environmental samples
generically dependent continuant;storage unit identifier;Each freezer, refrigerator, room temperature stor- age cabinet, or other unit appropriate to the collec- tions should have a unique identifier.
generically dependent continuant;whole transcriptome sequence data;RNA sequence data which represent the complete complement of transcripts in a sample, at a given time
generically dependent continuant;Availability of other specimen from the same donor;A data item which represent the availability of other specimen from the same donor
generically dependent continuant;bioinformatics pipeline;A software pipeline that is composed of a wide array of software algorithms to process biological raw data.
generically dependent continuant;PS2 criteria;De novo (both maternity and paternity confirmed) in a patient with the disease and no family history
generically dependent continuant;PS1 criteria;Same amino acid change as a previously established pathogenic variant regardless of nucleotide change
process;variant prioritisation;A genetic variation analysis which involves identifying biologically interesting variants by prioritizing individual variants, for example, homozygous variants absent in control genomes.
generically dependent continuant;PM1 criteria;Located in a mutational hot spot and/or critical and well-established functional domain (e.g. active site of an enzyme) without benign variation
generically dependent continuant;16s RNA sequence data;RNA sequence data which is about the 16s gene of one or more organisms.
generically dependent continuant;PS4 criteria;The prevalence of the variant in affected individuals is significantly increased compared to the prevalence in controls
generically dependent continuant;user information;An information content entity about user authentication information.
generically dependent continuant;specimen shipment identifier;An identifier which denotes number assigned by a shipper of specimen.
generically dependent continuant;standard operating procedure title;A unique SOP name which captures the essence of the practice described.
quality;specimen shipping temperature;A temperature which represent specimen temperature during shipment.
generically dependent continuant;standard operating procedure version number;A version number denotes standard operating procedure
process;specimen destruction assay;A planned process with the objective to destroy an entire collection or specific specimen.
generically dependent continuant;biological database;A database which represent libraries of life sciences information, collected from scientific experiments, published literature, high-throughput experiment technology, and computational analysis.
quality;refrigerated specimen temperature;A specimen shipping tempruture which represent a Refrigerated temperature (2 to 8°C) - wet ice or gel packs (conditioned at –15°C, designed for refrigerated temperatures, or phase change material rated for refrigerated transport).
generically dependent continuant;reference genome version number;A reference genome datum which represent reference genome edition
process;specimen culling;A specimen culling is the process of reviewing and eliminating specimens in a collection or an entire collection either by destruction or transfer to a new custodian
generically dependent continuant;reference genome URI;A reference genome datum which represent a location where reference genome can be accessed online
process;alignment;A bioinformatics analysis data transformation which two or more things are positioned in a straight line or parallel to each other
process;genetic variants filtration assay;An assay which attempt to select highly confident variants and remove the ones that are falsely called
generically dependent continuant;ACMG supporting classification criteria;ACMG guidelines for classification of variants of spporting classification
process;local sequence alignment;A sequence alignment which align dissimilar sequences that are suspected to contain regions of similarity or similar sequence motifs within their larger sequence context
generically dependent continuant;ACMG very strong classification criteria;ACMG guidelines for classification of variants of very strong classification
process;multiple sequence alignment;A multiple sequence alignment (MSA) is a sequence alignment of three or more biological sequences, generally protein, DNA, or RNA.
process;global sequence alignment;A sequence alignment which align every residue in every sequence
generically dependent continuant;ACMG strong variants classification;ACMG guidelines for classification of variants of strong variants classification
generically dependent continuant;PM4 criteria;Protein length changes due to in-frame deletions/insertions in a non-repeat region or stop-loss variants
generically dependent continuant;ACMG moderate classification criteria;ACMG guidelines for classification of variants of moderate classification
process;pairwise sequence alignment;A sequence alignment bioinformatics analysis which identify regions of similarity that may indicate functional, structural and/or evolutionary relationships between two biological sequences (protein or nucleic acid)
generically dependent continuant;PS3 criteria;Well-established in vitro or in vivo functional studies supportive of a damaging effect on the gene or gene product
generically dependent continuant;PM3 criteria;For recessive disorders, detected in trans with a pathogenic variant
generically dependent continuant;PM6 criteria;Assumed de novo, but without confirmation of paternity and maternity
process;database index;A bioinformatics analysis that produces data structure that improves the speed of data retrieval operations on a database table at the cost of additional writes and storage space to maintain the index data structure
process;genome indexing;A bioinformatics analysis which referes to the process of compressing to reduze the size of genome file
generically dependent continuant;Allele-specific expression data;A measured expression level which refers to the characteristic of preferentially expressing a parental allele in the hybrid due to variations in regulatory sequences from the parental genomes.
generically dependent continuant;microarray CNV genotypes data;A measured expression level measurement datum which represent copy number variation (CNV) obtained by microarray
one-dimensional temporal region;standard operating procedure actual use duration;A one-dimensional temporal region that is a period of an duration of standard operation procedure
process;sequence similarity search;A bioinformatics analysis which attempt to searching sequence databases by using alignment to a query sequence
process;functional annotation;Functional annotation is a bioinformatics analysis consists of attaching biological information to genomic elements such as: biochemical function, biological function, involved regulation and interactions and expression
process;adapter ligation process;A material processing process which attaches synthetic oligonucleotides of a known sequence to one or both ends of cDNA fragments
material entity;specimen derivative;A specimen which is a recognizable part or product taken from specimen
generically dependent continuant;command line flag;A symbol that is used to specify options for command line programs.
material entity;target enrichment kit;An assay kit used for the technique of target enrichment
generically dependent continuant;microRNA expression data;A measured expression level measurement datum which refers to represent small non-coding RNAs of 19-24 nucleotides in length that downregulate gene expression during various crucial cell processes such as apoptosis, differentiation and development.
generically dependent continuant;whole exome sequence data;A mesurement datum that represent all of the protein-coding regions of genes in a genome (known as the exome)
generically dependent continuant;gene expression profile data;A measured expression level which refers to activity (the expression) of thousands of genes at once, to create a global picture of cellular function.
generically dependent continuant;single molecule real time sequencing data;A single molecule real time sequencing data is DNA sequence data generated from parallelized single molecule DNA sequencing method.
process;raw sequence file editing;A bioinformatics analysis which involves any edit or change to a molecular sequence file.
generically dependent continuant;amino acid substitution;A data item which represents the substitution of one or more amino acids.
generically dependent continuant;whole genome sequence data;A DNA sequence data which represent the the complete DNA sequence of an organism's genome at a single time
process;data validation;A planned process which ensure data have undergone data cleansing to ensure they have data quality, that is, that they are both correct and useful.
process;omics data generation assay;An assay which generate OMICS data through a wet bench process such as sequencing techniques.
process;data transfer agreement document act;A planned process of making the decision of the data transfer.
generically dependent continuant;data file;Any data file as generated by some acquisition computer or console.
process;sequence data quality validation;A data validating whech validate sequencing quality scores and measure the probability that a base is called incorrectly.
generically dependent continuant;expression quantitative trait loci data;A data item that describe expression quantitative trait loci.
material entity;assay kit;A processed material which contain a set of articles or equipment needed for a specific purpose.
process;format validation;A data validation process that checks that the data is in a specified format (template), e.g., dates have to be in the format DD/ MM/YYYY is correct
generically dependent continuant;interpretation of clinical variant protocol;A protocol that describe the process of assigning a formal classification to the detected variant
generically dependent continuant;probe ID;An Identifier of an oligonucleotide probe.
generically dependent continuant;ACMG guidelines for classification of variants;A protocol which describes the guidance for the interpretation of sequence variants suggested by The American College of Medical Genetics and Genomics (ACMG).
generically dependent continuant;oligonucleotide probe;A region of short stretches of single-stranded DNA or RNA used to detect the presence of complementary nucleic acid sequences (target sequences) by hybridization.
material entity;DNA library;A process material which contains DNA fragments that represent the entire genome of an organism.
material entity;DNA extraction assay kit;An assay kit used for the technique of isolating DNA in a biological sample
generically dependent continuant;Burrows-Wheeler Aligner algorithm;An algorithm which perform mapping of low-divergent sequences against a large reference genome, such as the human genome.
generically dependent continuant;information about local data storage;Information about data storage location information content entity which represent any physical hardware such as external hard drives, flash drives, and CD
generically dependent continuant;adapter ligation protocol;A protocol which describes the process of attaching synthetic oligonucleotides with known sequences to both or either ends of complementary DNA (cDNA) fragments as a prepration for sequencing
generically dependent continuant;information about cloud storage bucket;Information about data storage location information content entity which represent information about the basic containers that hold your data in cloud storage
specifically dependent continuant;name of specimen donor;A personal name that designates the human being donated specimen
process;bioinformatics analysis;A data transformation which involeves curation, processing and analysis of complex biological data
