class;term;comment
process;nickel exposure;A mineral exposure (PECO:0007044) involving exposure of plant to nickel (CHEBI:28112).
process;phosphate exposure;An inorganic anion exposure (PECO:0001009) involving the application of phosphate (CHEBI:18367).
process;mineral salt exposure;A mineral exposure (PECO:0007044) involving exposure of the plant(s) to mineral salts (CHEBI:24866).
process;sulfate exposure;An inorganic anion exposure (PECO:0001009) involving the application of sulfate (CHEBI:35175).
process;inorganic anion exposure;An inorganic chemical exposure (PECO:0001004) involving the application of an anion or a mixture of anions (CHEBI:22563).
process;carbohydrate exposure;An organic chemical exposure (PECO:0001003) involving the application of a carbohydrate (CHEBI:16646) or mixture of carbohydrates.
process;monosaccharide exposure;A carbohydrate exposure (PECO:0001010) involving the application of monosaccharide(s)(CHEBI:35381).
process;hexose exposure;A monosaccharide exposure (PECO:0001011) involving the application of hexose (CHEBI:18133) sugar(s).
process;glucose exposure;A hexose exposure (PECO:0001012) involving the application of glucose (CHEBI:17234).
process;disaccharide exposure;A carbohydrate exposure (PECO:0001010) involving the application of disaccharide(s)(CHEBI:36233).
process;sucrose exposure;A disaccharide exposure (PECO:0001014) involving the application of sucrose (CHEBI:17992).
process;inorganic cation exposure;An inorganic chemical exposure (PECO:0001004) involving the application of a cation (CHEBI:36916) or mixture of cations .
process;ammonium exposure;An inorganic cation exposure (PECO:0001016) involving the application of ammonium (NH4+) (CHEBI:28938).
process;cadmium exposure;A mineral exposure (PECO:0007044) involving exposure of plant to cadmium (CHEBI:22977).
process;carbon dioxide exposure;An inorganic gas exposure (PECO:0001055) that involves the application of carbon dioxide (CHEBI:16526).
process;ozone exposure;An inorganic anion exposure (PECO:0001009) involving the application of ozone (CHEBI:29382).
process;gamma radiation exposure;A radiation quality exposure (PECO:0007154) involving the exposure to gamma radiation.
process;urea nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to urea (CHEBI:16199) as the primary or sole source of nitrogen.
process;MTA nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to 5'-S-methyl-5'-thioadenosine (MTA. CHEBI:17509) as the primary or sole source of nitrogen.
process;alanine nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to alanine (CHEBI:16449) as the primary or sole source of nitrogen.
process;glutamate nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to glutamate (CHEBI:29987) as the primary or sole source of nitrogen.
process;arginine nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to arginine (CHEBI:29016) as the primary or sole source of nitrogen.
process;ornithine nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to ornithine (CHEBI:18257) as the primary or sole source of nitrogen.
process;glutamine nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure of plant to glutamine (CHEBI:28300) as the primary or sole source of nitrogen.
process;Hymenoptera insect plant exposure;An insect plant exposure (PECO:0007333) involving the exposure of a plant to an insect(s) of the Hymenoptera order.
process;parasitic wasp insect plant exposure;A Hymenoptera insect plant exposure (PECO:0001032) that involves exposure to parasitic wasps.
process;Pseudomonas syringae plant exposure;A Pseudomonas plant exposure (PECO:0007144) involving the exposure to bacteria of the Pseudomonas syringae group.
process;radiation mutagen exposure;A radiation exposure (PECO:0007151) involving exposure of plant to chemicals or radiation resulting in perturbations to the genome.
process;light-induced photooxidative stress exposure;A light intensity exposure (PECO:0007224) involving use of light-dependent generations of reactive oxygen species.
process;limited zinc exposure;A zinc nutrient exposure (PECO:0007309) involving exposure to limiting amounts or absence of zinc (CHEBI:27363).
process;limited boron exposure;A boron nutrient exposure (PECO:0007273) involving exposure to limiting amounts or absence of boron (CHEBI:27560).
process;limited glucose exposure;A glucose exposure (PECO:0001013) involving exposure to limiting amounts or the absence of glucose (CHEBI:17234).
process;limited carbon exposure;A carbon nutrient exposure (PECO:0007303) involving exposure to limiting amounts or the absence of carbon (CHEBI:27594).
process;limited sulfate exposure;A sulfate exposure (PECO:0001008) involving exposure to limiting amounts or the absence of sulfate (CHEBI:35175).
process;limited phosphate exposure;A phosphate exposure (PECO:0001006) involving exposure to limiting amounts or absence of phosphate (CHEBI:18367).
process;limited iron exposure;An iron nutrient exposure (PECO:0007242) involving exposure to limiting amounts or the absence of iron (CHEBI:18248).
process;limited molybdenum exposure;A molybdenum nutrient exposure (PECO:0007253) involving exposure to limiting amounts or the absence of molybdenum (CHEBI:28685).
process;limited magnesium exposure;A magnesium nutrient exposure (PECO:0007288) involving exposure to limiting amounts or the absence of magnesium (CHEBI:25107).
process;limited nitrogen exposure;A nitrogen macronutrient exposure (PECO:0007284) involving exposure to limiting amounts or the absence of nitrogen (CHEBI:25555).
process;limited potassium exposure;A potassium nutrient exposure (PECO:0007293) involving exposure to limiting amounts or the absence of potassium (CHEBI:26216).
process;limited sulfur exposure;A sulfur nutrient exposure (PECO:0007295) involving exposure to limiting amounts or the absence of sulfur (CHEBI:26833).
process;limited manganese exposure;A manganese nutrient exposure (PECO:0007387) involving exposure to limiting amounts or the absence of manganese (CHEBI:18291).
process;limited nitrate exposure;A nitrate exposure (PECO:0007406) involving exposure to limiting amounts or the absence of nitrate (CHEBI:17632).
process;elevated carbon dioxide exposure;A carbon dioxide exposure (PECO:0001020) involving an increased concentration of carbon dioxide (CHEBI:16526).
process;sodium hydroxide exposure;An inorganic anion exposure (PECO:0001009) involving the application of sodium hydroxide (CHEBI:32145).
process;polyethylene glycol exposure;An organic chemical exposure (PECO:0001003) involving the application of polyethylene glycol (CHEBI:46793).
process;potassium fertilizer exposure;A chemical fertilizer exposure (PECO:0007086) involving the use of potassium fertilizer as a supplement to study plant responses.
process;potassium chloride exposure;A potassium fertilizer exposure (PECO:0001064) involving the use of potassium chloride fertilizer as a supplement to study plant responses.
process;nematicide exposure;A pesticide exposure (PECO:0007167) involving the application of a nematicide. a chemical entity or mixture of chemical entities to kill plant-parasitic nematodes.
process;castor meal exposure;A natural fertilizer exposure (PECO:0007087) which is the application of castor meal.
process;rapeseed meal exposure;A natural fertilizer exposure (PECO:0007087) which is the application of rapeseed meal.
process;green manure exposure;A natural fertilizer exposure (PECO:0007087) which is the application of a green manure.
process;calcium carbonate exposure;A salt exposure (PECO:0007185) which is a treatment with calcium carbonate (CHEBI:3311) in order to raise the pH of the growing media.
process;Zymoseptoria tritici exposure;An Ascomycota exposure (PECO:0007107) which is the exposure of a plant the to the pathogen Zymoseptoria tritici.
process;Rhizobium leguminosarum exposure;A bacterial plant exposure (PECO:0007246) involving exposure of the plant to Rhizobium leguminosarum.
process;3-H-thymidine exposure;
process;3-H-deoxycytidine exposure;
process;3-H exposure;
process;deuteron irradiation exposure;
process;Bevatron irradiation exposure;
process;agr ray exposure;
process;32-P exposure;
process;226-Ra or agr ray exposure;
process;137-Cs or ggr ray exposure;
process;ggr ray exposure;
process;252-Cf fission neutrons exposure;
process;neutrons exposure;
process;magnetic field exposure;
process;60-Co or ggr ray exposure;
process;1,4-dimethanesulfonoxy-1:4-dimethylbutane exposure;The treatment involving use of 1,4-dimethanesulfonoxy-1:4-dimethylbutane for mutagenesis process.
process;1,2:5,6-dibenzanthracene exposure;The treatment involving use of 1,2:5,6-dibenzanthracene for mutagenesis process.
process;supersonic exposure;
process;1,2-dichloroethane exposure;The treatment involving use of 1,2-dichloroethane for mutagenesis process.
process;stratosphere exposure;
process;1,2-dibromoethane exposure;The treatment involving use of 1,2-dibromoethane for mutagenesis process.
process;radio wave exposure;
process;1,6-dimethylsulfonoxy D-mannitol exposure;The treatment involving use of 1,6-dimethylsulfonoxy D-mannitol for mutagenesis process.
process;1,4-dimethanesulfonoxybutane exposure;The treatment involving use of 1,4-dimethanesulfonoxybutane for mutagenesis process.
process;hydrogen exposure;An exposure involving exposure of plant to molecular or ionic forms of hydrogen to study various types of responses.
process;1,4-dimethanesulfonoxybut-2-yne exposure;The treatment involving use of 1,4-dimethanesulfonoxybut-2-yne for mutagenesis process.
process;X-ray exposure;The treatment using X-ray either exclusively or as part of a supplemental electromagnetic radiation in the wavelength range of 5pm-10nm.
process;Sclerospora spp. exposure;The treatment involving exposure of plant to the pathogenic Sclerospora sp.
process;1-diethylaminoethylethylamino-4-methyl-thioxanthenone exposure;The treatment involving use of 1-diethylaminoethylethylamino-4-methyl-thioxanthenone for mutagenesis process.
process;Spodoptera litura exposure;The treatment involving exposure of plant to the pest commonly calles as cutworm.
process;1-bromo-2-chloroethane exposure;The treatment involving use of 1-bromo-2-chloroethane for mutagenesis process.
process;imidazolinone exposure;An herbicide exposure (PECO:0007183) involving the use of an imidazolinone herbicide.
process;1-amino-2-naphthol-4-sulfonic acid exposure;The treatment involving use of 1-amino-2-naphthol-4-sulfonic acid for mutagenesis process.
process;insecticide exposure;A pesticide exposure (PECO:0007167) involving the application of an insecticide. a chemical entity or mixture of chemical entities.
process;1,6-dimethylsulfonoxy L-mannitol exposure;The treatment involving use of 1,6-dimethylsulfonoxy L-mannitol for mutagenesis process.
process;Sclerospora graminicola exposure;The treatment involving exposure of plant to the pathogen Sclerophthora graminicola. It is a causal agent for downy mildew disease.
process;2-methoxyethanol exposure;The treatment involving use of 2-methoxyethanol for mutagenesis process.
process;2-fluoroethyl methanesulfonate exposure;The treatment involving use of 2-fluoroethyl methanesulfonate for mutagenesis process.
process;2-chloroethyl methanesulfonate exposure;The treatment involving use of 2-chloroethyl methanesulfonate for mutagenesis process.
process;2,5,-bisethylene-imine-1,4-benzoquinone exposure;The treatment involving use of 2,5,-bisethylene-imine-1,4-benzoquinone for mutagenesis process.
process;5-bromouridine exposure;The treatment involving use of 5-bromouridine for mutagenesis process.
process;5-bromouracil exposure;The treatment involving use of 5-bromouracil for mutagenesis process.
process;caffeine exposure;The treatment involving use of caffeine for mutagenesis process.
process;aminopterin exposure;The treatment involving use of aminopterin for mutagenesis process.
process;arid region exposure;The treatment involving the plant or the populations grown in regions where the land is excessively dry and receives insufficient rainfall to support agriculture.
process;actinomycin D exposure;An antibiotic exposure (PECO:0007041) involving use of actinomycin D for mutagenesis process.
process;methyl jasmonate exposure;An organic chemical exposure (PECO:0001003) involving the application of methyl jasmonate (MeJa. CHEBI:15929).
process;diepoxybutane exposure;The treatment involving use of diepoxybutane for mutagenesis process.
process;nitrate exposure;
process;cupric sulfate exposure;The treatment involving use of cupric sulfate for mutagenesis process.
process;colchicine exposure;The treatment involving use of colchicine for mutagenesis process.
process;cisplatin exposure;The treatment involving use of cisplatin for mutagenesis process.
process;brassinosteroid exposure;A growth hormone exposure (PECO:0007165) involving the use of brassinosteroid (or its homolog).
process;5-methyltryptophan exposure;An organic chemical exposure (PECO:0001003) involving the application of the tryptophan (Trp) analog 5-methyltryptophan (5MT. CHEBI: 52446).
process;dimethyl sulfoxide exposure;The treatment involving use of dimthyl sulfate for mutagenesis process.
process;diethyl sulfate exposure;The treatment involving use of diethyl sulfate for mutagenesis process.
process;peroxide exposure;A chemical exposure (PECO:0007189) involving exposure of plant to a peroxide to study various types of oxidative stress responses.
process;ethyl nitrosourea exposure;The treatment involving use of ethyl nitrosourea for mutagenesis process.
process;manganese sulfate exposure;The treatment involving exposure of plant to micronutrient manganese by adding MnSO4 supplement to study various types of responses.
process;ethyl methanesulfonate exposure;The treatment involving use of EMS as a mutagen by damaging DNA and is used experimentally for that effect.
process;zinc sulphate exposure;The treatment involving exposure of plant to micronutrient zinc by adding ZnSO4 as supplement to study various types of responses.
process;ethyl ether exposure;The treatment involving use of ethyl ether for mutagenesis process.
process;Pseudomonas fluorescens exposure;A Pseudomonas plant exposure (PECO:0007144) involving the exposure to bacteria of the Pseudomonas fluorescens group.
process;DNA exposure;The treatment involving use of DNA fragment insertion or deletion as part of mutagenesis.
