class;term;comment
material entity;R397 AM;the accessory module of ICE R397.
material entity;R397 CM;the conjugation module of ICE R397.
material entity;R397 RM;the regulation module of ICE R397.
material entity;ICEEc1 AM;the accessory module of ICE ICEEc1.
material entity;ICEKpnCAV1417-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnCAV1417-1
material entity;ICEKpnCAV1417-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnCAV1417-1
material entity;ICEEc1 CM;the conjugation module of ICE ICEEc1.
material entity;ICEEc1 RM;the regulation module of ICE ICEEc1.
material entity;ICEEc1 IEM;the integration and excision module of ICE ICEEc1.
material entity;ICEKpnWCHKP13F2-2 AM;the accessory module of ICE ICEKpnWCHKP13F2-2
material entity;ICEKpnKp589-1 AM;the accessory module of ICE ICEKpnKp589-1
material entity;ICEKpnWCHKP13F2-2 RM;the regulation module of ICE ICEKpnWCHKP13F2-2
material entity;ICEKpnKp589-1 RM;the regulation module of ICE ICEKpnKp589-1
material entity;ICEKpnKp589-1 CM;the conjugation module of ICE ICEKpnKp589-1
material entity;ICEKpnKp589-1 IEM;the integration and excision module of ICE ICEKpnKp589-1
material entity;ICEKpnWCHKP649-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnWCHKP649-1
material entity;ICEKpnWCHKP649-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnWCHKP649-1
material entity;R397 IEM;the integration and excision module of ICE R397.
material entity;ICEKpnWCHKP13F2-2 CM;the conjugation module of ICE ICEKpnWCHKP13F2-2
material entity;ICEKpnWCHKP13F2-2 IEM;the integration and excision module of ICE ICEKpnWCHKP13F2-2
material entity;ICEKpnRJA166-2;
material entity;ICEEfa9830414 AM;the accessory module of ICE ICEEfa9830414.
material entity;ICEKpnCAV1016-1 AM;the accessory module of ICE ICEKpnCAV1016-1
material entity;ICEKpnRJA166-1;
material entity;ICEKpnBR21-1;
material entity;ICEEfa9830414 IEM;the integration and excision module of ICE ICEEfa9830414.
material entity;ICEKpnCAV1453-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnCAV1453-1
material entity;ICEKpnCAV1453-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnCAV1453-1
material entity;ICEEfa9830414 RM;the regulation module of ICE ICEEfa9830414.
material entity;ICEEfa9830414 CM;the conjugation module of ICE ICEEfa9830414.
material entity;ICEKpnCAV1016-1 IEM;the integration and excision module of ICE ICEKpnCAV1016-1
material entity;ICEKpnCAV1016-1 RM;the regulation module of ICE ICEKpnCAV1016-1
material entity;ICEKpnCAV1016-1 CM;the conjugation module of ICE ICEKpnCAV1016-1
material entity;ICEKpnNZ CP015822-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnNZ CP015822-1
material entity;ICEKpnNZ CP015822-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnNZ CP015822-1
material entity;ICEKpnKPN528-1;
material entity;ICEKpnBK13043-2;
material entity;ICEKpnBK13043-1;
material entity;ICEKpnBWHC1-1;
material entity;ICEKpnAR 0098-1;
material entity;ICEKpnAR 0115-1;
material entity;ICEKpnKPN KPC HUG 07-1;
material entity;Klebsiella pneumoniae KPC2;
material entity;ICEKpnKp Goe 71070-1;
material entity;ICEKpnKp Goe 33208-1;
material entity;ICEKpnGD4-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnGD4-1
material entity;ICEKpnSWU01-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnSWU01-1
material entity;ICEKpnSWU01-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnSWU01-1
material entity;ICEKpnBR7-1;
material entity;ICEKpnAR 0049-1;
material entity;ICEKpnKp Goe 121641-1;
material entity;ICEKpnKp Goe 821588-2;
material entity;Klebsiella pneumoniae isolate 207M1D0-sc-2013-04-03T11:21:06Z-1606409;
material entity;ICEKpnKp Goe 821588-1;
material entity;ICEKpnGD4-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnGD4-1
material entity;Klebsiella pneumoniae kpn154;
material entity;ICEKpnCAV1217-1;
material entity;Klebsiella pneumoniae 4928STDY7387808;
material entity;ICEKpnCAV1042-1;
material entity;Klebsiella pneumoniae 4928STDY7387736;
material entity;ICEKpnSWU01-1;
material entity;ICEKpnCAV1453-1;
material entity;ICEKpnTGH8-1 IEM for excision;The set of gene and non-gene sequence responsible for the DNA excision process in the integration and excision module of ICE ICEKpnTGH8-1
material entity;ICEKpnTGH8-1 IEM for integration;The set of gene and non-gene sequence responsible for the DNA integration process in the integration and excision module of ICE ICEKpnTGH8-1
material entity;CTnGERM1 CM;the conjugation module of ICE CTnGERM1.
material entity;CTnGERM1 IEM;the integration and excision module of ICE CTnGERM1.
material entity;CTnGERM1 AM;the accessory module of ICE CTnGERM1.
material entity;CTnGERM1 RM;the regulation module of ICE CTnGERM1.
material entity;Klebsiella pneumoniae str. Kp52.145;
material entity;Klebsiella pneumoniae Kp8701;
material entity;ICEKpnKp Goe 822917-2;
material entity;Klebsiella pneumoniae KP18-3-8;
material entity;ICEKpnKp Goe 822917-1;
material entity;Klebsiella pneumoniae subsp. pneumoniae KUH-KPNHVF1;
