class;term;comment
material entity;Seychellois;
material entity;Zulu;A Nguni population with a population size of 12 millions
material entity;Berber Western;
material entity;Semite Central;
material entity;Susu;A Mande Western population with a population size of 2.2 millions
material entity;Semite Northern;
material entity;Bassa;A Bantu Western population with a population size of 0.8 million
material entity;Bassa;A Bantu Western population with a population size of 0.8 million
material entity;Eastern African;People living in: Burundi OR Comoros OR Djibouti OR Eritrea OR Ethiopia OR Kenya OR Madagascar OR Malawi OR Mauritius OR Mayotte OR Mozambique OR Rwanda OR Réunion OR Seychelles OR Somalia OR South Sudan OR Sudan OR Uganda OR United Republic of Tanzania OR Zimbabwe
material entity;Taveta;A Bantu Eastern population with a population size of 0.026 millions
material entity;Pygmy Eastern;
material entity;Nama;A Khoisan South population with a population size of 0.13 millions
material entity;Semitic Eastern;
material entity;Khoisan Eastern;A Eastern African population with a population size of 0.4 million
material entity;Mattokki;A Nubian Northern population with a population size of 0.050 million
material entity;Nubian Eastern;'The Nubians are known as people of the Nile and are located between Egypt and northern Sudan.' taken from: Culture and Customs of Sudan. Written by De Kwame Essien, Toyin Falola Ph.D.
material entity;Sebei;A Kalenjin population with a population size of 0.3 million
material entity;Kalenjin;The Kalenjin are a Nilotic Eastern population with a population size of 3 million.
material entity;Luo;A Nilotic Eastern population with a population size of Nilo-Saharan, Luo, River-Lake
material entity;Dinka;A Nilotic Eastern population with a population size of 5 millions
material entity;Bambara;A Mande Western population with a population size of 14 millions
material entity;Mahas;
material entity;Banda;A Ubangi Central population with a population size of 1.5 millions
material entity;Bihari Mauritian;A Eastern African population with a population size of 1.2 millions
material entity;Kanembu;A Kanuri population with a population size of 0.655 millions
material entity;Kwatay;
material entity;Efé;A Pygmy Central population with a population size of 0.07 million
material entity;Mbuti;A Pygmy Central population with a population size of 0.01 milion
material entity;Twa;A Pygmy Eastern, Pygmy Southern, Banyarwanda, Pygmy Central population with a population size of 0.04 million
material entity;Twa;A Pygmy Eastern, Pygmy Southern, Banyarwanda, Pygmy Central population with a population size of 0.04 million
material entity;Sua;
material entity;Pygmy Central;
material entity;Masa;A Central African population with a population size of 0.45 millions
material entity;Baka Cameroon;A Pygmy Central population with a population size of 0.03 milion
material entity;Dyula;A Mande Western population with a population size of 6.8 millions
material entity;Aka;
material entity;Beti-Pahuin;A Bantu Western, Bantu Central population with a population size of 3.3 millions with a group of 20 sub-ethnicities
material entity;Tiv;A Bantu Western population with a population size of 3.8 millions
material entity;Nankani;
material entity;Samburu;A Nilotic Eastern population with a population size of 0.1 millions
material entity;Tikar;A Bantu Central population with a population size of 0.025 million
material entity;Mongo;The Mongo are a Bantu Central population with a population size of >15 million.
material entity;Moghamo;A Bantu Central population with a population size of 0.018 million
material entity;Maasai;A Nilotic Eastern population with a population size of 0.9 millions
material entity;Maasai;A Nilotic Eastern population with a population size of 0.9 millions
material entity;Ngamambo;A Bantu Central population with a population size of 0.08 million
material entity;Ngala;A Bantu Central population with a population size of 25 millions
material entity;Tamil;A Eastern African population with a population size of 0.055 millions
